region	boligtype	kvartal	statistikkvariabel	05963: Selveierboliger,
1102 Sandnes (-2019)	Eneboliger	2013K1	Gjennomsnittlig kvadratmeterpris (kr)	30169
1102 Sandnes (-2019)	Eneboliger	2013K2	Gjennomsnittlig kvadratmeterpris (kr)	29384
1102 Sandnes (-2019)	Eneboliger	2013K3	Gjennomsnittlig kvadratmeterpris (kr)	28653
1102 Sandnes (-2019)	Eneboliger	2013K4	Gjennomsnittlig kvadratmeterpris (kr)	27704
1102 Sandnes (-2019)	Eneboliger	2014K1	Gjennomsnittlig kvadratmeterpris (kr)	27948
1102 Sandnes (-2019)	Eneboliger	2014K2	Gjennomsnittlig kvadratmeterpris (kr)	28290
1102 Sandnes (-2019)	Eneboliger	2014K3	Gjennomsnittlig kvadratmeterpris (kr)	28543
1102 Sandnes (-2019)	Eneboliger	2014K4	Gjennomsnittlig kvadratmeterpris (kr)	28042
1102 Sandnes (-2019)	Eneboliger	2015K1	Gjennomsnittlig kvadratmeterpris (kr)	28818
1102 Sandnes (-2019)	Eneboliger	2015K2	Gjennomsnittlig kvadratmeterpris (kr)	28039
1102 Sandnes (-2019)	Eneboliger	2015K3	Gjennomsnittlig kvadratmeterpris (kr)	27612
1102 Sandnes (-2019)	Eneboliger	2015K4	Gjennomsnittlig kvadratmeterpris (kr)	26263
1102 Sandnes (-2019)	Eneboliger	2016K1	Gjennomsnittlig kvadratmeterpris (kr)	26180
1102 Sandnes (-2019)	Eneboliger	2016K2	Gjennomsnittlig kvadratmeterpris (kr)	25868
1102 Sandnes (-2019)	Eneboliger	2016K3	Gjennomsnittlig kvadratmeterpris (kr)	25798
1102 Sandnes (-2019)	Eneboliger	2016K4	Gjennomsnittlig kvadratmeterpris (kr)	25805
1102 Sandnes (-2019)	Eneboliger	2017K1	Gjennomsnittlig kvadratmeterpris (kr)	26158
1102 Sandnes (-2019)	Eneboliger	2017K2	Gjennomsnittlig kvadratmeterpris (kr)	24954
1102 Sandnes (-2019)	Eneboliger	2017K3	Gjennomsnittlig kvadratmeterpris (kr)	24556
1102 Sandnes (-2019)	Eneboliger	2017K4	Gjennomsnittlig kvadratmeterpris (kr)	24566
1102 Sandnes (-2019)	Eneboliger	2018K1	Gjennomsnittlig kvadratmeterpris (kr)	25879
1102 Sandnes (-2019)	Eneboliger	2018K2	Gjennomsnittlig kvadratmeterpris (kr)	24535
1102 Sandnes (-2019)	Eneboliger	2018K3	Gjennomsnittlig kvadratmeterpris (kr)	26259
