region	boligtype	statistikkvariabel	år	06035: Selveierboliger,
1149 Karmøy	Eneboliger	Antall boligomsetninger	2013	290
1149 Karmøy	Eneboliger	Antall boligomsetninger	2014	326
1149 Karmøy	Eneboliger	Antall boligomsetninger	2015	316
1149 Karmøy	Eneboliger	Antall boligomsetninger	2016	273
1149 Karmøy	Eneboliger	Antall boligomsetninger	2017	284
1149 Karmøy	Eneboliger	Antall boligomsetninger	2018	286
1149 Karmøy	Eneboliger	Antall boligomsetninger	2019	311
1149 Karmøy	Eneboliger	Antall boligomsetninger	2020	322
1149 Karmøy	Eneboliger	Antall boligomsetninger	2021	402
1149 Karmøy	Eneboliger	Antall boligomsetninger	2022	315
1149 Karmøy	Eneboliger	Antall boligomsetninger	2023	355
1149 Karmøy	Småhus	Antall boligomsetninger	2013	47
1149 Karmøy	Småhus	Antall boligomsetninger	2014	52
1149 Karmøy	Småhus	Antall boligomsetninger	2015	45
1149 Karmøy	Småhus	Antall boligomsetninger	2016	58
1149 Karmøy	Småhus	Antall boligomsetninger	2017	52
1149 Karmøy	Småhus	Antall boligomsetninger	2018	47
1149 Karmøy	Småhus	Antall boligomsetninger	2019	45
1149 Karmøy	Småhus	Antall boligomsetninger	2020	71
1149 Karmøy	Småhus	Antall boligomsetninger	2021	91
1149 Karmøy	Småhus	Antall boligomsetninger	2022	96
1149 Karmøy	Småhus	Antall boligomsetninger	2023	72
1149 Karmøy	Blokkleiligheter	Antall boligomsetninger	2013	65
1149 Karmøy	Blokkleiligheter	Antall boligomsetninger	2014	89
1149 Karmøy	Blokkleiligheter	Antall boligomsetninger	2015	73
1149 Karmøy	Blokkleiligheter	Antall boligomsetninger	2016	86
1149 Karmøy	Blokkleiligheter	Antall boligomsetninger	2017	84
1149 Karmøy	Blokkleiligheter	Antall boligomsetninger	2018	79
1149 Karmøy	Blokkleiligheter	Antall boligomsetninger	2019	72
1149 Karmøy	Blokkleiligheter	Antall boligomsetninger	2020	115
1149 Karmøy	Blokkleiligheter	Antall boligomsetninger	2021	135
1149 Karmøy	Blokkleiligheter	Antall boligomsetninger	2022	144
1149 Karmøy	Blokkleiligheter	Antall boligomsetninger	2023	131
