region	husholdningstype	statistikkvariabel	ar	06070: Privathusholdninger,
K-1149 Karmoy	Aleneboende	Husholdninger	2014	5072
K-1149 Karmoy	Aleneboende	Husholdninger	2015	5159
K-1149 Karmoy	Aleneboende	Husholdninger	2016	5302
K-1149 Karmoy	Aleneboende	Husholdninger	2017	5416
K-1149 Karmoy	Aleneboende	Husholdninger	2018	5484
K-1149 Karmoy	Aleneboende	Husholdninger	2019	5608
K-1149 Karmoy	Aleneboende	Husholdninger	2020	5786
K-1149 Karmoy	Aleneboende	Husholdninger	2021	6002
K-1149 Karmoy	Aleneboende	Husholdninger	2022	6094
K-1149 Karmoy	Aleneboende	Husholdninger	2023	6312
K-1149 Karmoy	Par uten hjemmeboende barn	Husholdninger	2014	4288
K-1149 Karmoy	Par uten hjemmeboende barn	Husholdninger	2015	4330
K-1149 Karmoy	Par uten hjemmeboende barn	Husholdninger	2016	4412
K-1149 Karmoy	Par uten hjemmeboende barn	Husholdninger	2017	4467
K-1149 Karmoy	Par uten hjemmeboende barn	Husholdninger	2018	4582
K-1149 Karmoy	Par uten hjemmeboende barn	Husholdninger	2019	4650
K-1149 Karmoy	Par uten hjemmeboende barn	Husholdninger	2020	4704
K-1149 Karmoy	Par uten hjemmeboende barn	Husholdninger	2021	4760
K-1149 Karmoy	Par uten hjemmeboende barn	Husholdninger	2022	4833
K-1149 Karmoy	Par uten hjemmeboende barn	Husholdninger	2023	4848
K-1149 Karmoy	Par med sma barn (yngste barn 0-5 ar)	Husholdninger	2014	2135
K-1149 Karmoy	Par med sma barn (yngste barn 0-5 ar)	Husholdninger	2015	2129
K-1149 Karmoy	Par med sma barn (yngste barn 0-5 ar)	Husholdninger	2016	2124
K-1149 Karmoy	Par med sma barn (yngste barn 0-5 ar)	Husholdninger	2017	2084
K-1149 Karmoy	Par med sma barn (yngste barn 0-5 ar)	Husholdninger	2018	2052
K-1149 Karmoy	Par med sma barn (yngste barn 0-5 ar)	Husholdninger	2019	1995
K-1149 Karmoy	Par med sma barn (yngste barn 0-5 ar)	Husholdninger	2020	1946
K-1149 Karmoy	Par med sma barn (yngste barn 0-5 ar)	Husholdninger	2021	1873
K-1149 Karmoy	Par med sma barn (yngste barn 0-5 ar)	Husholdninger	2022	1871
K-1149 Karmoy	Par med sma barn (yngste barn 0-5 ar)	Husholdninger	2023	1840
K-1149 Karmoy	Par med store barn (yngste barn 6-17 ar)	Husholdninger	2014	2336
K-1149 Karmoy	Par med store barn (yngste barn 6-17 ar)	Husholdninger	2015	2287
K-1149 Karmoy	Par med store barn (yngste barn 6-17 ar)	Husholdninger	2016	2296
K-1149 Karmoy	Par med store barn (yngste barn 6-17 ar)	Husholdninger	2017	2255
K-1149 Karmoy	Par med store barn (yngste barn 6-17 ar)	Husholdninger	2018	2261
K-1149 Karmoy	Par med store barn (yngste barn 6-17 ar)	Husholdninger	2019	2268
K-1149 Karmoy	Par med store barn (yngste barn 6-17 ar)	Husholdninger	2020	2273
K-1149 Karmoy	Par med store barn (yngste barn 6-17 ar)	Husholdninger	2021	2309
K-1149 Karmoy	Par med store barn (yngste barn 6-17 ar)	Husholdninger	2022	2335
K-1149 Karmoy	Par med store barn (yngste barn 6-17 ar)	Husholdninger	2023	2368
K-1149 Karmoy	Mor/Far med sma barn (yngste barn 0-5 ar)	Husholdninger	2014	287
K-1149 Karmoy	Mor/Far med sma barn (yngste barn 0-5 ar)	Husholdninger	2015	292
K-1149 Karmoy	Mor/Far med sma barn (yngste barn 0-5 ar)	Husholdninger	2016	269
K-1149 Karmoy	Mor/Far med sma barn (yngste barn 0-5 ar)	Husholdninger	2017	263
K-1149 Karmoy	Mor/Far med sma barn (yngste barn 0-5 ar)	Husholdninger	2018	248
K-1149 Karmoy	Mor/Far med sma barn (yngste barn 0-5 ar)	Husholdninger	2019	217
K-1149 Karmoy	Mor/Far med sma barn (yngste barn 0-5 ar)	Husholdninger	2020	228
