region	kjonn	alder	ar	statistikkvariabel	14288: Framskrevet folkemengde 1. januar,
1149 Karmøy	Menn	0-19 år	2024	Hovedalternativet (MMMM)	5616
1149 Karmøy	Menn	0-19 år	2024	Lav nasjonal vekst (LLML)	5616
1149 Karmøy	Menn	0-19 år	2024	Høy nasjonal vekst (HHMH)	5616
1149 Karmøy	Menn	0-19 år	2025	Hovedalternativet (MMMM)	5580
1149 Karmøy	Menn	0-19 år	2025	Lav nasjonal vekst (LLML)	5546
1149 Karmøy	Menn	0-19 år	2025	Høy nasjonal vekst (HHMH)	5604
1149 Karmøy	Menn	0-19 år	2026	Hovedalternativet (MMMM)	5521
1149 Karmøy	Menn	0-19 år	2026	Lav nasjonal vekst (LLML)	5450
1149 Karmøy	Menn	0-19 år	2026	Høy nasjonal vekst (HHMH)	5582
1149 Karmøy	Menn	0-19 år	2027	Hovedalternativet (MMMM)	5442
1149 Karmøy	Menn	0-19 år	2027	Lav nasjonal vekst (LLML)	5331
1149 Karmøy	Menn	0-19 år	2027	Høy nasjonal vekst (HHMH)	5537
1149 Karmøy	Menn	0-19 år	2028	Hovedalternativet (MMMM)	5395
1149 Karmøy	Menn	0-19 år	2028	Lav nasjonal vekst (LLML)	5234
1149 Karmøy	Menn	0-19 år	2028	Høy nasjonal vekst (HHMH)	5524
1149 Karmøy	Menn	0-19 år	2029	Hovedalternativet (MMMM)	5322
1149 Karmøy	Menn	0-19 år	2029	Lav nasjonal vekst (LLML)	5107
1149 Karmøy	Menn	0-19 år	2029	Høy nasjonal vekst (HHMH)	5483
1149 Karmøy	Menn	0-19 år	2030	Hovedalternativet (MMMM)	5228
1149 Karmøy	Menn	0-19 år	2030	Lav nasjonal vekst (LLML)	4960
1149 Karmøy	Menn	0-19 år	2030	Høy nasjonal vekst (HHMH)	5442
1149 Karmøy	Menn	0-19 år	2031	Hovedalternativet (MMMM)	5134
1149 Karmøy	Menn	0-19 år	2031	Lav nasjonal vekst (LLML)	4809
1149 Karmøy	Menn	0-19 år	2031	Høy nasjonal vekst (HHMH)	5395
1149 Karmøy	Menn	0-19 år	2032	Hovedalternativet (MMMM)	5085
1149 Karmøy	Menn	0-19 år	2032	Lav nasjonal vekst (LLML)	4697
1149 Karmøy	Menn	0-19 år	2032	Høy nasjonal vekst (HHMH)	5405
1149 Karmøy	Menn	0-19 år	2033	Hovedalternativet (MMMM)	5044
1149 Karmøy	Menn	0-19 år	2033	Lav nasjonal vekst (LLML)	4593
1149 Karmøy	Menn	0-19 år	2033	Høy nasjonal vekst (HHMH)	5417
1149 Karmøy	Menn	0-19 år	2034	Hovedalternativet (MMMM)	4993
1149 Karmøy	Menn	0-19 år	2034	Lav nasjonal vekst (LLML)	4476
1149 Karmøy	Menn	0-19 år	2034	Høy nasjonal vekst (HHMH)	5421
1149 Karmøy	Menn	0-19 år	2035	Hovedalternativet (MMMM)	4945
1149 Karmøy	Menn	0-19 år	2035	Lav nasjonal vekst (LLML)	4360
1149 Karmøy	Menn	0-19 år	2035	Høy nasjonal vekst (HHMH)	5420
1149 Karmøy	Menn	0-19 år	2036	Hovedalternativet (MMMM)	4906
1149 Karmøy	Menn	0-19 år	2036	Lav nasjonal vekst (LLML)	4247
1149 Karmøy	Menn	0-19 år	2036	Høy nasjonal vekst (HHMH)	5431
1149 Karmøy	Menn	0-19 år	2037	Hovedalternativet (MMMM)	4894
1149 Karmøy	Menn	0-19 år	2037	Lav nasjonal vekst (LLML)	4166
1149 Karmøy	Menn	0-19 år	2037	Høy nasjonal vekst (HHMH)	5467
1149 Karmøy	Menn	0-19 år	2038	Hovedalternativet (MMMM)	4877
1149 Karmøy	Menn	0-19 år	2038	Lav nasjonal vekst (LLML)	4076
