region	alder	statistikkvariabel	ar	kjonn	04362: Befolkning,
11490101 Sævik	0-5 år	Personer	2024	Menn	24
11490101 Sævik	0-5 år	Personer	2024	Kvinner	20
11490101 Sævik	6-15 år	Personer	2024	Menn	64
11490101 Sævik	6-15 år	Personer	2024	Kvinner	48
11490101 Sævik	16-19 år	Personer	2024	Menn	22
11490101 Sævik	16-19 år	Personer	2024	Kvinner	17
11490101 Sævik	20-24 år	Personer	2024	Menn	27
11490101 Sævik	20-24 år	Personer	2024	Kvinner	25
11490101 Sævik	25-29 år	Personer	2024	Menn	29
11490101 Sævik	25-29 år	Personer	2024	Kvinner	21
11490101 Sævik	30-49 år	Personer	2024	Menn	83
11490101 Sævik	30-49 år	Personer	2024	Kvinner	82
11490101 Sævik	50-59 år	Personer	2024	Menn	56
11490101 Sævik	50-59 år	Personer	2024	Kvinner	51
11490101 Sævik	60-66 år	Personer	2024	Menn	28
11490101 Sævik	60-66 år	Personer	2024	Kvinner	23
11490101 Sævik	67-69 år	Personer	2024	Menn	7
11490101 Sævik	67-69 år	Personer	2024	Kvinner	14
11490101 Sævik	70-79 år	Personer	2024	Menn	35
11490101 Sævik	70-79 år	Personer	2024	Kvinner	35
11490101 Sævik	80 år eller eldre	Personer	2024	Menn	11
11490101 Sævik	80 år eller eldre	Personer	2024	Kvinner	19
11490102 Østhus	0-5 år	Personer	2024	Menn	9
11490102 Østhus	0-5 år	Personer	2024	Kvinner	18
11490102 Østhus	6-15 år	Personer	2024	Menn	53
11490102 Østhus	6-15 år	Personer	2024	Kvinner	50
11490102 Østhus	16-19 år	Personer	2024	Menn	24
11490102 Østhus	16-19 år	Personer	2024	Kvinner	9
11490102 Østhus	20-24 år	Personer	2024	Menn	9
11490102 Østhus	20-24 år	Personer	2024	Kvinner	8
11490102 Østhus	25-29 år	Personer	2024	Menn	10
11490102 Østhus	25-29 år	Personer	2024	Kvinner	6
11490102 Østhus	30-49 år	Personer	2024	Menn	68
11490102 Østhus	30-49 år	Personer	2024	Kvinner	70
11490102 Østhus	50-59 år	Personer	2024	Menn	29
11490102 Østhus	50-59 år	Personer	2024	Kvinner	29
11490102 Østhus	60-66 år	Personer	2024	Menn	13
11490102 Østhus	60-66 år	Personer	2024	Kvinner	11
11490102 Østhus	67-69 år	Personer	2024	Menn	7
11490102 Østhus	67-69 år	Personer	2024	Kvinner	8
11490102 Østhus	70-79 år	Personer	2024	Menn	17
11490102 Østhus	70-79 år	Personer	2024	Kvinner	16
11490102 Østhus	80 år eller eldre	Personer	2024	Menn	7
11490102 Østhus	80 år eller eldre	Personer	2024	Kvinner	11
11490103 Østhusneset	0-5 år	Personer	2024	Menn	14
11490103 Østhusneset	0-5 år	Personer	2024	Kvinner	20
11490103 Østhusneset	6-15 år	Personer	2024	Menn	44
11490103 Østhusneset	6-15 år	Personer	2024	Kvinner	39
11490103 Østhusneset	16-19 år	Personer	2024	Menn	17
11490103 Østhusneset	16-19 år	Personer	2024	Kvinner	21
11490103 Østhusneset	20-24 år	Personer	2024	Menn	18
11490103 Østhusneset	20-24 år	Personer	2024	Kvinner	13
11490103 Østhusneset	25-29 år	Personer	2024	Menn	15
11490103 Østhusneset	25-29 år	Personer	2024	Kvinner	18
11490103 Østhusneset	30-49 år	Personer	2024	Menn	69
11490103 Østhusneset	30-49 år	Personer	2024	Kvinner	71
11490103 Østhusneset	50-59 år	Personer	2024	Menn	34
11490103 Østhusneset	50-59 år	Personer	2024	Kvinner	29
11490103 Østhusneset	60-66 år	Personer	2024	Menn	17
11490103 Østhusneset	60-66 år	Personer	2024	Kvinner	21
11490103 Østhusneset	67-69 år	Personer	2024	Menn	10
11490103 Østhusneset	67-69 år	Personer	2024	Kvinner	6
11490103 Østhusneset	70-79 år	Personer	2024	Menn	28
11490103 Østhusneset	70-79 år	Personer	2024	Kvinner	24
11490103 Østhusneset	80 år eller eldre	Personer	2024	Menn	10
11490103 Østhusneset	80 år eller eldre	Personer	2024	Kvinner	12
11490104 Munkejord	0-5 år	Personer	2024	Menn	22
11490104 Munkejord	0-5 år	Personer	2024	Kvinner	19
11490104 Munkejord	6-15 år	Personer	2024	Menn	56
11490104 Munkejord	6-15 år	Personer	2024	Kvinner	53
11490104 Munkejord	16-19 år	Personer	2024	Menn	15
11490104 Munkejord	16-19 år	Personer	2024	Kvinner	13
11490104 Munkejord	20-24 år	Personer	2024	Menn	21
11490104 Munkejord	20-24 år	Personer	2024	Kvinner	13
11490104 Munkejord	25-29 år	Personer	2024	Menn	14
11490104 Munkejord	25-29 år	Personer	2024	Kvinner	15
11490104 Munkejord	30-49 år	Personer	2024	Menn	79
11490104 Munkejord	30-49 år	Personer	2024	Kvinner	86
11490104 Munkejord	50-59 år	Personer	2024	Menn	37
11490104 Munkejord	50-59 år	Personer	2024	Kvinner	34
11490104 Munkejord	60-66 år	Personer	2024	Menn	23
11490104 Munkejord	60-66 år	Personer	2024	Kvinner	21
11490104 Munkejord	67-69 år	Personer	2024	Menn	9
11490104 Munkejord	67-69 år	Personer	2024	Kvinner	10
11490104 Munkejord	70-79 år	Personer	2024	Menn	19
11490104 Munkejord	70-79 år	Personer	2024	Kvinner	22
11490104 Munkejord	80 år eller eldre	Personer	2024	Menn	15
11490104 Munkejord	80 år eller eldre	Personer	2024	Kvinner	16
11490105 Vea	0-5 år	Personer	2024	Menn	28
11490105 Vea	0-5 år	Personer	2024	Kvinner	45
11490105 Vea	6-15 år	Personer	2024	Menn	80
11490105 Vea	6-15 år	Personer	2024	Kvinner	56
11490105 Vea	16-19 år	Personer	2024	Menn	25
11490105 Vea	16-19 år	Personer	2024	Kvinner	19
11490105 Vea	20-24 år	Personer	2024	Menn	16
11490105 Vea	20-24 år	Personer	2024	Kvinner	16
11490105 Vea	25-29 år	Personer	2024	Menn	40
11490105 Vea	25-29 år	Personer	2024	Kvinner	28
11490105 Vea	30-49 år	Personer	2024	Menn	103
11490105 Vea	30-49 år	Personer	2024	Kvinner	133
11490105 Vea	50-59 år	Personer	2024	Menn	54
11490105 Vea	50-59 år	Personer	2024	Kvinner	44
11490105 Vea	60-66 år	Personer	2024	Menn	24
11490105 Vea	60-66 år	Personer	2024	Kvinner	35
11490105 Vea	67-69 år	Personer	2024	Menn	9
11490105 Vea	67-69 år	Personer	2024	Kvinner	8
11490105 Vea	70-79 år	Personer	2024	Menn	31
11490105 Vea	70-79 år	Personer	2024	Kvinner	29
11490105 Vea	80 år eller eldre	Personer	2024	Menn	12
11490105 Vea	80 år eller eldre	Personer	2024	Kvinner	21
11490201 Heiå	0-5 år	Personer	2024	Menn	6
11490201 Heiå	0-5 år	Personer	2024	Kvinner	6
11490201 Heiå	6-15 år	Personer	2024	Menn	16
11490201 Heiå	6-15 år	Personer	2024	Kvinner	15
11490201 Heiå	16-19 år	Personer	2024	Menn	10
11490201 Heiå	16-19 år	Personer	2024	Kvinner	10
11490201 Heiå	20-24 år	Personer	2024	Menn	8
11490201 Heiå	20-24 år	Personer	2024	Kvinner	5
11490201 Heiå	25-29 år	Personer	2024	Menn	13
