statistikkvariabel	region	år	05426: Flyttinger,
Innvandring	K-1149 Karmøy	2013	361
Innvandring	K-1149 Karmøy	2014	292
Innvandring	K-1149 Karmøy	2015	252
Innvandring	K-1149 Karmøy	2016	283
Innvandring	K-1149 Karmøy	2017	196
Innvandring	K-1149 Karmøy	2018	179
Innvandring	K-1149 Karmøy	2019	176
Innvandring	K-1149 Karmøy	2020	134
Innvandring	K-1149 Karmøy	2021	215
Innvandring	K-1149 Karmøy	2022	337
Innvandring	K-1149 Karmøy	2023	258
Utvandring	K-1149 Karmøy	2013	107
Utvandring	K-1149 Karmøy	2014	145
Utvandring	K-1149 Karmøy	2015	162
Utvandring	K-1149 Karmøy	2016	190
Utvandring	K-1149 Karmøy	2017	177
Utvandring	K-1149 Karmøy	2018	165
Utvandring	K-1149 Karmøy	2019	104
Utvandring	K-1149 Karmøy	2020	85
Utvandring	K-1149 Karmøy	2021	114
Utvandring	K-1149 Karmøy	2022	123
Utvandring	K-1149 Karmøy	2023	139
Nettoinnvandring	K-1149 Karmøy	2013	254
Nettoinnvandring	K-1149 Karmøy	2014	147
Nettoinnvandring	K-1149 Karmøy	2015	90
Nettoinnvandring	K-1149 Karmøy	2016	93
Nettoinnvandring	K-1149 Karmøy	2017	19
Nettoinnvandring	K-1149 Karmøy	2018	14
Nettoinnvandring	K-1149 Karmøy	2019	72
Nettoinnvandring	K-1149 Karmøy	2020	49
Nettoinnvandring	K-1149 Karmøy	2021	101
Nettoinnvandring	K-1149 Karmøy	2022	214
Nettoinnvandring	K-1149 Karmøy	2023	119
