region	eierstatus	inntektsgruppe	statistikkvariabel	år	11346: Husholdninger,
1149 Karmøy	I alt	Alle husholdninger	Antall husholdninger	2015	17031
1149 Karmøy	I alt	Alle husholdninger	Antall husholdninger	2016	17226
1149 Karmøy	I alt	Alle husholdninger	Antall husholdninger	2017	17373
1149 Karmøy	I alt	Alle husholdninger	Antall husholdninger	2018	17496
1149 Karmøy	I alt	Alle husholdninger	Antall husholdninger	2019	17621
1149 Karmøy	I alt	Alle husholdninger	Antall husholdninger	2020	17792
1149 Karmøy	I alt	Alle husholdninger	Antall husholdninger	2021	18001
1149 Karmøy	I alt	Alle husholdninger	Antall husholdninger	2022	18139
1149 Karmøy	I alt	Alle husholdninger	Antall husholdninger	2023	18445
1149 Karmøy	I alt	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2015	2137
1149 Karmøy	I alt	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2016	2124
1149 Karmøy	I alt	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2017	2191
1149 Karmøy	I alt	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2018	2264
1149 Karmøy	I alt	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2019	2221
1149 Karmøy	I alt	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2020	2228
1149 Karmøy	I alt	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2021	2307
1149 Karmøy	I alt	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2022	2202
1149 Karmøy	I alt	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2023	2299
1149 Karmøy	I alt	Laveste inntektskvartil	Antall husholdninger	2015	3689
1149 Karmøy	I alt	Laveste inntektskvartil	Antall husholdninger	2016	3655
1149 Karmøy	I alt	Laveste inntektskvartil	Antall husholdninger	2017	3802
1149 Karmøy	I alt	Laveste inntektskvartil	Antall husholdninger	2018	3823
1149 Karmøy	I alt	Laveste inntektskvartil	Antall husholdninger	2019	3794
1149 Karmøy	I alt	Laveste inntektskvartil	Antall husholdninger	2020	3810
1149 Karmøy	I alt	Laveste inntektskvartil	Antall husholdninger	2021	3884
1149 Karmøy	I alt	Laveste inntektskvartil	Antall husholdninger	2022	3853
1149 Karmøy	I alt	Laveste inntektskvartil	Antall husholdninger	2023	3926
1149 Karmøy	I alt	Andre inntektskvartil	Antall husholdninger	2015	4534
1149 Karmøy	I alt	Andre inntektskvartil	Antall husholdninger	2016	4748
1149 Karmøy	I alt	Andre inntektskvartil	Antall husholdninger	2017	4856
1149 Karmøy	I alt	Andre inntektskvartil	Antall husholdninger	2018	4892
1149 Karmøy	I alt	Andre inntektskvartil	Antall husholdninger	2019	4860
1149 Karmøy	I alt	Andre inntektskvartil	Antall husholdninger	2020	4979
1149 Karmøy	I alt	Andre inntektskvartil	Antall husholdninger	2021	5027
1149 Karmøy	I alt	Andre inntektskvartil	Antall husholdninger	2022	4923
1149 Karmøy	I alt	Andre inntektskvartil	Antall husholdninger	2023	5020
1149 Karmøy	I alt	Tredje inntektskvartil	Antall husholdninger	2015	4501
1149 Karmøy	I alt	Tredje inntektskvartil	Antall husholdninger	2016	4585
1149 Karmøy	I alt	Tredje inntektskvartil	Antall husholdninger	2017	4630
1149 Karmøy	I alt	Tredje inntektskvartil	Antall husholdninger	2018	4689
1149 Karmøy	I alt	Tredje inntektskvartil	Antall husholdninger	2019	4782
1149 Karmøy	I alt	Tredje inntektskvartil	Antall husholdninger	2020	4752
1149 Karmøy	I alt	Tredje inntektskvartil	Antall husholdninger	2021	4817
1149 Karmøy	I alt	Tredje inntektskvartil	Antall husholdninger	2022	4893
1149 Karmøy	I alt	Tredje inntektskvartil	Antall husholdninger	2023	4926
1149 Karmøy	I alt	Høyeste inntektskvartil	Antall husholdninger	2015	4307
1149 Karmøy	I alt	Høyeste inntektskvartil	Antall husholdninger	2016	4238
1149 Karmøy	I alt	Høyeste inntektskvartil	Antall husholdninger	2017	4085
1149 Karmøy	I alt	Høyeste inntektskvartil	Antall husholdninger	2018	4092
1149 Karmøy	I alt	Høyeste inntektskvartil	Antall husholdninger	2019	4185
1149 Karmøy	I alt	Høyeste inntektskvartil	Antall husholdninger	2020	4251
1149 Karmøy	I alt	Høyeste inntektskvartil	Antall husholdninger	2021	4273
1149 Karmøy	I alt	Høyeste inntektskvartil	Antall husholdninger	2022	4470
1149 Karmøy	I alt	Høyeste inntektskvartil	Antall husholdninger	2023	4573
1149 Karmøy	I alt	Bostøttemottakere	Antall husholdninger	2015	962
1149 Karmøy	I alt	Bostøttemottakere	Antall husholdninger	2016	952
1149 Karmøy	I alt	Bostøttemottakere	Antall husholdninger	2017	926
1149 Karmøy	I alt	Bostøttemottakere	Antall husholdninger	2018	959
1149 Karmøy	I alt	Bostøttemottakere	Antall husholdninger	2019	843
1149 Karmøy	I alt	Bostøttemottakere	Antall husholdninger	2020	830
1149 Karmøy	I alt	Bostøttemottakere	Antall husholdninger	2021	818
1149 Karmøy	I alt	Bostøttemottakere	Antall husholdninger	2022	742
1149 Karmøy	I alt	Bostøttemottakere	Antall husholdninger	2023	871
1149 Karmøy	I alt	Sosialhjelpsmottakere	Antall husholdninger	2015	566
1149 Karmøy	I alt	Sosialhjelpsmottakere	Antall husholdninger	2016	647
1149 Karmøy	I alt	Sosialhjelpsmottakere	Antall husholdninger	2017	694
1149 Karmøy	I alt	Sosialhjelpsmottakere	Antall husholdninger	2018	714
1149 Karmøy	I alt	Sosialhjelpsmottakere	Antall husholdninger	2019	745
1149 Karmøy	I alt	Sosialhjelpsmottakere	Antall husholdninger	2020	723
1149 Karmøy	I alt	Sosialhjelpsmottakere	Antall husholdninger	2021	707
1149 Karmøy	I alt	Sosialhjelpsmottakere	Antall husholdninger	2022	654
1149 Karmøy	I alt	Sosialhjelpsmottakere	Antall husholdninger	2023	726
1149 Karmøy	I alt	Trygdemottaker under 67 år	Antall husholdninger	2015	1595
1149 Karmøy	I alt	Trygdemottaker under 67 år	Antall husholdninger	2016	1710
1149 Karmøy	I alt	Trygdemottaker under 67 år	Antall husholdninger	2017	1786
1149 Karmøy	I alt	Trygdemottaker under 67 år	Antall husholdninger	2018	1899
1149 Karmøy	I alt	Trygdemottaker under 67 år	Antall husholdninger	2019	1892
1149 Karmøy	I alt	Trygdemottaker under 67 år	Antall husholdninger	2020	1891
1149 Karmøy	I alt	Trygdemottaker under 67 år	Antall husholdninger	2021	1936
1149 Karmøy	I alt	Trygdemottaker under 67 år	Antall husholdninger	2022	1952
1149 Karmøy	I alt	Trygdemottaker under 67 år	Antall husholdninger	2023	1978
1149 Karmøy	I alt	Trygdemottaker 67 år og eldre	Antall husholdninger	2015	3141
1149 Karmøy	I alt	Trygdemottaker 67 år og eldre	Antall husholdninger	2016	3247
1149 Karmøy	I alt	Trygdemottaker 67 år og eldre	Antall husholdninger	2017	3368
1149 Karmøy	I alt	Trygdemottaker 67 år og eldre	Antall husholdninger	2018	3463
1149 Karmøy	I alt	Trygdemottaker 67 år og eldre	Antall husholdninger	2019	3557
1149 Karmøy	I alt	Trygdemottaker 67 år og eldre	Antall husholdninger	2020	3699
1149 Karmøy	I alt	Trygdemottaker 67 år og eldre	Antall husholdninger	2021	3779
1149 Karmøy	I alt	Trygdemottaker 67 år og eldre	Antall husholdninger	2022	3797
1149 Karmøy	I alt	Trygdemottaker 67 år og eldre	Antall husholdninger	2023	3831
1149 Karmøy	I alt	Høy gjeldsbelastning	Antall husholdninger	2015	2869
1149 Karmøy	I alt	Høy gjeldsbelastning	Antall husholdninger	2016	3108
1149 Karmøy	I alt	Høy gjeldsbelastning	Antall husholdninger	2017	3380
1149 Karmøy	I alt	Høy gjeldsbelastning	Antall husholdninger	2018	3399
1149 Karmøy	I alt	Høy gjeldsbelastning	Antall husholdninger	2019	3321
1149 Karmøy	I alt	Høy gjeldsbelastning	Antall husholdninger	2020	3284
1149 Karmøy	I alt	Høy gjeldsbelastning	Antall husholdninger	2021	3344
1149 Karmøy	I alt	Høy gjeldsbelastning	Antall husholdninger	2022	3187
1149 Karmøy	I alt	Høy gjeldsbelastning	Antall husholdninger	2023	3061
1149 Karmøy	Selveier	Alle husholdninger	Antall husholdninger	2015	14497
1149 Karmøy	Selveier	Alle husholdninger	Antall husholdninger	2016	14639
1149 Karmøy	Selveier	Alle husholdninger	Antall husholdninger	2017	14775
1149 Karmøy	Selveier	Alle husholdninger	Antall husholdninger	2018	14878
1149 Karmøy	Selveier	Alle husholdninger	Antall husholdninger	2019	15034
1149 Karmøy	Selveier	Alle husholdninger	Antall husholdninger	2020	15170
1149 Karmøy	Selveier	Alle husholdninger	Antall husholdninger	2021	15261
1149 Karmøy	Selveier	Alle husholdninger	Antall husholdninger	2022	15409
1149 Karmøy	Selveier	Alle husholdninger	Antall husholdninger	2023	15622
1149 Karmøy	Selveier	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2015	1197
1149 Karmøy	Selveier	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2016	1161
1149 Karmøy	Selveier	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2017	1226
1149 Karmøy	Selveier	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2018	1250
1149 Karmøy	Selveier	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2019	1281
1149 Karmøy	Selveier	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2020	1225
1149 Karmøy	Selveier	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2021	1255
1149 Karmøy	Selveier	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2022	1192
1149 Karmøy	Selveier	Lavinntekt, EU-skala 60 prosent	Antall husholdninger	2023	1247
1149 Karmøy	Selveier	Laveste inntektskvartil	Antall husholdninger	2015	2229
1149 Karmøy	Selveier	Laveste inntektskvartil	Antall husholdninger	2016	2165
1149 Karmøy	Selveier	Laveste inntektskvartil	Antall husholdninger	2017	2309
1149 Karmøy	Selveier	Laveste inntektskvartil	Antall husholdninger	2018	2308
1149 Karmøy	Selveier	Laveste inntektskvartil	Antall husholdninger	2019	2347
1149 Karmøy	Selveier	Laveste inntektskvartil	Antall husholdninger	2020	2327
1149 Karmøy	Selveier	Laveste inntektskvartil	Antall husholdninger	2021	2354
1149 Karmøy	Selveier	Laveste inntektskvartil	Antall husholdninger	2022	2365
1149 Karmøy	Selveier	Laveste inntektskvartil	Antall husholdninger	2023	2359
1149 Karmøy	Selveier	Andre inntektskvartil	Antall husholdninger	2015	3939
1149 Karmøy	Selveier	Andre inntektskvartil	Antall husholdninger	2016	4075
1149 Karmøy	Selveier	Andre inntektskvartil	Antall husholdninger	2017	4213
1149 Karmøy	Selveier	Andre inntektskvartil	Antall husholdninger	2018	4253
1149 Karmøy	Selveier	Andre inntektskvartil	Antall husholdninger	2019	4221
1149 Karmøy	Selveier	Andre inntektskvartil	Antall husholdninger	2020	4316
1149 Karmøy	Selveier	Andre inntektskvartil	Antall husholdninger	2021	4339
1149 Karmøy	Selveier	Andre inntektskvartil	Antall husholdninger	2022	4243
1149 Karmøy	Selveier	Andre inntektskvartil	Antall husholdninger	2023	4315
1149 Karmøy	Selveier	Tredje inntektskvartil	Antall husholdninger	2015	4206
1149 Karmøy	Selveier	Tredje inntektskvartil	Antall husholdninger	2016	4317
