statistikkvariabel	region	husholdningstype	eierstatus	år	11082: Husholdninger,
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Selveier	2015	14498
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Selveier	2016	14639
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Selveier	2017	14776
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Selveier	2018	14877
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Selveier	2019	15034
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Selveier	2020	15168
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Selveier	2021	15261
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Selveier	2022	15409
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Selveier	2023	15622
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2015	184
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2016	177
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2017	179
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2018	194
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2019	193
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2020	194
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2021	188
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2022	190
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2023	194
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Leier	2015	2349
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Leier	2016	2410
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Leier	2017	2418
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Leier	2018	2426
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Leier	2019	2394
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Leier	2020	2430
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Leier	2021	2553
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Leier	2022	2539
Antall husholdninger	1149 Karmøy	Husholdninger i alt	Leier	2023	2628
Antall husholdninger	1149 Karmøy	Aleneboende	Selveier	2015	3721
Antall husholdninger	1149 Karmøy	Aleneboende	Selveier	2016	3787
Antall husholdninger	1149 Karmøy	Aleneboende	Selveier	2017	3902
Antall husholdninger	1149 Karmøy	Aleneboende	Selveier	2018	3991
Antall husholdninger	1149 Karmøy	Aleneboende	Selveier	2019	4101
Antall husholdninger	1149 Karmøy	Aleneboende	Selveier	2020	4232
Antall husholdninger	1149 Karmøy	Aleneboende	Selveier	2021	4326
Antall husholdninger	1149 Karmøy	Aleneboende	Selveier	2022	4394
Antall husholdninger	1149 Karmøy	Aleneboende	Selveier	2023	4549
Antall husholdninger	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2015	86
Antall husholdninger	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2016	89
Antall husholdninger	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2017	90
Antall husholdninger	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2018	106
Antall husholdninger	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2019	100
Antall husholdninger	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2020	106
Antall husholdninger	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2021	95
Antall husholdninger	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2022	107
Antall husholdninger	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2023	102
Antall husholdninger	1149 Karmøy	Aleneboende	Leier	2015	1351
Antall husholdninger	1149 Karmøy	Aleneboende	Leier	2016	1425
Antall husholdninger	1149 Karmøy	Aleneboende	Leier	2017	1424
Antall husholdninger	1149 Karmøy	Aleneboende	Leier	2018	1386
Antall husholdninger	1149 Karmøy	Aleneboende	Leier	2019	1406
Antall husholdninger	1149 Karmøy	Aleneboende	Leier	2020	1450
Antall husholdninger	1149 Karmøy	Aleneboende	Leier	2021	1581
Antall husholdninger	1149 Karmøy	Aleneboende	Leier	2022	1592
Antall husholdninger	1149 Karmøy	Aleneboende	Leier	2023	1660
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2015	4026
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2016	4116
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2017	4166
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2018	4268
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2019	4337
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2020	4384
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2021	4438
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2022	4525
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2023	4537
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2015	46
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2016	48
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2017	42
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2018	44
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2019	42
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2020	42
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2021	47
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2022	41
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2023	47
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Leier	2015	259
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Leier	2016	247
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Leier	2017	259
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Leier	2018	272
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Leier	2019	271
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Leier	2020	278
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Leier	2021	275
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Leier	2022	267
Antall husholdninger	1149 Karmøy	Par uten hjemmeboende barn	Leier	2023	265
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2015	1937
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2016	1923
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2017	1917
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2018	1874
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2019	1814
