statistikkvariabel	region	bygningstype	ar	Boligbygg,
Igangsettingstillatelser boliger	K-1149 Karmoy	111 Enebolig	2013	92
Igangsettingstillatelser boliger	K-1149 Karmoy	111 Enebolig	2014	90
Igangsettingstillatelser boliger	K-1149 Karmoy	111 Enebolig	2015	81
Igangsettingstillatelser boliger	K-1149 Karmoy	111 Enebolig	2016	109
Igangsettingstillatelser boliger	K-1149 Karmoy	111 Enebolig	2017	64
Igangsettingstillatelser boliger	K-1149 Karmoy	111 Enebolig	2018	73
Igangsettingstillatelser boliger	K-1149 Karmoy	111 Enebolig	2019	71
Igangsettingstillatelser boliger	K-1149 Karmoy	111 Enebolig	2020	96
Igangsettingstillatelser boliger	K-1149 Karmoy	111 Enebolig	2021	86
Igangsettingstillatelser boliger	K-1149 Karmoy	111 Enebolig	2022	84
Igangsettingstillatelser boliger	K-1149 Karmoy	111 Enebolig	2023	50
Igangsettingstillatelser boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2013	11
Igangsettingstillatelser boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2014	11
Igangsettingstillatelser boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2015	16
Igangsettingstillatelser boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2016	9
Igangsettingstillatelser boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2017	12
Igangsettingstillatelser boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2018	11
Igangsettingstillatelser boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2019	12
Igangsettingstillatelser boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2020	5
Igangsettingstillatelser boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2021	17
Igangsettingstillatelser boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2022	2
Igangsettingstillatelser boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2023	9
Igangsettingstillatelser boliger	K-1149 Karmoy	113 Vaningshus	2013	2
Igangsettingstillatelser boliger	K-1149 Karmoy	113 Vaningshus	2014	0
Igangsettingstillatelser boliger	K-1149 Karmoy	113 Vaningshus	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	113 Vaningshus	2016	4
Igangsettingstillatelser boliger	K-1149 Karmoy	113 Vaningshus	2017	1
Igangsettingstillatelser boliger	K-1149 Karmoy	113 Vaningshus	2018	0
