region	husholdningstype	statistikkvariabel	ar	06081: Personer i privathusholdninger,
K-1149 Karmøy	Aleneboende	Personer i privathusholdninger	2013	5213
K-1149 Karmøy	Aleneboende	Personer i privathusholdninger	2014	5072
K-1149 Karmøy	Aleneboende	Personer i privathusholdninger	2015	5159
K-1149 Karmøy	Aleneboende	Personer i privathusholdninger	2016	5302
K-1149 Karmøy	Aleneboende	Personer i privathusholdninger	2017	5416
K-1149 Karmøy	Aleneboende	Personer i privathusholdninger	2018	5484
K-1149 Karmøy	Aleneboende	Personer i privathusholdninger	2019	5608
K-1149 Karmøy	Aleneboende	Personer i privathusholdninger	2020	5786
K-1149 Karmøy	Aleneboende	Personer i privathusholdninger	2021	6002
K-1149 Karmøy	Aleneboende	Personer i privathusholdninger	2022	6094
K-1149 Karmøy	Aleneboende	Personer i privathusholdninger	2023	6312
K-1149 Karmøy	Husholdninger med 1 barn	Personer i privathusholdninger	2013	7568
K-1149 Karmøy	Husholdninger med 1 barn	Personer i privathusholdninger	2014	7486
K-1149 Karmøy	Husholdninger med 1 barn	Personer i privathusholdninger	2015	7375
K-1149 Karmøy	Husholdninger med 1 barn	Personer i privathusholdninger	2016	7434
K-1149 Karmøy	Husholdninger med 1 barn	Personer i privathusholdninger	2017	7275
K-1149 Karmøy	Husholdninger med 1 barn	Personer i privathusholdninger	2018	7189
K-1149 Karmøy	Husholdninger med 1 barn	Personer i privathusholdninger	2019	7052
K-1149 Karmøy	Husholdninger med 1 barn	Personer i privathusholdninger	2020	6805
K-1149 Karmøy	Husholdninger med 1 barn	Personer i privathusholdninger	2021	6561
K-1149 Karmøy	Husholdninger med 1 barn	Personer i privathusholdninger	2022	6587
K-1149 Karmøy	Husholdninger med 1 barn	Personer i privathusholdninger	2023	6713
K-1149 Karmøy	Husholdninger med 2 barn	Personer i privathusholdninger	2013	8902
K-1149 Karmøy	Husholdninger med 2 barn	Personer i privathusholdninger	2014	8819
K-1149 Karmøy	Husholdninger med 2 barn	Personer i privathusholdninger	2015	8801
K-1149 Karmøy	Husholdninger med 2 barn	Personer i privathusholdninger	2016	8594
K-1149 Karmøy	Husholdninger med 2 barn	Personer i privathusholdninger	2017	8692
