contents	region	year	12008: Municipal disposed dwellings,
Total number of municipal disposed dwellings (number)	1106 Haugesund	2015	578
Total number of municipal disposed dwellings (number)	1106 Haugesund	2016	595
Total number of municipal disposed dwellings (number)	1106 Haugesund	2017	597
Total number of municipal disposed dwellings (number)	1106 Haugesund	2018	592
Total number of municipal disposed dwellings (number)	1106 Haugesund	2019	582
Total number of municipal disposed dwellings (number)	1106 Haugesund	2020	571
Total number of municipal disposed dwellings (number)	1106 Haugesund	2021	565
Total number of municipal disposed dwellings (number)	1106 Haugesund	2022	560
Total number of municipal disposed dwellings (number)	1106 Haugesund	2023	518
Total number of municipal disposed dwellings (number)	1145 Bokn	2015	21
Total number of municipal disposed dwellings (number)	1145 Bokn	2016	21
Total number of municipal disposed dwellings (number)	1145 Bokn	2017	21
Total number of municipal disposed dwellings (number)	1145 Bokn	2018	21
Total number of municipal disposed dwellings (number)	1145 Bokn	2019	28
Total number of municipal disposed dwellings (number)	1145 Bokn	2020	26
Total number of municipal disposed dwellings (number)	1145 Bokn	2021	26
Total number of municipal disposed dwellings (number)	1145 Bokn	2022	26
Total number of municipal disposed dwellings (number)	1145 Bokn	2023	26
Total number of municipal disposed dwellings (number)	1146 Tysvær	2015	189
Total number of municipal disposed dwellings (number)	1146 Tysvær	2016	179
Total number of municipal disposed dwellings (number)	1146 Tysvær	2017	176
Total number of municipal disposed dwellings (number)	1146 Tysvær	2018	171
Total number of municipal disposed dwellings (number)	1146 Tysvær	2019	165
Total number of municipal disposed dwellings (number)	1146 Tysvær	2020	153
Total number of municipal disposed dwellings (number)	1146 Tysvær	2021	151
Total number of municipal disposed dwellings (number)	1146 Tysvær	2022	155
Total number of municipal disposed dwellings (number)	1146 Tysvær	2023	165
Total number of municipal disposed dwellings (number)	1149 Karmøy	2015	516
Total number of municipal disposed dwellings (number)	1149 Karmøy	2016	503
Total number of municipal disposed dwellings (number)	1149 Karmøy	2017	510
Total number of municipal disposed dwellings (number)	1149 Karmøy	2018	494
Total number of municipal disposed dwellings (number)	1149 Karmøy	2019	474
Total number of municipal disposed dwellings (number)	1149 Karmøy	2020	475
Total number of municipal disposed dwellings (number)	1149 Karmøy	2021	468
Total number of municipal disposed dwellings (number)	1149 Karmøy	2022	439
Total number of municipal disposed dwellings (number)	1149 Karmøy	2023	469
Total number of municipal disposed dwellings (number)	1160 Vindafjord	2015	122
Total number of municipal disposed dwellings (number)	1160 Vindafjord	2016	124
Total number of municipal disposed dwellings (number)	1160 Vindafjord	2017	125
Total number of municipal disposed dwellings (number)	1160 Vindafjord	2018	118
Total number of municipal disposed dwellings (number)	1160 Vindafjord	2019	116
Total number of municipal disposed dwellings (number)	1160 Vindafjord	2020	109
Total number of municipal disposed dwellings (number)	1160 Vindafjord	2021	109
Total number of municipal disposed dwellings (number)	1160 Vindafjord	2022	96
Total number of municipal disposed dwellings (number)	1160 Vindafjord	2023	105
Dwellings owned by municipality (number)	1106 Haugesund	2015	284
Dwellings owned by municipality (number)	1106 Haugesund	2016	282
Dwellings owned by municipality (number)	1106 Haugesund	2017	284
Dwellings owned by municipality (number)	1106 Haugesund	2018	279
Dwellings owned by municipality (number)	1106 Haugesund	2019	269
Dwellings owned by municipality (number)	1106 Haugesund	2020	258
Dwellings owned by municipality (number)	1106 Haugesund	2021	252
Dwellings owned by municipality (number)	1106 Haugesund	2022	247
Dwellings owned by municipality (number)	1106 Haugesund	2023	247
Dwellings owned by municipality (number)	1145 Bokn	2015	21
Dwellings owned by municipality (number)	1145 Bokn	2016	21
Dwellings owned by municipality (number)	1145 Bokn	2017	21
Dwellings owned by municipality (number)	1145 Bokn	2018	21
Dwellings owned by municipality (number)	1145 Bokn	2019	28
Dwellings owned by municipality (number)	1145 Bokn	2020	26
Dwellings owned by municipality (number)	1145 Bokn	2021	26
Dwellings owned by municipality (number)	1145 Bokn	2022	26
Dwellings owned by municipality (number)	1145 Bokn	2023	26
Dwellings owned by municipality (number)	1146 Tysvær	2015	167
Dwellings owned by municipality (number)	1146 Tysvær	2016	167
Dwellings owned by municipality (number)	1146 Tysvær	2017	167
Dwellings owned by municipality (number)	1146 Tysvær	2018	167
Dwellings owned by municipality (number)	1146 Tysvær	2019	162
Dwellings owned by municipality (number)	1146 Tysvær	2020	151
Dwellings owned by municipality (number)	1146 Tysvær	2021	149
Dwellings owned by municipality (number)	1146 Tysvær	2022	154
Dwellings owned by municipality (number)	1146 Tysvær	2023	164
Dwellings owned by municipality (number)	1149 Karmøy	2015	392
Dwellings owned by municipality (number)	1149 Karmøy	2016	383
Dwellings owned by municipality (number)	1149 Karmøy	2017	390
Dwellings owned by municipality (number)	1149 Karmøy	2018	391
Dwellings owned by municipality (number)	1149 Karmøy	2019	384
Dwellings owned by municipality (number)	1149 Karmøy	2020	383
Dwellings owned by municipality (number)	1149 Karmøy	2021	378
Dwellings owned by municipality (number)	1149 Karmøy	2022	373
Dwellings owned by municipality (number)	1149 Karmøy	2023	398
Dwellings owned by municipality (number)	1160 Vindafjord	2015	106
Dwellings owned by municipality (number)	1160 Vindafjord	2016	106
Dwellings owned by municipality (number)	1160 Vindafjord	2017	112
Dwellings owned by municipality (number)	1160 Vindafjord	2018	106
Dwellings owned by municipality (number)	1160 Vindafjord	2019	104
Dwellings owned by municipality (number)	1160 Vindafjord	2020	97
Dwellings owned by municipality (number)	1160 Vindafjord	2021	97
Dwellings owned by municipality (number)	1160 Vindafjord	2022	96
