contents	region	year	12012: Applications and rejected applications in regarding disposed municipal dwellings,
Number of received applications latest year (number)	1106 Haugesund	2015	241
Number of received applications latest year (number)	1106 Haugesund	2016	155
Number of received applications latest year (number)	1106 Haugesund	2017	222
Number of received applications latest year (number)	1106 Haugesund	2018	194
Number of received applications latest year (number)	1106 Haugesund	2019	162
Number of received applications latest year (number)	1106 Haugesund	2020	160
Number of received applications latest year (number)	1106 Haugesund	2021	181
Number of received applications latest year (number)	1106 Haugesund	2022	152
Number of received applications latest year (number)	1106 Haugesund	2023	206
Number of received applications latest year (number)	1145 Bokn	2015	4
Number of received applications latest year (number)	1145 Bokn	2016	3
Number of received applications latest year (number)	1145 Bokn	2017	9
Number of received applications latest year (number)	1145 Bokn	2018	4
Number of received applications latest year (number)	1145 Bokn	2019	6
Number of received applications latest year (number)	1145 Bokn	2020	6
Number of received applications latest year (number)	1145 Bokn	2021	3
Number of received applications latest year (number)	1145 Bokn	2022	6
Number of received applications latest year (number)	1145 Bokn	2023	3
Number of received applications latest year (number)	1146 Tysvær	2015	52
Number of received applications latest year (number)	1146 Tysvær	2016	22
Number of received applications latest year (number)	1146 Tysvær	2017	18
Number of received applications latest year (number)	1146 Tysvær	2018	25
Number of received applications latest year (number)	1146 Tysvær	2019	38
Number of received applications latest year (number)	1146 Tysvær	2020	40
Number of received applications latest year (number)	1146 Tysvær	2021	36
Number of received applications latest year (number)	1146 Tysvær	2022	34
Number of received applications latest year (number)	1146 Tysvær	2023	47
Number of received applications latest year (number)	1149 Karmøy	2015	229
Number of received applications latest year (number)	1149 Karmøy	2016	165
Number of received applications latest year (number)	1149 Karmøy	2017	175
Number of received applications latest year (number)	1149 Karmøy	2018	139
Number of received applications latest year (number)	1149 Karmøy	2019	146
Number of received applications latest year (number)	1149 Karmøy	2020	181
Number of received applications latest year (number)	1149 Karmøy	2021	185
Number of received applications latest year (number)	1149 Karmøy	2022	155
Number of received applications latest year (number)	1149 Karmøy	2023	198
Number of received applications latest year (number)	1160 Vindafjord	2015	52
Number of received applications latest year (number)	1160 Vindafjord	2016	51
Number of received applications latest year (number)	1160 Vindafjord	2017	55
Number of received applications latest year (number)	1160 Vindafjord	2018	45
Number of received applications latest year (number)	1160 Vindafjord	2019	80
