region	boligtype	statistikkvariabel	ar	06035: Selveierboliger,
1106 Haugesund	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2019	19234
1106 Haugesund	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2020	19535
1106 Haugesund	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2021	21283
1106 Haugesund	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2022	21894
1106 Haugesund	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2023	22949
1106 Haugesund	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2019	20035
1106 Haugesund	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2020	19719
1106 Haugesund	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2021	20885
1106 Haugesund	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2022	22268
1106 Haugesund	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2023	23141
1106 Haugesund	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2019	28289
1106 Haugesund	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2020	28322
1106 Haugesund	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2021	29853
1106 Haugesund	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2022	32867
1106 Haugesund	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2023	35083
1134 Suldal	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2019	11551
1134 Suldal	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2020	14873
1134 Suldal	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2021	15079
1134 Suldal	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1134 Suldal	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2023	18009
1134 Suldal	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1134 Suldal	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1134 Suldal	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
1134 Suldal	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1134 Suldal	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
1134 Suldal	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1134 Suldal	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1134 Suldal	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
1134 Suldal	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1134 Suldal	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
1135 Sauda	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2019	11228
1135 Sauda	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2020	9803
1135 Sauda	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2021	11264
1135 Sauda	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2022	12728
1135 Sauda	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2023	11435
1135 Sauda	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1135 Sauda	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1135 Sauda	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2021	11765
1135 Sauda	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1135 Sauda	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2023	15942
1135 Sauda	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1135 Sauda	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1135 Sauda	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
1135 Sauda	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1135 Sauda	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
1145 Bokn	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1145 Bokn	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1145 Bokn	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
1145 Bokn	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1145 Bokn	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
1145 Bokn	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1145 Bokn	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1145 Bokn	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
1145 Bokn	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
