bygningens byggeår	bruksareal	statistikkvariabel	år	region	06517: Boliger,
1900 og tidligere	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	1
1900 og tidligere	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	11
1900 og tidligere	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	16
1900 og tidligere	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	35
1900 og tidligere	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	86
1900 og tidligere	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	107
1900 og tidligere	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	159
1900 og tidligere	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	121
1900 og tidligere	140-159 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	114
1900 og tidligere	160-199 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	175
1900 og tidligere	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	113
1900 og tidligere	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	30
1900 og tidligere	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	10
1900 og tidligere	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	9
1901-1920	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	1
1901-1920	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	4
1901-1920	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	7
1901-1920	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	9
1901-1920	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	36
1901-1920	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	27
1901-1920	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	60
1901-1920	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	81
1901-1920	140-159 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	120
1901-1920	160-199 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	157
1901-1920	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	90
1901-1920	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	38
1901-1920	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	18
1901-1920	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	7
1921-1940	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	2
1921-1940	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	6
1921-1940	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	1
1921-1940	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	10
1921-1940	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	24
1921-1940	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	21
1921-1940	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	70
1921-1940	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	72
1921-1940	140-159 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	92
1921-1940	160-199 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	171
1921-1940	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	114
1921-1940	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	42
1921-1940	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	13
1921-1940	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	9
1941-1945	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	0
1941-1945	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	1
1941-1945	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	0
1941-1945	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	0
1941-1945	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	2
1941-1945	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	6
1941-1945	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	7
1941-1945	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	9
1941-1945	140-159 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	8
1941-1945	160-199 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	13
1941-1945	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	9
1941-1945	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	5
1941-1945	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	2
1941-1945	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	2
1946-1960	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	0
1946-1960	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	4
1946-1960	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	14
1946-1960	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	21
1946-1960	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	57
1946-1960	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	64
1946-1960	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	109
1946-1960	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	204
