region	bygningstype	antall rom	statistikkvariabel	ar	06515: Boliger,
K-1149 Karmøy	Enebolig	1 rom	Boliger (bebodde og ubebodde)	2013	67
K-1149 Karmøy	Enebolig	1 rom	Boliger (bebodde og ubebodde)	2014	69
K-1149 Karmøy	Enebolig	1 rom	Boliger (bebodde og ubebodde)	2015	69
K-1149 Karmøy	Enebolig	1 rom	Boliger (bebodde og ubebodde)	2016	67
K-1149 Karmøy	Enebolig	1 rom	Boliger (bebodde og ubebodde)	2017	71
K-1149 Karmøy	Enebolig	1 rom	Boliger (bebodde og ubebodde)	2018	60
K-1149 Karmøy	Enebolig	1 rom	Boliger (bebodde og ubebodde)	2019	57
K-1149 Karmøy	Enebolig	1 rom	Boliger (bebodde og ubebodde)	2020	51
K-1149 Karmøy	Enebolig	1 rom	Boliger (bebodde og ubebodde)	2021	50
K-1149 Karmøy	Enebolig	1 rom	Boliger (bebodde og ubebodde)	2022	45
K-1149 Karmøy	Enebolig	1 rom	Boliger (bebodde og ubebodde)	2023	40
K-1149 Karmøy	Enebolig	2 rom	Boliger (bebodde og ubebodde)	2013	604
K-1149 Karmøy	Enebolig	2 rom	Boliger (bebodde og ubebodde)	2014	601
K-1149 Karmøy	Enebolig	2 rom	Boliger (bebodde og ubebodde)	2015	602
K-1149 Karmøy	Enebolig	2 rom	Boliger (bebodde og ubebodde)	2016	603
K-1149 Karmøy	Enebolig	2 rom	Boliger (bebodde og ubebodde)	2017	609
K-1149 Karmøy	Enebolig	2 rom	Boliger (bebodde og ubebodde)	2018	574
K-1149 Karmøy	Enebolig	2 rom	Boliger (bebodde og ubebodde)	2019	575
K-1149 Karmøy	Enebolig	2 rom	Boliger (bebodde og ubebodde)	2020	531
K-1149 Karmøy	Enebolig	2 rom	Boliger (bebodde og ubebodde)	2021	526
K-1149 Karmøy	Enebolig	2 rom	Boliger (bebodde og ubebodde)	2022	521
K-1149 Karmøy	Enebolig	2 rom	Boliger (bebodde og ubebodde)	2023	525
K-1149 Karmøy	Enebolig	3 rom	Boliger (bebodde og ubebodde)	2013	1771
K-1149 Karmøy	Enebolig	3 rom	Boliger (bebodde og ubebodde)	2014	1781
K-1149 Karmøy	Enebolig	3 rom	Boliger (bebodde og ubebodde)	2015	1790
K-1149 Karmøy	Enebolig	3 rom	Boliger (bebodde og ubebodde)	2016	1797
K-1149 Karmøy	Enebolig	3 rom	Boliger (bebodde og ubebodde)	2017	1797
K-1149 Karmøy	Enebolig	3 rom	Boliger (bebodde og ubebodde)	2018	1797
K-1149 Karmøy	Enebolig	3 rom	Boliger (bebodde og ubebodde)	2019	1796
K-1149 Karmøy	Enebolig	3 rom	Boliger (bebodde og ubebodde)	2020	1786
K-1149 Karmøy	Enebolig	3 rom	Boliger (bebodde og ubebodde)	2021	1784
