variabel	grunnkrets	ar	befolkning	grunnkrets_kode	admin_sone
Personer	11490101 Sævik	2000	648	1	3
Personer	11490101 Sævik	2001	645	1	3
Personer	11490101 Sævik	2002	633	1	3
Personer	11490101 Sævik	2003	645	1	3
Personer	11490101 Sævik	2004	652	1	3
Personer	11490101 Sævik	2005	655	1	3
Personer	11490101 Sævik	2006	655	1	3
Personer	11490101 Sævik	2007	661	1	3
Personer	11490101 Sævik	2008	663	1	3
Personer	11490101 Sævik	2009	690	1	3
Personer	11490101 Sævik	2010	678	1	3
Personer	11490101 Sævik	2011	682	1	3
Personer	11490101 Sævik	2012	729	1	3
Personer	11490101 Sævik	2013	710	1	3
Personer	11490101 Sævik	2014	676	1	3
Personer	11490101 Sævik	2015	709	1	3
Personer	11490101 Sævik	2016	705	1	3
Personer	11490101 Sævik	2017	730	1	3
Personer	11490101 Sævik	2018	732	1	3
Personer	11490101 Sævik	2019	724	1	3
Personer	11490101 Sævik	2020	732	1	3
Personer	11490101 Sævik	2021	725	1	3
Personer	11490101 Sævik	2022	737	1	3
Personer	11490101 Sævik	2023	741	1	3
Personer	11490102 Østhus	2000	356	1	3
Personer	11490102 Østhus	2001	360	1	3
Personer	11490102 Østhus	2002	359	1	3
Personer	11490102 Østhus	2003	366	1	3
Personer	11490102 Østhus	2004	367	1	3
Personer	11490102 Østhus	2005	363	1	3
Personer	11490102 Østhus	2006	373	1	3
Personer	11490102 Østhus	2007	372	1	3
Personer	11490102 Østhus	2008	367	1	3
Personer	11490102 Østhus	2009	367	1	3
Personer	11490102 Østhus	2010	399	1	3
Personer	11490102 Østhus	2011	401	1	3
Personer	11490102 Østhus	2012	384	1	3
Personer	11490102 Østhus	2013	395	1	3
Personer	11490102 Østhus	2014	398	1	3
Personer	11490102 Østhus	2015	429	1	3
Personer	11490102 Østhus	2016	406	1	3
Personer	11490102 Østhus	2017	425	1	3
Personer	11490102 Østhus	2018	428	1	3
Personer	11490102 Østhus	2019	447	1	3
Personer	11490102 Østhus	2020	456	1	3
Personer	11490102 Østhus	2021	462	1	3
Personer	11490102 Østhus	2022	455	1	3
Personer	11490102 Østhus	2023	461	1	3
Personer	11490103 Østhusneset	2000	517	1	3
Personer	11490103 Østhusneset	2001	506	1	3
Personer	11490103 Østhusneset	2002	490	1	3
Personer	11490103 Østhusneset	2003	482	1	3
Personer	11490103 Østhusneset	2004	483	1	3
Personer	11490103 Østhusneset	2005	492	1	3
Personer	11490103 Østhusneset	2006	498	1	3
Personer	11490103 Østhusneset	2007	501	1	3
Personer	11490103 Østhusneset	2008	498	1	3
Personer	11490103 Østhusneset	2009	484	1	3
Personer	11490103 Østhusneset	2010	495	1	3
Personer	11490103 Østhusneset	2011	488	1	3
Personer	11490103 Østhusneset	2012	493	1	3
Personer	11490103 Østhusneset	2013	495	1	3
Personer	11490103 Østhusneset	2014	522	1	3
Personer	11490103 Østhusneset	2015	531	1	3
Personer	11490103 Østhusneset	2016	540	1	3
Personer	11490103 Østhusneset	2017	549	1	3
Personer	11490103 Østhusneset	2018	555	1	3
Personer	11490103 Østhusneset	2019	554	1	3
Personer	11490103 Østhusneset	2020	549	1	3
Personer	11490103 Østhusneset	2021	541	1	3
Personer	11490103 Østhusneset	2022	545	1	3
Personer	11490103 Østhusneset	2023	547	1	3
Personer	11490104 Munkejord	2000	485	1	3
Personer	11490104 Munkejord	2001	495	1	3
Personer	11490104 Munkejord	2002	491	1	3
Personer	11490104 Munkejord	2003	496	1	3
Personer	11490104 Munkejord	2004	499	1	3
Personer	11490104 Munkejord	2005	505	1	3
Personer	11490104 Munkejord	2006	492	1	3
Personer	11490104 Munkejord	2007	528	1	3
Personer	11490104 Munkejord	2008	520	1	3
Personer	11490104 Munkejord	2009	543	1	3
Personer	11490104 Munkejord	2010	553	1	3
Personer	11490104 Munkejord	2011	581	1	3
Personer	11490104 Munkejord	2012	563	1	3
Personer	11490104 Munkejord	2013	571	1	3
Personer	11490104 Munkejord	2014	590	1	3
Personer	11490104 Munkejord	2015	592	1	3
Personer	11490104 Munkejord	2016	603	1	3
Personer	11490104 Munkejord	2017	627	1	3
Personer	11490104 Munkejord	2018	618	1	3
Personer	11490104 Munkejord	2019	618	1	3
Personer	11490104 Munkejord	2020	620	1	3
Personer	11490104 Munkejord	2021	613	1	3
Personer	11490104 Munkejord	2022	591	1	3
Personer	11490104 Munkejord	2023	604	1	3
Personer	11490105 Vea	2000	545	1	3
Personer	11490105 Vea	2001	573	1	3
Personer	11490105 Vea	2002	606	1	3
Personer	11490105 Vea	2003	613	1	3
