region	alder	statistikkvariabel	ar	kjonn	04362: Befolkning,
11490101 Saevik	20-24 ar	Personer	2024	Menn	27
11490101 Saevik	20-24 ar	Personer	2024	Kvinner	25
11490101 Saevik	25-29 ar	Personer	2024	Menn	29
11490101 Saevik	25-29 ar	Personer	2024	Kvinner	21
11490101 Saevik	30-49 ar	Personer	2024	Menn	83
11490101 Saevik	30-49 ar	Personer	2024	Kvinner	82
11490101 Saevik	50-59 ar	Personer	2024	Menn	56
11490101 Saevik	50-59 ar	Personer	2024	Kvinner	51
11490101 Saevik	60-66 ar	Personer	2024	Menn	28
11490101 Saevik	60-66 ar	Personer	2024	Kvinner	23
11490101 Saevik	67-69 ar	Personer	2024	Menn	7
11490101 Saevik	67-69 ar	Personer	2024	Kvinner	14
11490101 Saevik	70-79 ar	Personer	2024	Menn	35
11490101 Saevik	70-79 ar	Personer	2024	Kvinner	35
11490101 Saevik	80 ar eller eldre	Personer	2024	Menn	11
11490101 Saevik	80 ar eller eldre	Personer	2024	Kvinner	19
11490102 osthus	20-24 ar	Personer	2024	Menn	9
11490102 osthus	20-24 ar	Personer	2024	Kvinner	8
11490102 osthus	25-29 ar	Personer	2024	Menn	10
11490102 osthus	25-29 ar	Personer	2024	Kvinner	6
11490102 osthus	30-49 ar	Personer	2024	Menn	68
11490102 osthus	30-49 ar	Personer	2024	Kvinner	70
11490102 osthus	50-59 ar	Personer	2024	Menn	29
11490102 osthus	50-59 ar	Personer	2024	Kvinner	29
11490102 osthus	60-66 ar	Personer	2024	Menn	13
11490102 osthus	60-66 ar	Personer	2024	Kvinner	11
11490102 osthus	67-69 ar	Personer	2024	Menn	7
11490102 osthus	67-69 ar	Personer	2024	Kvinner	8
11490102 osthus	70-79 ar	Personer	2024	Menn	17
11490102 osthus	70-79 ar	Personer	2024	Kvinner	16
11490102 osthus	80 ar eller eldre	Personer	2024	Menn	7
11490102 osthus	80 ar eller eldre	Personer	2024	Kvinner	11
11490103 osthusneset	20-24 ar	Personer	2024	Menn	18
11490103 osthusneset	20-24 ar	Personer	2024	Kvinner	13
11490103 osthusneset	25-29 ar	Personer	2024	Menn	15
11490103 osthusneset	25-29 ar	Personer	2024	Kvinner	18
11490103 osthusneset	30-49 ar	Personer	2024	Menn	69
11490103 osthusneset	30-49 ar	Personer	2024	Kvinner	71
11490103 osthusneset	50-59 ar	Personer	2024	Menn	34
11490103 osthusneset	50-59 ar	Personer	2024	Kvinner	29
11490103 osthusneset	60-66 ar	Personer	2024	Menn	17
11490103 osthusneset	60-66 ar	Personer	2024	Kvinner	21
11490103 osthusneset	67-69 ar	Personer	2024	Menn	10
11490103 osthusneset	67-69 ar	Personer	2024	Kvinner	6
11490103 osthusneset	70-79 ar	Personer	2024	Menn	28
11490103 osthusneset	70-79 ar	Personer	2024	Kvinner	24
11490103 osthusneset	80 ar eller eldre	Personer	2024	Menn	10
11490103 osthusneset	80 ar eller eldre	Personer	2024	Kvinner	12
11490104 Munkejord	20-24 ar	Personer	2024	Menn	21
11490104 Munkejord	20-24 ar	Personer	2024	Kvinner	13
11490104 Munkejord	25-29 ar	Personer	2024	Menn	14
11490104 Munkejord	25-29 ar	Personer	2024	Kvinner	15
11490104 Munkejord	30-49 ar	Personer	2024	Menn	79
11490104 Munkejord	30-49 ar	Personer	2024	Kvinner	86
11490104 Munkejord	50-59 ar	Personer	2024	Menn	37
11490104 Munkejord	50-59 ar	Personer	2024	Kvinner	34
11490104 Munkejord	60-66 ar	Personer	2024	Menn	23
11490104 Munkejord	60-66 ar	Personer	2024	Kvinner	21
11490104 Munkejord	67-69 ar	Personer	2024	Menn	9
11490104 Munkejord	67-69 ar	Personer	2024	Kvinner	10
11490104 Munkejord	70-79 ar	Personer	2024	Menn	19
11490104 Munkejord	70-79 ar	Personer	2024	Kvinner	22
11490104 Munkejord	80 ar eller eldre	Personer	2024	Menn	15
11490104 Munkejord	80 ar eller eldre	Personer	2024	Kvinner	16
11490105 Vea	20-24 ar	Personer	2024	Menn	16
11490105 Vea	20-24 ar	Personer	2024	Kvinner	16
11490105 Vea	25-29 ar	Personer	2024	Menn	40
11490105 Vea	25-29 ar	Personer	2024	Kvinner	28
11490105 Vea	30-49 ar	Personer	2024	Menn	103
11490105 Vea	30-49 ar	Personer	2024	Kvinner	133
11490105 Vea	50-59 ar	Personer	2024	Menn	54
11490105 Vea	50-59 ar	Personer	2024	Kvinner	44
11490105 Vea	60-66 ar	Personer	2024	Menn	24
11490105 Vea	60-66 ar	Personer	2024	Kvinner	35
11490105 Vea	67-69 ar	Personer	2024	Menn	9
11490105 Vea	67-69 ar	Personer	2024	Kvinner	8
11490105 Vea	70-79 ar	Personer	2024	Menn	31
11490105 Vea	70-79 ar	Personer	2024	Kvinner	29
