Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.44501755,0.5485921,0.5640194,0.4951762,0.5486809,0.49892113,0.5370406,0.53971756,0.51005065,0.5370152,0.5519856,0.51377517,0.5429922,0.4967098,0.52997786,0.49883786,0.5224477,0.5692036
0.39652756,0.56918836,0.6073419,0.5137408,0.5672493,0.50208443,0.5946053,0.55863124,0.54289114,0.57068086,0.59907496,0.5377831,0.5602352,0.48346332,0.5650057,0.4797212,0.5786007,0.6203976
0.37769297,0.57735354,0.62399334,0.52092826,0.57450396,0.5032338,0.61681867,0.5659288,0.5557345,0.583643,0.6173272,0.5470003,0.56688917,0.478436,0.5787088,0.47229916,0.60039437,0.63985026
0.372178,0.57976574,0.62887484,0.52305704,0.57664824,0.50357443,0.62331444,0.5680864,0.5595277,0.5874636,0.6226765,0.5497263,0.56885684,0.47694674,0.5827481,0.47010154,0.6067823,0.6455319
0.37004364,0.58070207,0.6307649,0.5238841,0.5774807,0.5037068,0.625827,0.5689242,0.561,0.5889455,0.62474746,0.5507849,0.5696209,0.47636807,0.5843148,0.46924782,0.6092551,0.6477289
0.403501,0.5661906,0.6011829,0.5111088,0.56458706,0.5016638,0.586373,0.55595404,0.53817576,0.56591195,0.5923232,0.53440315,0.5577946,0.48530397,0.55996484,0.4824398,0.570543,0.6131771
0.388388,0.572704,0.6145347,0.51683205,0.57037234,0.5025787,0.6042097,0.5617723,0.5484214,0.57626724,0.6069598,0.5417498,0.563099,0.48130125,0.5709111,0.47652864,0.5880142,0.62881327
0.37721992,0.57756,0.6244119,0.5211104,0.5746875,0.50326294,0.61737597,0.56611353,0.5560593,0.58397025,0.61778593,0.54723364,0.5670576,0.47830856,0.5790547,0.47211114,0.6009422,0.64033777
0.39684045,0.56905365,0.6070655,0.5136224,0.5671296,0.5020655,0.59423596,0.5585108,0.54267913,0.5704666,0.598772,0.5376311,0.5601255,0.48354608,0.56477916,0.4798435,0.57823896,0.62007385
0.39273047,0.5708261,0.61069673,0.5151802,0.568704,0.50231445,0.59908646,0.56009424,0.5454674,0.57328415,0.60275275,0.53963053,0.5615691,0.4824566,0.56775755,0.47823456,0.58299106,0.6243252
0.32400766,0.6013655,0.67167836,0.5422355,0.5958734,0.50665087,0.6797587,0.5874461,0.5934198,0.6214419,0.6695132,0.57419145,0.58652186,0.46351862,0.61866635,0.45031682,0.6626049,0.69485354
