Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.4302558,0.576915,0.5357503,0.44965652,0.60121727,0.5345484,0.45786753,0.6081698,0.45923162,0.5203482,0.5734002,0.4620822,0.5624649,0.49518314,0.46700096,0.56571186,0.42759484,0.6340191
0.25450143,0.8407511,0.8481696,0.28755558,0.86250085,0.6551564,0.43355808,0.78477114,0.38074484,0.71298754,0.6201068,0.34708917,0.68937767,0.37356448,0.30602688,0.7629407,0.5833342,0.91597146
0.31745857,0.6543988,0.6613239,0.39025924,0.71456784,0.60779345,0.45831257,0.69192487,0.49970654,0.5603415,0.59942514,0.39509237,0.5889003,0.43106622,0.39528367,0.65933466,0.46999228,0.7349141
0.47909573,0.65048987,0.57796484,0.5691985,0.52063084,0.4846229,0.5105722,0.56235766,0.43487155,0.4796462,0.61164695,0.44316238,0.61866814,0.52567333,0.5339021,0.53434646,0.4703802,0.6120449
0.3951762,0.67113227,0.5862976,0.54951805,0.5114606,0.52052563,0.596221,0.666189,0.42998832,0.38758302,0.61519486,0.39768526,0.66809535,0.55736345,0.5711685,0.5732545,0.41104218,0.5745102
0.35968846,0.58091855,0.5674629,0.4891225,0.5834928,0.5652677,0.536139,0.67595285,0.5029745,0.4156926,0.568325,0.42326087,0.5931994,0.51697415,0.48614445,0.5761242,0.39617288,0.58884406
0.22790022,0.5892047,0.6102108,0.44501433,0.6719723,0.66321844,0.5693859,0.7861666,0.59117097,0.35362926,0.61813307,0.3387479,0.60162777,0.46298695,0.42270932,0.65599185,0.35834008,0.6131903
0.38002124,0.56772435,0.56083447,0.46683252,0.58949983,0.555054,0.52706164,0.64080864,0.53040195,0.4770951,0.58017045,0.42140937,0.56362987,0.48328355,0.48331016,0.58038855,0.44377133,0.57042164
0.45319936,0.59311235,0.55224264,0.5417236,0.5266956,0.49127987,0.49062693,0.5847004,0.4161384,0.44193524,0.5286304,0.48993292,0.5946189,0.5628247,0.5112335,0.52215624,0.40787035,0.62264556
0.49701688,0.704909,0.54373664,0.63989717,0.45583257,0.45231894,0.5217141,0.55330527,0.30772528,0.3770791,0.634077,0.42850703,0.6804052,0.60944164,0.584947,0.52341706,0.39855078,0.62505674
0.5052738,0.63882136,0.5704034,0.49146345,0.6041455,0.50948256,0.5445609,0.6061777,0.46583176,0.5606194,0.63987917,0.4242512,0.588551,0.4707337,0.50422144,0.5244852,0.52660644,0.60312426
0.29529178,0.66329604,0.67697406,0.37662557,0.72753644,0.62437266,0.47266704,0.7055432,0.51778036,0.5634786,0.6110527,0.37049595,0.5925882,0.41804028,0.39265123,0.6798135,0.48233148,0.72807306
0.33954006,0.6530922,0.59836906,0.5276214,0.5749522,0.5651125,0.5525847,0.72136056,0.42568773,0.34972283,0.5807684,0.41434968,0.66211784,0.56276315,0.5029934,0.5838761,0.34764445,0.6528045
0.4900178,0.6100185,0.55633,0.49683505,0.5405633,0.5054044,0.494943,0.5591117,0.43973288,0.51965857,0.5758975,0.45402643,0.5986615,0.5288863,0.5333966,0.5417104,0.46790043,0.5677201
0.44316387,0.6975018,0.5816651,0.5937628,0.47842702,0.478835,0.5565363,0.62258977,0.3428107,0.3753445,0.5933892,0.43601808,0.6885048,0.6049517,0.58240056,0.5456735,0.3892893,0.6277123
0.49788362,0.59585637,0.5294538,0.58914006,0.5052047,0.46680623,0.5148495,0.52505976,0.4707771,0.47775,0.61368364,0.45009324,0.5657638,0.50898165,0.5243425,0.5043038,0.48418495,0.5683524
0.5113562,0.6316621,0.5523317,0.58820087,0.4755745,0.44970727,0.5246605,0.5582027,0.40986934,0.45703086,0.5723065,0.49074343,0.621006,0.56106186,0.5609696,0.49373767,0.44465727,0.60350156
0.44750383,0.59918284,0.59431016,0.457681,0.596987,0.51519257,0.49247137,0.57213813,0.46992105,0.5632746,0.5454479,0.45541728,0.5617018,0.4925175,0.4851307,0.5658151,0.50589484,0.6145088
0.29105195,0.73045623,0.7908311,0.3762069,0.7788863,0.5911189,0.4468154,0.68439114,0.4720227,0.65427965,0.53225714,0.41137263,0.5946885,0.4055162,0.341068,0.69181144,0.57811546,0.84449506
0.30490953,0.7226094,0.6677884,0.58835214,0.5421155,0.52713364,0.625506,0.66675866,0.45947272,0.3738588,0.643617,0.3320273,0.6661132,0.51716274,0.5390725,0.638569,0.4702014,0.6293006
0.37008414,0.5511738,0.53825426,0.44911486,0.6272442,0.5717649,0.45782807,0.63763267,0.5163961,0.48633167,0.58663404,0.43298548,0.54153043,0.4694778,0.4322484,0.5889126,0.4116053,0.62817425
0.27837333,0.6066034,0.665672,0.44134298,0.68832594,0.5977698,0.48872596,0.64812905,0.55701977,0.51287913,0.56666774,0.3734403,0.5366769,0.42958197,0.3889894,0.6628985,0.4983003,0.681071
0.48554918,0.65996087,0.5864583,0.58542436,0.47284424,0.4524382,0.57081884,0.6070636,0.40305623,0.43471494,0.5601446,0.4854936,0.65288806,0.5752553,0.5805536,0.5029988,0.43939906,0.61256254
0.489785,0.66859007,0.59729075,0.42749742,0.62637913,0.54189503,0.4985762,0.6189775,0.41171998,0.582408,0.61535054,0.42311573,0.62941533,0.499125,0.50896424,0.5710521,0.49558502,0.628103
0.46547747,0.6299513,0.5628365,0.5580458,0.5049564,0.48360428,0.5173346,0.56497425,0.43868297,0.4656793,0.59146506,0.4495956,0.61205107,0.5363692,0.5436405,0.5387463,0.45356423,0.58910424
0.53615034,0.55095583,0.51853323,0.59631723,0.52337617,0.45570815,0.57866293,0.5334218,0.55043,0.5106367,0.62227327,0.45300376,0.51496136,0.46457753,0.5151429,0.44991335,0.55112594,0.5147991
0.48640722,0.6677936,0.61886334,0.52142286,0.61221564,0.5131831,0.5254555,0.58993053,0.4667424,0.5585913,0.6389015,0.4143279,0.5997357,0.46777096,0.48804608,0.5408519,0.5444555,0.6407882
0.41342154,0.5711536,0.5581338,0.51184005,0.54401654,0.51682127,0.5321975,0.59418947,0.505458,0.46789798,0.5622911,0.43948543,0.5647177,0.50871617,0.50930136,0.55543333,0.4570478,0.556655
0.24086301,0.66592175,0.6536743,0.36549774,0.7936834,0.673328,0.37543157,0.78329796,0.49266168,0.5088895,0.64699376,0.39030394,0.5963751,0.3966933,0.29491344,0.69247884,0.36093283,0.8465849
0.4468604,0.53413004,0.5210589,0.48601645,0.56617755,0.51695293,0.46285534,0.5720206,0.4945023,0.50438756,0.54824966,0.48146477,0.5342635,0.50092036,0.4741248,0.53546935,0.43597174,0.5908264
0.24598458,0.7851792,0.7886048,0.28215063,0.8183217,0.6760957,0.46313667,0.77094537,0.44327724,0.6530881,0.63478005,0.31682745,0.6718418,0.39270234,0.36156157,0.7658979,0.53201467,0.83079517
0.33652323,0.6251592,0.56080425,0.38202128,0.6715153,0.6296779,0.48367575,0.7165363,0.5035984,0.4985958,0.66561013,0.3638211,0.6113283,0.4497389,0.45042396,0.6494402,0.39839593,0.62988853
0.44587955,0.6686636,0.57369107,0.5704672,0.48267815,0.48578435,0.5771562,0.6184931,0.41081235,0.4128261,0.6067782,0.4265657,0.66101027,0.56525713,0.5841381,0.5459994,0.4282577,0.5756711
0.5903166,0.7251137,0.5519195,0.7323351,0.4465909,0.40767202,0.6014706,0.5855863,0.40594319,0.40353084,0.7284487,0.44563046,0.67572814,0.53022647,0.5869226,0.41509143,0.48239878,0.6418784
0.4691521,0.60222787,0.5618109,0.4374038,0.5824178,0.52247024,0.4812107,0.5759303,0.43509877,0.5560582,0.5576184,0.45427477,0.5847909,0.5156332,0.51041186,0.56674176,0.47172442,0.5889866
0.25746742,0.5489675,0.6101158,0.46928716,0.664498,0.6154169,0.5086748,0.6955645,0.5809692,0.40988612,0.55902165,0.3835081,0.5313502,0.45685577,0.39003852,0.6344672,0.41075897,0.6418766
0.24577573,0.66848373,0.6752217,0.4978053,0.62773085,0.6073594,0.6317069,0.7469665,0.56856966,0.38787654,0.6325737,0.31782252,0.632473,0.46285328,0.4798926,0.66455007,0.45491308,0.61190057
0.49840832,0.6099336,0.5655827,0.56298375,0.48675025,0.45087472,0.53384185,0.56635195,0.4206394,0.46868986,0.52509815,0.5083324,0.60529566,0.5645963,0.5535627,0.4941123,0.4516663,0.60082954
0.39211687,0.58633256,0.547018,0.44202068,0.64568585,0.5658324,0.4223494,0.65392536,0.46641892,0.50513136,0.5911777,0.46156436,0.5679385,0.4765242,0.41920963,0.58071005,0.39112708,0.70095384
0.5098272,0.650055,0.56796277,0.5946933,0.4686702,0.44681606,0.5418557,0.58274233,0.41078612,0.45025787,0.5760183,0.49606454,0.64155495,0.56376934,0.5725602,0.49051517,0.44085142,0.61617345
0.50151545,0.62447375,0.5615585,0.5734415,0.47880694,0.44975433,0.52877927,0.56229025,0.4050104,0.45907235,0.5419934,0.49996352,0.6177973,0.57036805,0.56053203,0.49803102,0.44363117,0.6040689
0.36925307,0.6045512,0.60438204,0.42540777,0.6472244,0.5712697,0.47993374,0.6386316,0.5076143,0.5394909,0.5827272,0.4161366,0.5669155,0.45931354,0.44384745,0.61479455,0.46990773,0.64639926
0.29632953,0.7160683,0.6227942,0.5336665,0.5569062,0.5892669,0.64502937,0.7712721,0.44246295,0.31095982,0.6622872,0.32936156,0.7188386,0.5537241,0.5615774,0.63120574,0.35822386,0.59654665
0.26982623,0.7262213,0.71193475,0.33426017,0.7930566,0.6571247,0.40814877,0.76535904,0.4473635,0.58439773,0.6338027,0.37682018,0.6371126,0.40856746,0.3369819,0.71057975,0.43577033,0.84072113
0.18518215,0.54290235,0.60275877,0.39670315,0.7609077,0.6921679,0.44153577,0.7562623,0.61553174,0.4148185,0.6204105,0.3342686,0.5058185,0.38977674,0.29911587,0.70273304,0.36675495,0.7182773
0.36711803,0.6526137,0.6016574,0.5436786,0.5327006,0.52627003,0.5956497,0.65244865,0.4779821,0.40867957,0.6116394,0.384965,0.6335618,0.52311826,0.5438237,0.5897505,0.44642895,0.57314473
0.37114963,0.61058176,0.6136284,0.50955254,0.5776712,0.53237164,0.53123105,0.6004212,0.5088925,0.47960836,0.5710287,0.40778244,0.573855,0.49053672,0.48721892,0.5955594,0.48654965,0.5987
0.5273393,0.58723104,0.5213391,0.59833825,0.5033693,0.45766985,0.5478074,0.5355782,0.49155426,0.4850488,0.6229447,0.4555389,0.559222,0.49946937,0.5326462,0.47243747,0.5044747,0.54588085
0.3979675,0.55469745,0.5367715,0.51314557,0.5748881,0.5340803,0.44002864,0.573844,0.44527015,0.43905738,0.5364588,0.45753476,0.55070347,0.53495425,0.45393294,0.56319773,0.3943802,0.62571496
0.5066321,0.6079748,0.5213108,0.5895071,0.49465612,0.46543324,0.52430147,0.5314937,0.4364618,0.4594498,0.6128261,0.44616362,0.5855638,0.5333452,0.5425302,0.50202423,0.46707818,0.5584314
0.38372198,0.7190752,0.6529708,0.33974665,0.7157998,0.59732187,0.43332005,0.6932823,0.3641655,0.6043561,0.6089675,0.40705907,0.6579668,0.4817726,0.44054237,0.6636841,0.44764197,0.7602939
0.44657555,0.6602915,0.60121894,0.4110838,0.60095984,0.55919623,0.5040092,0.6309347,0.42296165,0.5512631,0.59349096,0.4140018,0.6449245,0.5193248,0.53255284,0.6029519,0.46395558,0.5909511
0.38037527,0.6037277,0.5558832,0.42191935,0.6582709,0.58209723,0.429774,0.6705297,0.4639126,0.5104713,0.6078315,0.4398859,0.583101,0.4717908,0.42353842,0.60027635,0.39248267,0.6969789
0.44630486,0.68361187,0.5692099,0.5815304,0.47586033,0.48470208,0.5661658,0.61154306,0.38159597,0.3973503,0.6167703,0.41869435,0.6739536,0.5791575,0.5887221,0.5522334,0.41347802,0.5851581
0.49421796,0.65143275,0.58285356,0.45535567,0.6141894,0.5264989,0.51746863,0.61112857,0.43638664,0.5710297,0.6226312,0.4255056,0.6085944,0.487558,0.50660986,0.5511696,0.5070233,0.61549985
0.17843923,0.67001605,0.75287354,0.34860268,0.8151139,0.6881136,0.4537511,0.7622252,0.58451235,0.54947346,0.59969276,0.3218337,0.55503297,0.35729343,0.2863751,0.75043035,0.4932262,0.811701
0.47533178,0.5750582,0.54972,0.50233465,0.5381509,0.49570942,0.4883557,0.53606635,0.46541348,0.52166337,0.55024624,0.4656907,0.5610028,0.5187595,0.51543957,0.5391526,0.47799742,0.56372195
