Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.4752069,0.4612134,0.6274362,0.44204518,0.45057386,0.54527074,0.6081362,0.5113429,0.48131666,0.54494864,0.6644706,0.38145503,0.5775417,0.5219471,0.5466527,0.5685152,0.5011888,0.5802879
0.5118038,0.44920713,0.6582535,0.40591028,0.47624457,0.54388756,0.6556646,0.46190056,0.5350965,0.6048903,0.7430598,0.40098476,0.5926959,0.5858165,0.5584492,0.66239035,0.47298458,0.6571482
0.43918142,0.43602595,0.70196724,0.39136928,0.45301917,0.51872814,0.62263244,0.44613802,0.57405764,0.6125126,0.71103984,0.4138443,0.58690536,0.61378604,0.5656228,0.7025935,0.52218616,0.6670592
0.48675868,0.45553946,0.64939886,0.41880095,0.48118648,0.5304874,0.6341389,0.46759957,0.53354996,0.59015065,0.7228864,0.40752468,0.57541853,0.5750479,0.5438547,0.65860873,0.4769614,0.65064764
0.4629337,0.46142712,0.6683201,0.42507187,0.47090334,0.5553847,0.7161124,0.524651,0.4628555,0.5166818,0.8083763,0.30106777,0.5287569,0.5170181,0.512563,0.6475889,0.41542357,0.6696294
0.48886135,0.46031246,0.59246975,0.46485612,0.48154634,0.5540752,0.6353518,0.5152029,0.4561831,0.52830887,0.73395634,0.35786372,0.56317157,0.49747062,0.5053919,0.57502866,0.4508107,0.6191998
0.5129148,0.46608272,0.63420075,0.44105694,0.5299009,0.49760455,0.610892,0.4430982,0.59576976,0.6024065,0.6863811,0.46540332,0.56259143,0.5929377,0.50935715,0.7001623,0.45030543,0.67508626
0.5432827,0.5092212,0.5718425,0.44971994,0.5815442,0.48760724,0.6247073,0.44947758,0.5557076,0.598513,0.72661173,0.4852206,0.51502115,0.5772549,0.49576956,0.6908047,0.39249432,0.6773698
0.45474482,0.39541847,0.6271874,0.4490059,0.40074825,0.5896695,0.58679247,0.49582496,0.4622755,0.56098455,0.69464433,0.34608552,0.6556666,0.5155405,0.5496148,0.53559893,0.5617905,0.5928402
0.5268407,0.49443856,0.55426514,0.4755384,0.5566273,0.523332,0.65042615,0.49399674,0.4826819,0.5424652,0.7659531,0.40232533,0.51659393,0.51321656,0.4707912,0.63195485,0.3805789,0.6647469
0.48567855,0.52825356,0.5426794,0.4848182,0.58202875,0.4573838,0.5527568,0.47237587,0.54407525,0.5573216,0.6356318,0.5073034,0.4786799,0.5423128,0.4710079,0.6536453,0.4178245,0.6321196
0.48084852,0.48318222,0.6398872,0.42053142,0.545564,0.48053634,0.62422407,0.4338072,0.58829904,0.611656,0.73213017,0.46988353,0.5243666,0.6106198,0.5136021,0.7353787,0.4356925,0.7002476
0.56340617,0.47013694,0.614376,0.41675258,0.52871037,0.52856046,0.6480281,0.43963137,0.55529284,0.629188,0.7439373,0.4552602,0.58349067,0.59924805,0.54461586,0.6782815,0.43547767,0.6719209
0.32353437,0.42907068,0.7594511,0.39730784,0.4035071,0.53613734,0.7048254,0.53041756,0.48812535,0.49140197,0.80087066,0.25828037,0.5113054,0.5356069,0.52059245,0.70085675,0.48827457,0.6874283
0.5511563,0.4786824,0.5022878,0.4938819,0.54832715,0.5232861,0.55290735,0.46442807,0.50399,0.5844651,0.66481155,0.48240364,0.5786052,0.52581674,0.49138168,0.5764474,0.44803506,0.6150891
