Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.312053,0.59659857,0.443607,0.63071334,0.4741511,0.43630946,0.6752369,0.75607777,0.35109162,0.707511,0.7678201,0.4996782,0.65955126,0.44483694,0.5622349,0.54927754,0.5475634,0.59830236
0.4656743,0.50552374,0.32883444,0.7267622,0.5611141,0.69009376,0.70255744,0.6006165,0.22386037,0.715447,0.77082056,0.7357353,0.7255899,0.5384365,0.6061455,0.34989828,0.5234082,0.56863666
0.2598128,0.74709344,0.25811273,0.3105795,0.7579081,0.38509545,0.74261403,0.60489285,0.15448806,0.79164,0.6862432,0.66214603,0.640583,0.62771565,0.76831496,0.67915994,0.5416249,0.53695047
0.32584625,0.74488974,0.4703771,0.31720543,0.44501436,0.34991902,0.5220225,0.7891992,0.3708322,0.6561578,0.750419,0.21058138,0.44433966,0.4898215,0.5980707,0.64349234,0.4298991,0.6784615
0.31056732,0.32929692,0.44784787,0.6737612,0.5613303,0.61311847,0.6155474,0.37567455,0.40151876,0.56789994,0.32265598,0.6418556,0.5892355,0.5728598,0.64668727,0.47035834,0.43459332,0.39065856
0.50479966,0.5118106,0.6418892,0.25545228,0.53515524,0.59765875,0.17942123,0.49603754,0.6200407,0.4252854,0.3132917,0.2981581,0.28581378,0.6388764,0.47865263,0.5402253,0.26853192,0.5565825
0.42270994,0.6583254,0.22382146,0.6556141,0.60915,0.55469674,0.7476697,0.7404667,0.18758294,0.80439526,0.7407492,0.5257823,0.64383227,0.61490315,0.79959273,0.63454413,0.4341697,0.5050438
0.65332866,0.38259292,0.17867145,0.7607605,0.44275385,0.66252697,0.53199935,0.54439557,0.17752096,0.61898893,0.669339,0.4538709,0.392335,0.30776453,0.7889903,0.37900743,0.36604577,0.5405303
0.663657,0.87074596,0.40371165,0.453159,0.5727966,0.5835228,0.7826306,0.84859,0.28810987,0.76395154,0.88941944,0.36757934,0.7319871,0.78645796,0.6888314,0.72273606,0.49802405,0.6634484
0.3266454,0.57683766,0.45295215,0.69695544,0.47752443,0.4576709,0.7141748,0.7638774,0.38628826,0.7153334,0.7303758,0.5042205,0.69036925,0.49719808,0.5964884,0.60375184,0.53844136,0.5473015
0.4844162,0.6977829,0.7406802,0.6289346,0.40668812,0.46417084,0.59264606,0.8314555,0.7776463,0.6041986,0.6796809,0.300055,0.7112762,0.66805714,0.33605415,0.7057034,0.5135546,0.5327171
0.2239235,0.64804137,0.45183593,0.5134144,0.5983417,0.40678647,0.8437123,0.58652264,0.21767853,0.70911014,0.8383923,0.7909282,0.82011974,0.45539054,0.4990246,0.43266192,0.74764365,0.64973754
0.6512268,0.7125504,0.8156201,0.34253967,0.63848376,0.54729277,0.53197825,0.39878672,0.80104166,0.4015748,0.63320786,0.7514673,0.8079938,0.6792128,0.11559996,0.42158714,0.7294182,0.5475943
0.2192619,0.67678523,0.3157353,0.41794387,0.6941108,0.6001911,0.6783984,0.8232749,0.1093795,0.8539654,0.7618901,0.6224314,0.6347777,0.7691411,0.85323447,0.69629925,0.36399516,0.6575558
0.5669879,0.28363466,0.68864113,0.5595035,0.42737192,0.56507486,0.17161271,0.51837075,0.70461494,0.36244178,0.35706303,0.45469382,0.33508164,0.34527975,0.37105024,0.47065127,0.38720363,0.5464608
0.8735051,0.6414992,0.6118529,0.43788746,0.4558404,0.6612104,0.36230665,0.5262587,0.691197,0.3496875,0.5067467,0.23882574,0.4099916,0.6511857,0.4909736,0.6181951,0.37785482,0.53722423
0.3940098,0.6485053,0.4629591,0.59138024,0.3919162,0.48891044,0.5768954,0.68695205,0.5416016,0.62501776,0.6451378,0.24433742,0.5561328,0.5319654,0.4595948,0.47552067,0.41491368,0.51345336
0.54086775,0.7414885,0.39688665,0.52662414,0.7390322,0.64479,0.7338066,0.6390881,0.32605335,0.7630168,0.729674,0.7536505,0.7970401,0.7902625,0.5849244,0.59406066,0.5453564,0.49214214
0.29782435,0.59552485,0.41073352,0.68032914,0.50044584,0.39615884,0.8140563,0.67349625,0.33938816,0.6973867,0.7187039,0.54804194,0.72900546,0.46508798,0.6231864,0.6018142,0.61961925,0.5160893
0.19856809,0.90217394,0.37512133,0.56697905,0.56853205,0.39560246,0.9264511,0.8355063,0.3343195,0.87087846,0.9047611,0.46782073,0.8996623,0.7700335,0.45665917,0.5608401,0.65497774,0.5382292
0.73240757,0.29385382,0.38284945,0.7094551,0.6187491,0.6433408,0.502699,0.7142056,0.21581997,0.5950981,0.44918728,0.6197421,0.38871866,0.5424754,0.93700033,0.88086164,0.35859814,0.5397743
0.4528265,0.48801565,0.7920686,0.23814884,0.40745828,0.32715946,0.2766436,0.7645856,0.57949203,0.36441103,0.4393893,0.19672033,0.24836099,0.45884302,0.710504,0.87356824,0.3952055,0.7271431
0.5641023,0.5802572,0.62963814,0.61092246,0.3775876,0.406783,0.8276139,0.75693953,0.3291669,0.50400966,0.82418215,0.46010897,0.68294954,0.41911608,0.72623926,0.76913005,0.695546,0.72907317
0.25025254,0.5922011,0.40566406,0.5053551,0.36898595,0.5063494,0.60032415,0.35170323,0.46276808,0.5355443,0.6389364,0.3503063,0.5824878,0.3854285,0.25168756,0.13612418,0.5011263,0.5272053
