Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.5327633,0.5524139,0.580282,0.46769068,0.5709002,0.4560009,0.46470383,0.5978522,0.45159113,0.54305613,0.5583124,0.4870016,0.49832293,0.48514092,0.4356018,0.58432084,0.4809295,0.526846
0.5247299,0.5467218,0.5622926,0.4572263,0.5874802,0.44819075,0.4581745,0.6045272,0.45220962,0.5406807,0.56673723,0.4818307,0.51110625,0.49390998,0.44900844,0.58066255,0.48835444,0.5348352
0.52909535,0.5357346,0.545817,0.46698114,0.5675997,0.47113156,0.4795483,0.57394737,0.46606958,0.54090893,0.55527586,0.47976953,0.5200952,0.5012741,0.46907306,0.5562081,0.48447233,0.52820665
0.52671874,0.54057634,0.5526606,0.4619969,0.57757276,0.46013853,0.46934503,0.58849484,0.45966944,0.54069823,0.56096524,0.48049575,0.5164973,0.49825072,0.46035963,0.56741315,0.48659843,0.5316312
0.52826464,0.5357889,0.5451428,0.4657114,0.56982493,0.46946177,0.4780533,0.57589483,0.46548298,0.5407119,0.5564654,0.4794579,0.52068686,0.5016264,0.46921557,0.5570421,0.48523313,0.52913797
0.5247334,0.5467107,0.5622753,0.4572349,0.5874623,0.44821224,0.45819458,0.60449845,0.4522231,0.5406807,0.56672686,0.48182827,0.511116,0.49391782,0.44902888,0.58063877,0.4883513,0.53482944
0.5253175,0.5449076,0.5594515,0.45863494,0.58456016,0.45171493,0.46147075,0.5998123,0.45441145,0.54068583,0.56503385,0.48143625,0.5126993,0.49519232,0.45235696,0.5767594,0.48783565,0.5338889
0.5228342,0.5525639,0.57142633,0.4526883,0.59685427,0.43686238,0.44757026,0.6195966,0.44512203,0.54066396,0.5722199,0.48310277,0.50596744,0.4897751,0.43824238,0.5931792,0.49002784,0.5378852
0.5208467,0.5586712,0.58094704,0.4479406,0.6066035,0.4250599,0.4365074,0.63514644,0.43771762,0.54064643,0.577947,0.48443627,0.50058025,0.48544303,0.42702097,0.6061687,0.4917819,0.54107875
0.5269925,0.53972906,0.551331,0.4626544,0.5762034,0.46178773,0.47088596,0.58627146,0.46069822,0.5407006,0.5601691,0.480312,0.5172394,0.4988485,0.46192625,0.5655806,0.48635665,0.5311898
0.52455425,0.5488135,0.56603026,0.45635736,0.5895405,0.44508812,0.45523223,0.6088583,0.44999123,0.5407963,0.5680022,0.48248553,0.5088728,0.49218947,0.44500175,0.58471847,0.48849276,0.5353701
0.5226838,0.5530269,0.5721492,0.45232847,0.59759533,0.43596604,0.4467306,0.6207831,0.4445605,0.54066265,0.5726542,0.48320374,0.50555956,0.48944703,0.4373903,0.5941676,0.4901606,0.5381271
0.5172444,0.5696895,0.5980387,0.4393639,0.62404716,0.40390214,0.41663212,0.66259474,0.42437568,0.5406147,0.58826876,0.48685268,0.49082074,0.4776005,0.40688875,0.62931275,0.49496016,0.5468558
0.53552353,0.5261963,0.5251025,0.47973356,0.5487403,0.49423015,0.50452316,0.536765,0.48783615,0.53713477,0.546067,0.47583345,0.5310716,0.51589704,0.49842206,0.53119636,0.48185784,0.51809156
0.52173895,0.55593204,0.5766807,0.45007047,0.6022376,0.4303477,0.4414658,0.6281996,0.44103783,0.5406543,0.5753789,0.48383772,0.50299835,0.48738724,0.4320491,0.60035574,0.49099454,0.53964573
0.52400297,0.5510401,0.5696681,0.45488456,0.5926736,0.4410947,0.45148107,0.6142366,0.44739842,0.5408313,0.5698548,0.48303849,0.5067793,0.49053133,0.44084856,0.5893413,0.48897368,0.5363433
0.53575975,0.5634058,0.60323316,0.46901956,0.57159346,0.44710037,0.45586824,0.6122258,0.44239968,0.5446157,0.55952823,0.49202415,0.48344466,0.47419134,0.41355348,0.6021804,0.47806206,0.5253124
0.5214527,0.5568111,0.57805055,0.4493871,0.60363984,0.42864978,0.43987402,0.6304338,0.43997225,0.5406518,0.5762031,0.48402968,0.50222266,0.48676357,0.43043464,0.60222346,0.4912471,0.54010546
