Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.66661245,0.61077857,0.5066709,0.43314356,0.42054078,0.40142483,0.48637268,0.45296374,0.50950795,0.5456259,0.5699885,0.5188187,0.55736506,0.5455757,0.43660027,0.41053557,0.35770324,0.6297892
0.51323575,0.55395055,0.51482785,0.5110162,0.5419905,0.48883274,0.482616,0.547422,0.45074755,0.48585936,0.5386879,0.5008203,0.5189893,0.46971047,0.52452016,0.554476,0.5054046,0.51361346
0.62017053,0.5981622,0.5104961,0.49760395,0.6270995,0.5391873,0.5151616,0.5034831,0.54579246,0.5384461,0.5598269,0.5063303,0.4958065,0.49516967,0.52109075,0.60265166,0.5290199,0.5517825
0.67011976,0.6592998,0.48905307,0.52303636,0.69086164,0.58946323,0.49168405,0.4978321,0.58815634,0.549115,0.60785663,0.49660277,0.49880612,0.4636533,0.51742905,0.6539008,0.5716384,0.57816255
0.5534233,0.59067523,0.4748628,0.529321,0.6095105,0.5264901,0.46686187,0.5678099,0.48366988,0.48501745,0.5876588,0.48204476,0.5132023,0.45188263,0.5146437,0.6231728,0.56289685,0.5329305
0.7448754,0.76276237,0.53685576,0.6554793,0.798136,0.6943757,0.49344048,0.38180506,0.65536886,0.4910904,0.7637201,0.45915505,0.53767353,0.41791862,0.49041504,0.723441,0.6286353,0.62719077
0.6631045,0.6067705,0.5223976,0.46079996,0.4547901,0.4216659,0.47381857,0.4563863,0.529255,0.5395994,0.59450036,0.49051294,0.5345554,0.55890566,0.47438854,0.47037002,0.3869507,0.6038234
0.6794463,0.58931786,0.5176045,0.41766176,0.49204308,0.42706466,0.48438826,0.49655032,0.53298557,0.5610073,0.5291805,0.5383828,0.5121882,0.54067093,0.47933295,0.4801788,0.39871418,0.6293233
0.83677304,0.65994734,0.44962975,0.34701222,0.67736256,0.39545998,0.5109632,0.532547,0.6109933,0.5907776,0.546399,0.6667181,0.4008995,0.5384692,0.48605907,0.5800786,0.387547,0.72419024
0.7350705,0.7130911,0.52417314,0.64120215,0.7990623,0.6514285,0.45609957,0.4630043,0.6267946,0.4831633,0.7324014,0.4957759,0.4762827,0.43244675,0.51749736,0.7229041,0.5805817,0.6419005
0.6151218,0.5950339,0.51843923,0.46419656,0.578359,0.49402142,0.54477006,0.4786983,0.51901835,0.5345253,0.5353585,0.53473204,0.51083666,0.5018152,0.5061275,0.54687405,0.49030566,0.5487243
0.6873573,0.712237,0.52352864,0.61416805,0.73240155,0.65200627,0.48954213,0.4240136,0.61173457,0.5068359,0.7043032,0.45887417,0.5393021,0.43681943,0.49352568,0.67390287,0.5977132,0.5964817
0.7969443,0.64562005,0.445671,0.36085486,0.6569894,0.41712025,0.57465535,0.48716694,0.60337216,0.58614534,0.55415297,0.62642956,0.43016002,0.55796397,0.47618452,0.5773999,0.43031085,0.65944433
0.578007,0.6230772,0.55685,0.44991302,0.36151856,0.35770962,0.4664722,0.4401072,0.41957685,0.49688926,0.54560524,0.5483828,0.57498145,0.4944343,0.49136248,0.37252048,0.3320475,0.5589792
0.7290334,0.6768885,0.5239375,0.5846256,0.7750084,0.6117103,0.4916977,0.47527453,0.61299944,0.5003579,0.67811733,0.526161,0.4633258,0.45806494,0.5174648,0.69629323,0.55860054,0.6349637
0.757526,0.6446007,0.47476307,0.4602889,0.71311533,0.4934108,0.5488335,0.48894238,0.59287226,0.53869927,0.6058193,0.59276,0.43706295,0.5165883,0.49164066,0.62363786,0.47670236,0.6430227
0.5122088,0.5913482,0.5542137,0.4434988,0.46523494,0.48299348,0.54358536,0.4632932,0.44222748,0.5296584,0.45561582,0.54446936,0.58606553,0.44426242,0.49768987,0.44544756,0.47911736,0.5109195
0.5602082,0.5727225,0.52430236,0.46920735,0.5486602,0.49178442,0.5183637,0.5037362,0.5064358,0.54044485,0.51858145,0.4979549,0.50204253,0.51160204,0.5521349,0.57294005,0.51249087,0.48851782
0.56584907,0.54143304,0.5669707,0.53447044,0.5126779,0.4333424,0.4745694,0.49901503,0.4489868,0.4595472,0.5762942,0.5344346,0.4977256,0.5142338,0.51334345,0.48143306,0.38010517,0.5724184
0.81804985,0.6583502,0.46084785,0.26722154,0.57544464,0.35547304,0.5174863,0.52955264,0.59787154,0.6421899,0.4491397,0.66372764,0.43044946,0.54588544,0.51460016,0.54049975,0.3949726,0.68014425
0.51429176,0.5451363,0.53018063,0.48140898,0.4988121,0.4978666,0.51911306,0.5046987,0.4686065,0.526594,0.495778,0.500416,0.5439748,0.4905994,0.5033854,0.49447912,0.48292974,0.5153261
0.8371303,0.6709919,0.4476797,0.29085344,0.50482583,0.32128033,0.4939951,0.48911315,0.6019749,0.6265488,0.5324763,0.6296782,0.4588846,0.5866059,0.45779696,0.47380674,0.32411337,0.7177083
0.66559404,0.6668434,0.53699535,0.6445074,0.73241866,0.63159883,0.4660706,0.45629895,0.58822775,0.47410205,0.71340144,0.4602194,0.5057643,0.45719913,0.5060202,0.67151654,0.5582211,0.60291773
0.6140018,0.56927687,0.5338139,0.48326093,0.46211195,0.4528397,0.47541392,0.47814992,0.509813,0.5286599,0.5692985,0.48347193,0.54107934,0.54251236,0.47131455,0.46590397,0.40471947,0.59647554
