Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.5366844,0.64207006,0.5104273,0.52863693,0.5813406,0.47563237,0.5877113,0.5917405,0.51911634,0.54339635,0.57223374,0.45446572,0.52745616,0.4820363,0.5350752,0.5665372,0.48222136,0.45266291
0.50839245,0.6615695,0.49881744,0.537186,0.57942325,0.5004524,0.60911286,0.5882857,0.5415309,0.5416855,0.5945178,0.4322446,0.54423606,0.4732922,0.52661794,0.5622201,0.5166962,0.4247931
0.5271369,0.6537063,0.50292164,0.53169876,0.5753536,0.47749484,0.60703886,0.59150827,0.5351371,0.551442,0.59189236,0.44078267,0.54001,0.46783614,0.53657144,0.5738751,0.4921974,0.4364897
0.6020458,0.6447256,0.4966713,0.57248956,0.58804864,0.4310655,0.6534757,0.6332852,0.5237994,0.60412806,0.57371634,0.43500495,0.50067127,0.46685633,0.5331137,0.6358574,0.44210428,0.4761603
0.47907802,0.6580262,0.5026198,0.56589735,0.6218687,0.5833725,0.57141745,0.58894,0.51474476,0.4877887,0.5358703,0.43579912,0.5094652,0.54456735,0.47499675,0.5051251,0.5790158,0.43627498
0.5181133,0.6732666,0.4969303,0.53284967,0.57340795,0.4758703,0.6279959,0.59495515,0.552022,0.55863345,0.6150194,0.42856133,0.55444956,0.45081058,0.54316956,0.5822222,0.49925315,0.4154655
0.6275494,0.5021108,0.4872099,0.5762194,0.52164143,0.42470503,0.61064535,0.5860181,0.49468413,0.63787305,0.50971633,0.44233873,0.46844593,0.48474738,0.47880182,0.6413609,0.42450234,0.5775161
0.5194803,0.70312065,0.5013705,0.5271646,0.5969401,0.4588148,0.6311329,0.61424774,0.5517241,0.5722328,0.6142752,0.4392813,0.5565035,0.42669111,0.5385395,0.5888815,0.48299202,0.4131946
0.5738109,0.63557875,0.4824181,0.5681784,0.5563381,0.4432718,0.66617054,0.61068976,0.5494609,0.61267114,0.60134274,0.41299233,0.5266732,0.44614285,0.5272865,0.6355005,0.4676098,0.4591416
0.55698305,0.6278178,0.49815652,0.5649855,0.58594704,0.48584485,0.6139956,0.60504824,0.51777995,0.56411546,0.5547271,0.43709174,0.50407183,0.4962048,0.50794506,0.5866817,0.49061358,0.4732045
0.57949114,0.6557093,0.5285886,0.50456744,0.6307297,0.3895225,0.5501988,0.6367563,0.47918695,0.6265194,0.49983695,0.5200479,0.4977131,0.40368518,0.4734439,0.59921056,0.38382658,0.54303104
0.605107,0.58949804,0.5053472,0.5508137,0.57374555,0.41917157,0.5994822,0.61218166,0.49565795,0.6146069,0.52561337,0.46582016,0.4864105,0.46363127,0.5004199,0.621325,0.41873476,0.5347095
0.5332479,0.67327106,0.5031499,0.5347036,0.58518386,0.46842647,0.6214084,0.6042412,0.5397306,0.5565298,0.60160536,0.43885016,0.5419827,0.45998287,0.5453402,0.5837565,0.4856174,0.42603195
0.5292331,0.6023225,0.53298086,0.53307116,0.63483715,0.527071,0.48575106,0.59209824,0.45021477,0.50550514,0.44981977,0.50769085,0.46624145,0.546051,0.45350984,0.500071,0.49501976,0.5327026
0.54049736,0.6639857,0.5023533,0.5377916,0.5819027,0.4650469,0.62144953,0.60398984,0.53669226,0.5616586,0.5961464,0.439115,0.5368969,0.4620609,0.54218554,0.5881197,0.48101163,0.43515456
0.53536284,0.6286784,0.5223218,0.4965001,0.58954644,0.44268847,0.5384877,0.5896464,0.49695945,0.57244045,0.5322962,0.4948466,0.5233161,0.44236368,0.49923676,0.5599595,0.44212058,0.5017797
0.57813334,0.6478377,0.51716334,0.5426705,0.6038268,0.45016578,0.59690046,0.61973566,0.50170654,0.5563406,0.5532946,0.4659914,0.501649,0.49073192,0.5407009,0.5887493,0.4487576,0.47278062
0.5997284,0.616445,0.50712454,0.5583346,0.58449405,0.43778682,0.6137257,0.61815625,0.5028551,0.58491284,0.54688793,0.4549876,0.49104735,0.4871887,0.52836883,0.61318046,0.43832204,0.4980212
0.5812512,0.59072137,0.5137946,0.5251487,0.5768841,0.4229048,0.5632266,0.59964234,0.48885268,0.6042951,0.515011,0.48510817,0.49616733,0.4525651,0.4902605,0.5965222,0.41962758,0.5387713
0.6028628,0.59417933,0.49716833,0.56537056,0.5630899,0.434891,0.62618756,0.60948586,0.51112884,0.6030811,0.55146056,0.44223204,0.4930617,0.47912192,0.51932657,0.6260159,0.44040337,0.50757957
0.5929321,0.5789345,0.4796133,0.5728018,0.5312931,0.43646047,0.6526498,0.59562254,0.535429,0.62660956,0.5753447,0.41635433,0.5094179,0.4574789,0.5104385,0.6420876,0.45501217,0.5016454
0.5669649,0.6517505,0.48859814,0.5697484,0.57820696,0.45868486,0.6561241,0.6179493,0.5415628,0.59381837,0.5912023,0.41992527,0.52040297,0.4614926,0.52493024,0.6201368,0.47733444,0.45272252
0.54125893,0.65638435,0.49718723,0.5414775,0.5722214,0.46374917,0.62925535,0.60052997,0.5419882,0.5708116,0.60017675,0.43207133,0.5389409,0.45700926,0.5384767,0.5949764,0.48278037,0.43752545
0.54727554,0.6278742,0.51602095,0.52429646,0.5809653,0.46850818,0.57263374,0.5900788,0.50678253,0.5412243,0.55787903,0.4656618,0.51843065,0.48985967,0.5357438,0.56431824,0.4694423,0.46845046
0.5805992,0.60307974,0.51429623,0.53102005,0.58173877,0.43269822,0.5725519,0.6031146,0.49237734,0.58883756,0.5260191,0.4783118,0.4972259,0.46696463,0.50566006,0.5935529,0.4297352,0.5202661
0.51271766,0.71135855,0.49002573,0.5468407,0.5902738,0.47995198,0.6615951,0.61425424,0.5699625,0.5650367,0.63754594,0.4121857,0.5629713,0.43833894,0.5475638,0.5945382,0.5114451,0.3867398
0.5491339,0.5024638,0.51171434,0.51557904,0.5284754,0.47638062,0.5067822,0.53836644,0.47616377,0.562043,0.48905703,0.48254737,0.49381608,0.5038364,0.47228184,0.54726255,0.46427846,0.561123
0.5777158,0.60446256,0.5143478,0.53219473,0.5818774,0.4613558,0.5876886,0.59113467,0.5000766,0.56570446,0.5486326,0.46155834,0.50679296,0.49952027,0.5387099,0.5872843,0.44971588,0.49794137
0.56025577,0.59649175,0.52026844,0.5113618,0.5785946,0.4405323,0.5418871,0.58793557,0.48705876,0.57558835,0.5183548,0.4911631,0.5049391,0.4648821,0.49979973,0.57073015,0.43500757,0.5228748
