Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.55844843,0.62221795,0.63983697,0.35176748,0.47948486,0.4467352,0.43701223,0.3051091,0.6228099,0.41342327,0.58481425,0.38650024,0.40166292,0.28560513,0.6320902,0.41648537,0.39429694,0.43638426
0.51598847,0.45697534,0.31591266,0.4859362,0.3676377,0.65805495,0.6236981,0.56900674,0.5943118,0.73316646,0.5556371,0.46484455,0.59649,0.41562796,0.7172397,0.59766114,0.38840556,0.74310577
0.3852663,0.60893536,0.46335277,0.57467115,0.4085811,0.3969581,0.38450667,0.41905984,0.5543822,0.39918706,0.3805,0.44729936,0.41799924,0.48894453,0.5098096,0.5770649,0.6891204,0.4343638
0.46256265,0.40253097,0.4347282,0.5771492,0.3959114,0.5466546,0.70883983,0.60636413,0.53113604,0.6750556,0.34930468,0.396584,0.56657416,0.5683588,0.5094801,0.73077214,0.4744688,0.6854688
0.41903797,0.3797331,0.38259256,0.30556968,0.6374152,0.7639632,0.7720085,0.50956976,0.7090998,0.65585524,0.40201998,0.6097762,0.5771816,0.41146675,0.8233029,0.6818814,0.4266059,0.5610403
0.5879549,0.46732688,0.7866963,0.6950595,0.4987495,0.26124018,0.5709864,0.736636,0.3082436,0.6055617,0.71591884,0.42991558,0.78700715,0.76605856,0.27615067,0.5491832,0.6755473,0.62346536
0.31155086,0.24128683,0.36885577,0.54727244,0.2769023,0.32212308,0.8161287,0.44691992,0.6985699,0.7091968,0.6030163,0.27841523,0.57919264,0.37506458,0.50050807,0.7810359,0.64417124,0.8296987
0.64542145,0.7701597,0.69408816,0.55742425,0.40738535,0.7177834,0.6929597,0.47510388,0.26896936,0.86871445,0.37835836,0.25773877,0.7968647,0.5155565,0.69697595,0.37366915,0.39558813,0.8123676
0.38825136,0.21348754,0.45442918,0.41072163,0.33026564,0.50906575,0.84632176,0.61825526,0.7250184,0.63522977,0.52211416,0.3163816,0.556634,0.49309734,0.61475354,0.8557369,0.50216174,0.7095113
0.32031867,0.7711715,0.28423852,0.7801729,0.37561923,0.5400056,0.5267553,0.403511,0.5464465,0.78984237,0.22285454,0.6284677,0.7232208,0.48223144,0.7974958,0.50165373,0.8089586,0.7146454
