Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.60350555,0.43969485,0.44873747,0.33072373,0.23517063,0.5194471,0.22564386,0.58,0.33394995,0.47015047,0.51624,0.5446364,0.39777762,0.28098398,0.4380092,0.27946407,0.48177525,0.29008952
0.49575216,0.4689253,0.48596868,0.46414968,0.44427362,0.48821154,0.44128466,0.48868915,0.4589914,0.4837243,0.48752004,0.48499665,0.4684235,0.45764676,0.4708273,0.45597127,0.47120357,0.4535556
0.49592367,0.47167438,0.48596126,0.46014038,0.4436678,0.48863137,0.4417761,0.48614088,0.4583063,0.48365018,0.4886135,0.47989407,0.46892783,0.4603714,0.47817418,0.45630243,0.47236478,0.4546142
0.4962926,0.50549066,0.4576933,0.36545107,0.37427875,0.5025493,0.3975272,0.4509904,0.4466133,0.5011867,0.5325945,0.41293544,0.4845917,0.43571788,0.6023988,0.38258255,0.4676651,0.41664454
0.4844208,0.47241244,0.4887561,0.46941274,0.45918736,0.4868894,0.45941195,0.47540304,0.47054616,0.48842752,0.49000317,0.47181627,0.47632533,0.47432548,0.4847101,0.46732545,0.4661338,0.4656103
0.538531,0.45752743,0.46969095,0.41240343,0.35695264,0.49892548,0.35013005,0.526872,0.4097382,0.47755846,0.49755844,0.51134175,0.4409797,0.38391617,0.4556955,0.38345003,0.4767843,0.38646263
0.49472168,0.461622,0.47162578,0.40287045,0.35155702,0.55423415,0.35158524,0.49964535,0.42700613,0.48637635,0.5003077,0.53390586,0.45053974,0.32485923,0.4130679,0.3446849,0.47011143,0.41805455
0.48442754,0.4724299,0.4887408,0.4693639,0.45915332,0.486891,0.4593894,0.475392,0.4705366,0.4884325,0.49002254,0.47178158,0.47632962,0.47431976,0.48477578,0.46729448,0.46613652,0.46558973
0.5616579,0.45123893,0.46230325,0.38284737,0.31078783,0.50614834,0.3026538,0.5456958,0.38237002,0.47495097,0.5041327,0.5230819,0.42564312,0.34589717,0.44945818,0.3450088,0.4785397,0.3510449
0.4650439,0.46678108,0.48724028,0.45867854,0.43387803,0.5309831,0.43459737,0.47359088,0.4695727,0.4905566,0.48908362,0.51062727,0.4728436,0.40079802,0.42664558,0.4190708,0.46389973,0.47192794
0.49331167,0.47374967,0.48665738,0.4597784,0.446795,0.48969746,0.4458538,0.48257893,0.46031368,0.48405784,0.4888845,0.47651705,0.4705269,0.46344164,0.4818857,0.45850205,0.47263074,0.4586761
0.48682666,0.47868457,0.48328006,0.45195776,0.4470123,0.48747185,0.4513324,0.47143838,0.4671146,0.490219,0.49696216,0.4593934,0.47787532,0.4722854,0.50828385,0.45624083,0.46711254,0.45825163
0.46141845,0.45906058,0.47610188,0.39354146,0.3378503,0.6017102,0.34205619,0.47938806,0.43609634,0.495304,0.50409096,0.5560362,0.45437703,0.27344894,0.37092882,0.30820727,0.45954123,0.43701956
0.49107453,0.470178,0.4879454,0.46779826,0.45163238,0.48870325,0.4493336,0.48397112,0.46340427,0.4846762,0.4870706,0.48188043,0.47097072,0.46357995,0.4725009,0.4616994,0.4702439,0.4602903
0.5292317,0.45828912,0.4699335,0.40943915,0.35445896,0.51172113,0.34915254,0.5212011,0.41290286,0.47949,0.49835745,0.5167842,0.44273683,0.3691119,0.44577163,0.3734631,0.47531518,0.39259624
0.59547067,0.44193366,0.45136854,0.34057924,0.2488177,0.5168641,0.23945817,0.5733829,0.34312645,0.47108302,0.5138881,0.5404581,0.40314737,0.29301098,0.44022945,0.29159713,0.4811463,0.3014428
0.66854894,0.4209662,0.42673048,0.2541209,0.14119941,0.54112196,0.13188395,0.634324,0.26208925,0.46231425,0.5359873,0.57948405,0.35368305,0.19246158,0.41943747,0.19038248,0.48706838,0.20529075
0.49166104,0.46996868,0.4882671,0.4680517,0.4517708,0.48788542,0.44934973,0.48408142,0.46311733,0.48469332,0.48711678,0.4811662,0.47079238,0.46497878,0.4732827,0.4626131,0.47002113,0.45986342
0.51841205,0.4629715,0.47608447,0.43846613,0.39913678,0.49268544,0.39373067,0.51054513,0.43384898,0.4798122,0.4918791,0.50118804,0.4543224,0.4179665,0.4610956,0.41789836,0.4752682,0.41807687
0.5521015,0.45384294,0.46536267,0.39500305,0.3295274,0.5031555,0.32189086,0.53790855,0.39363095,0.47603127,0.5014086,0.5182194,0.43198252,0.36144486,0.4520409,0.36072558,0.47781223,0.36554784
0.49588084,0.46889248,0.4858964,0.46402705,0.44403827,0.48822176,0.44103155,0.48883405,0.4588618,0.48369387,0.48753273,0.48511714,0.468349,0.45741645,0.47075012,0.45576268,0.47124076,0.4533575
0.5241119,0.5017166,0.46359146,0.37409842,0.37714162,0.49519673,0.38865754,0.481553,0.4238071,0.48088753,0.51298904,0.43345767,0.4632334,0.44100136,0.57190406,0.4038946,0.49095926,0.41680253
0.58521587,0.44477385,0.45470634,0.35326755,0.26685548,0.51359,0.25777823,0.56496066,0.35492417,0.47226495,0.51090705,0.53515536,0.40998486,0.30867487,0.4430462,0.30740735,0.48034945,0.31618455
0.53407896,0.45284206,0.4620013,0.36882833,0.29642728,0.5500453,0.2928071,0.5295614,0.38867083,0.48104236,0.50780827,0.5430569,0.42918894,0.2944842,0.41550156,0.3081641,0.47387147,0.36567095
0.55515766,0.4530111,0.4643854,0.39110643,0.32348043,0.50411123,0.31567782,0.54039747,0.39002204,0.47568628,0.50227845,0.51977265,0.42995563,0.35644653,0.4512159,0.35567233,0.4780445,0.36088857
0.5067191,0.48310366,0.47964495,0.4296299,0.42143202,0.49145317,0.42395103,0.48440477,0.44490862,0.48132154,0.49580213,0.46305227,0.46597856,0.45557633,0.5106268,0.44052672,0.48073277,0.44359776
0.6701225,0.420496,0.42617813,0.25234526,0.13929331,0.54166764,0.13001224,0.6356587,0.26040897,0.46211663,0.5364847,0.5803553,0.35259774,0.19052824,0.41897124,0.18844236,0.4872021,0.20340787
0.64501673,0.4278893,0.434864,0.28113568,0.17176534,0.5330963,0.16208167,0.6144913,0.2875604,0.4652188,0.5286727,0.56663203,0.369794,0.22258292,0.4263022,0.22064306,0.48510468,0.23443228
0.56121415,0.45136005,0.4624456,0.3834099,0.31164685,0.50600904,0.30353445,0.5453339,0.38289133,0.47500125,0.5040059,0.5228557,0.4259376,0.34661373,0.4495783,0.345733,0.47850585,0.35171393
0.6149089,0.43649468,0.44497657,0.31687328,0.21655557,0.5231422,0.20687087,0.5894209,0.3210323,0.46881607,0.51960516,0.55060613,0.39013463,0.2643031,0.4348356,0.26264605,0.48267555,0.2742878
0.63891613,0.42965364,0.4369372,0.28827456,0.18032502,0.5310535,0.17059529,0.6093859,0.29426512,0.4659575,0.5268114,0.5633502,0.37393743,0.23075448,0.4280517,0.22886245,0.48460567,0.24228087
0.6342014,0.4310095,0.43853047,0.29382822,0.18712015,0.5294843,0.17737015,0.6054498,0.29947427,0.46652472,0.5253818,0.5608267,0.37713137,0.23716947,0.42939618,0.23531777,0.4842225,0.24842702
0.5074197,0.47328973,0.47280326,0.44413793,0.4206811,0.49176827,0.41832733,0.5024223,0.44715488,0.47834733,0.4888999,0.49583334,0.46343297,0.43033084,0.47132117,0.43041724,0.48231876,0.43726975
0.503789,0.4644985,0.47697785,0.4366073,0.3993032,0.5097663,0.39621454,0.5012894,0.44040316,0.48267087,0.49248344,0.5078029,0.4579261,0.39996475,0.44787818,0.40676525,0.47311297,0.42955738
0.5095434,0.46151605,0.4729463,0.41692665,0.3691373,0.524273,0.36626732,0.5074808,0.42695582,0.4827504,0.49688742,0.51893455,0.45051643,0.36571833,0.43629825,0.3759576,0.47292176,0.41346475
0.5125317,0.46596727,0.47698113,0.44578278,0.413111,0.49011075,0.40847242,0.5057727,0.4415583,0.4799349,0.48998415,0.49749035,0.4588752,0.42931157,0.46487722,0.428984,0.47625026,0.42837209
0.5120952,0.46467847,0.47808868,0.4467066,0.4126973,0.4907314,0.4077809,0.5054252,0.4414712,0.4805183,0.49010062,0.49800724,0.45851585,0.42881098,0.46278888,0.4288722,0.47479337,0.42813218
0.5280204,0.46037346,0.4730336,0.4259825,0.37878457,0.49566177,0.37267303,0.5183381,0.4223016,0.47873706,0.49458796,0.50603205,0.44794852,0.40160522,0.4585185,0.4013441,0.47599134,0.40289554
0.570802,0.44873816,0.45936483,0.37129796,0.29333842,0.509025,0.2847898,0.553161,0.3716621,0.47391266,0.5067513,0.5277522,0.4195718,0.33125433,0.44697788,0.33021206,0.47923908,0.33735684
0.52534,0.46109846,0.47388506,0.42945853,0.38442647,0.49483088,0.37850663,0.5161634,0.42551708,0.47903717,0.49383178,0.50467986,0.44972613,0.4061521,0.4592377,0.40594435,0.47578943,0.40711603
0.5379277,0.49317592,0.45658398,0.37048247,0.35368058,0.5056547,0.35857734,0.50833315,0.40755075,0.47168246,0.5050555,0.47306788,0.44975653,0.39467603,0.52528524,0.37722975,0.5012714,0.40050036
0.5570868,0.48920226,0.45263714,0.35920423,0.33284163,0.4983516,0.3353454,0.52276057,0.391533,0.46872893,0.5074559,0.47489583,0.44067731,0.387761,0.52983856,0.366447,0.503385,0.37748247
0.5022882,0.48215356,0.48042428,0.4344941,0.4270444,0.49056697,0.4299872,0.48148134,0.4498341,0.4833195,0.496103,0.46216014,0.4686432,0.4592904,0.51024437,0.44396287,0.47769204,0.44682074
0.61936015,0.43165532,0.43796018,0.28493783,0.1792341,0.5567175,0.17155737,0.596852,0.3016354,0.47012025,0.5279798,0.5735371,0.37844628,0.21044599,0.40838423,0.2158052,0.48144537,0.254263
0.5642364,0.4505347,0.46147585,0.37958226,0.30581835,0.5069581,0.29756126,0.54779947,0.37934375,0.47465867,0.5048698,0.52439696,0.42393172,0.3417442,0.44875973,0.3408116,0.47873655,0.3471657
0.5224424,0.461882,0.47480518,0.43322197,0.39055726,0.49393323,0.3848492,0.51381314,0.4289983,0.47936144,0.49301475,0.50321895,0.4516482,0.41108286,0.46001494,0.41093326,0.47557133,0.4116915
0.5684459,0.44938347,0.4601231,0.37426588,0.29778782,0.5082824,0.28934017,0.5512361,0.37441468,0.47418064,0.5060753,0.5265471,0.42113677,0.33500445,0.4476179,0.33400103,0.47905856,0.34086537
0.50366986,0.47173107,0.4816764,0.4499872,0.42933983,0.4895444,0.4271901,0.49287105,0.4501415,0.4817917,0.49016055,0.48331442,0.46488538,0.44872576,0.4789455,0.44421268,0.47541428,0.44366795
0.59489006,0.44209495,0.4515581,0.34129435,0.2498205,0.5166781,0.2404749,0.5729054,0.34379184,0.47115016,0.5137188,0.54015696,0.40353492,0.29388854,0.44038936,0.2924826,0.48110107,0.30226994
0.59288925,0.4499631,0.44717994,0.34207347,0.25886753,0.512085,0.2507245,0.571229,0.34904528,0.46858892,0.5118834,0.5352865,0.40817147,0.30253622,0.45241067,0.29943827,0.4884093,0.30938864
0.48846453,0.48504338,0.47768942,0.43182665,0.43177012,0.49018028,0.44075063,0.46612713,0.4631355,0.4929292,0.5052986,0.44615996,0.4794467,0.4672587,0.53283757,0.44166416,0.46702352,0.4498807
0.48621416,0.47708723,0.48467374,0.45639163,0.45010623,0.48732358,0.45338693,0.47244734,0.4679879,0.48976293,0.4951904,0.46255168,0.4774807,0.4728046,0.50228214,0.45905888,0.46686336,0.46012324
0.48958293,0.4963475,0.46766472,0.39105207,0.39850193,0.49974135,0.41672766,0.45381117,0.45494694,0.49975142,0.5229753,0.42129776,0.4822413,0.4517392,0.5775616,0.40856603,0.46444538,0.433002
0.6200211,0.4256537,0.4287595,0.2440522,0.1366681,0.60810107,0.13172854,0.60346454,0.27834213,0.47302076,0.5396291,0.60681707,0.36402372,0.14688818,0.36824414,0.15966038,0.4789199,0.23177335
0.48911852,0.4916527,0.47182447,0.40783277,0.41222048,0.49577096,0.42666125,0.458919,0.4583443,0.49691856,0.51564,0.43158007,0.48108077,0.45817357,0.5591026,0.42222643,0.46551564,0.4399938
0.49698812,0.5122616,0.45159683,0.31631508,0.32956642,0.5160489,0.36219358,0.43257198,0.43369234,0.51472515,0.55893385,0.37360942,0.48372585,0.4221447,0.65831316,0.34531254,0.4538591,0.3918049
0.50983113,0.4559507,0.46437687,0.37065578,0.30319753,0.5728704,0.3026957,0.51359504,0.4018306,0.48549697,0.5076778,0.5506188,0.43656167,0.27791768,0.39814156,0.2996441,0.4705475,0.3867149
0.48927775,0.4932621,0.47039786,0.40205342,0.40750077,0.49713206,0.42324865,0.45716685,0.45717916,0.49788973,0.51815575,0.42804787,0.48147863,0.45596597,0.565452,0.4175287,0.46514872,0.43759394
0.5869226,0.4443024,0.4541523,0.35114747,0.26380602,0.5141333,0.2546764,0.56636065,0.35295415,0.47206885,0.5114017,0.5360357,0.408848,0.30604416,0.44257858,0.30475143,0.48048165,0.31371197
0.63673675,0.43028116,0.43767467,0.29083782,0.18344657,0.5303271,0.17370577,0.60756546,0.29667008,0.46622008,0.52614963,0.56218237,0.37541473,0.23370905,0.42867398,0.23183529,0.4844283,0.24511328
0.4959931,0.46886387,0.48583335,0.46392003,0.44383284,0.48823074,0.44081062,0.48896053,0.45874867,0.48366725,0.48754382,0.48522228,0.46828404,0.4572155,0.47068277,0.45558062,0.4712732,0.45318457
0.5815398,0.44578776,0.45589787,0.35784477,0.2734866,0.51242185,0.2645296,0.5619473,0.35917604,0.47268656,0.5098436,0.533262,0.41243222,0.31437263,0.44405174,0.31316042,0.48006526,0.32153538
0.606721,0.43879536,0.44768035,0.32680175,0.2298315,0.52048534,0.22025086,0.58265275,0.33029476,0.4697756,0.51718545,0.5463149,0.3956253,0.27623364,0.43711713,0.27467343,0.48202816,0.28559637
0.5103644,0.46514612,0.47863773,0.44896898,0.4164356,0.4901962,0.41165668,0.5040226,0.44356388,0.4807117,0.4896136,0.49713606,0.45966548,0.43179366,0.46325284,0.43189058,0.47466338,0.43089703
0.58973265,0.4435251,0.4532388,0.34766403,0.2588261,0.5150292,0.24961495,0.5686673,0.34971607,0.4717454,0.5122174,0.53748703,0.40697518,0.3017331,0.44180772,0.30039963,0.4806997,0.30965737
0.51604867,0.46361014,0.47683442,0.44154626,0.40419465,0.49195412,0.3989695,0.50862926,0.43669796,0.48007646,0.49121353,0.49999768,0.45589098,0.42201617,0.46172917,0.42199624,0.47509047,0.42183238
0.5455682,0.4471621,0.454378,0.3342823,0.24873964,0.5762442,0.24560608,0.5416331,0.36410403,0.48105752,0.5160949,0.5635494,0.4152487,0.24156387,0.3947373,0.2590406,0.47361195,0.33676696
0.5786061,0.4451652,0.45463496,0.34995458,0.26364017,0.5243117,0.25559968,0.56106323,0.35641712,0.47374883,0.5118007,0.5400148,0.41084355,0.29651776,0.43474084,0.29878604,0.4792105,0.31955558
0.5321986,0.45924273,0.47170565,0.4205744,0.37004855,0.49695808,0.36364633,0.52172923,0.4172985,0.4782689,0.4957678,0.50814116,0.44517794,0.39454573,0.4573969,0.39420223,0.47630626,0.39634013
0.5140477,0.46415088,0.4774693,0.44415697,0.4084919,0.49133515,0.4034221,0.5070074,0.4391128,0.48030013,0.49065018,0.4989901,0.45721942,0.42545226,0.46226558,0.42547327,0.4749401,0.42501834
0.71147156,0.40773547,0.41119605,0.20716356,0.09516762,0.55649996,0.08712864,0.6711844,0.21735097,0.4567333,0.5500144,0.603897,0.32362518,0.14344233,0.40631923,0.14128843,0.49084753,0.15698713
0.713806,0.40698853,0.41031966,0.20470156,0.09300715,0.5573696,0.08505375,0.673219,0.21498564,0.45641693,0.5508081,0.6052679,0.3219598,0.14099969,0.40557873,0.13884798,0.491062,0.15454529
0.5367807,0.45800176,0.4702481,0.4146588,0.36055446,0.49838132,0.35384563,0.52545005,0.4118252,0.47775495,0.49706316,0.51045656,0.4421401,0.38684565,0.456166,0.38641313,0.4766521,0.3891857
