Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.41124272,0.36705285,0.43909782,0.50392956,0.46906456,0.3478905,0.34669468,0.45639375,0.5083607,0.42050877,0.5368903,0.4065428,0.4087431,0.43408167,0.5046582,0.53237313,0.4953762,0.4627576
0.17411265,0.13952419,0.39742002,0.18752931,0.6305353,0.13437901,0.13228337,0.2709334,0.35061452,0.23324785,0.45594215,0.21285364,0.41857642,0.23552336,0.46787566,0.5018385,0.3732811,0.34755597
0.42379993,0.4342947,0.4159747,0.39927676,0.5068426,0.3554791,0.31657842,0.43679407,0.4578715,0.47316796,0.5016233,0.41666368,0.42156783,0.4310643,0.40692982,0.4872192,0.3838928,0.42312294
0.35708424,0.29411453,0.3997879,0.2545902,0.5361506,0.3231121,0.25278625,0.43552837,0.43360248,0.31879702,0.46320584,0.30404636,0.53945524,0.36751056,0.49841616,0.49906597,0.36245126,0.3703514
0.40308982,0.37593308,0.46966016,0.5010863,0.47332302,0.38139704,0.40584314,0.41384283,0.48178506,0.42722288,0.5176052,0.41788948,0.41119993,0.43519315,0.49175057,0.4812983,0.5202516,0.50337386
0.56232977,0.44225976,0.373219,0.55646694,0.5140841,0.49342096,0.42630836,0.35088825,0.4294357,0.5491896,0.44527388,0.5039892,0.35136947,0.6140316,0.57703143,0.52393794,0.27608633,0.32283255
0.5879189,0.5905153,0.30351356,0.4351474,0.5013199,0.51785064,0.25949457,0.38019443,0.51926917,0.45926508,0.45182675,0.3249649,0.4310701,0.58436346,0.3893174,0.53078115,0.19590046,0.39646173
0.6750875,0.3612701,0.14764966,0.17288192,0.4253292,0.34544945,0.23705643,0.241863,0.43377188,0.59596837,0.44265506,0.38563356,0.24368124,0.7928288,0.61334026,0.53940034,0.13290855,0.30590957
0.5102263,0.47074336,0.41609326,0.54996645,0.46001604,0.48575625,0.41821373,0.4694928,0.51238394,0.43993685,0.48527604,0.44090718,0.46690747,0.4933736,0.500453,0.5190272,0.42170987,0.45011654
0.6556827,0.33293775,0.12962796,0.117393516,0.39422315,0.33992463,0.22839269,0.2893187,0.44633505,0.48448992,0.4065806,0.34463856,0.35462373,0.7331463,0.6003118,0.5270923,0.15282251,0.3387773
0.42650652,0.34819028,0.2647194,0.15749893,0.49570027,0.27939895,0.19758967,0.3153377,0.40645075,0.42189842,0.45641926,0.3003524,0.4097051,0.46922985,0.3863484,0.43777207,0.23902202,0.39998138
0.4363778,0.4553503,0.4175798,0.38864598,0.50748736,0.3862693,0.39080706,0.38437966,0.43158746,0.49049178,0.4527377,0.45203072,0.4130631,0.45721403,0.4039734,0.45584622,0.40193564,0.46688068
0.50170904,0.5151089,0.3937336,0.42575973,0.4921863,0.44393685,0.33950314,0.43382528,0.4907438,0.48292947,0.48433515,0.40358785,0.4347077,0.5055541,0.4101693,0.4983278,0.33909643,0.44057438
0.43313387,0.30165055,0.23695666,0.12084755,0.49144796,0.30440167,0.2164898,0.32023224,0.39644948,0.3335102,0.38754225,0.28026515,0.5065889,0.45726788,0.4555629,0.44973648,0.23769028,0.3898875
0.32841814,0.23679394,0.21955407,0.08218527,0.5510672,0.18833041,0.121528044,0.27266696,0.3458626,0.31739095,0.4031062,0.23035978,0.45568314,0.3660575,0.37826967,0.439925,0.18701689,0.3294527
0.38307974,0.358159,0.39860508,0.2828747,0.52987725,0.33044422,0.29441345,0.39953026,0.4189665,0.40355197,0.45747668,0.36635783,0.4703014,0.4024454,0.43750355,0.46998423,0.36345136,0.40556324
0.3828027,0.37254882,0.46501282,0.4121954,0.52267927,0.36103833,0.34764987,0.45034662,0.4562901,0.4066068,0.48774853,0.3991989,0.46936283,0.3971739,0.47542045,0.5030106,0.44859076,0.42493826
0.47297037,0.3445733,0.25513074,0.17612663,0.47066107,0.3616137,0.3166402,0.32261053,0.4125072,0.35584867,0.35804853,0.34673104,0.49953523,0.494307,0.4864234,0.4617076,0.29815665,0.44399622
0.5143417,0.4435443,0.42411315,0.49904895,0.5104675,0.46227407,0.44838902,0.36664516,0.42979226,0.55048066,0.46408495,0.49928412,0.36174148,0.5750698,0.5336109,0.49053654,0.35196978,0.38713953
0.3432698,0.33787093,0.40006366,0.3028558,0.56224424,0.2916729,0.21033005,0.43072996,0.43281505,0.35921365,0.48214778,0.31493455,0.4864413,0.3443123,0.41711405,0.510896,0.32343164,0.34864837
0.34939617,0.23911668,0.2762405,0.119803794,0.53802407,0.26196456,0.19351962,0.34086376,0.37677792,0.27458212,0.38321897,0.25832698,0.55094445,0.36723247,0.47974846,0.4700678,0.26392967,0.3502751
0.48427987,0.39004996,0.27678663,0.19081771,0.46985695,0.36325914,0.28289595,0.34121287,0.42648244,0.41931155,0.42243394,0.34191263,0.45600438,0.51162326,0.434315,0.44419226,0.2759976,0.4355352
0.46033356,0.38502154,0.27098826,0.17710628,0.49805373,0.35189757,0.29886314,0.31492254,0.39267352,0.40223515,0.36675552,0.36039165,0.4728307,0.4806772,0.41931626,0.4408904,0.2701008,0.42957157
0.5007407,0.42862555,0.43504095,0.5332738,0.48800173,0.4548642,0.46676713,0.4073625,0.44998202,0.5215565,0.4751962,0.50977546,0.38852575,0.5382745,0.5428342,0.4992861,0.41254815,0.41010192
