Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.3709359,0.4566843,0.25664657,0.35521066,0.6516721,0.5351323,0.5323787,0.30238998,0.3447287,0.26888308,0.4948946,0.23220362,0.3748563,0.61609644,0.36382085,0.4939404,0.44455832,0.28399256
0.6378481,0.5212015,0.4360882,0.35647014,0.50300944,0.580979,0.60707754,0.46822256,0.30202335,0.45145422,0.42819318,0.39012504,0.39381102,0.5663603,0.49745896,0.41502702,0.32121062,0.38237008
0.6333163,0.49333468,0.4104045,0.4053672,0.49542364,0.60880375,0.6253879,0.63993937,0.23539777,0.6460907,0.39742467,0.46969193,0.4412083,0.48985398,0.5075765,0.44200698,0.35806173,0.42288437
0.38949296,0.61462027,0.26742947,0.2554784,0.46755406,0.33667296,0.59052455,0.7258192,0.39633572,0.60798514,0.46326137,0.6297508,0.6716744,0.56289285,0.2760921,0.49787927,0.3543394,0.57643145
0.49792242,0.56261134,0.32124734,0.31977558,0.51765734,0.52201915,0.609222,0.53755313,0.2861743,0.50202256,0.471737,0.3585447,0.44510448,0.6363064,0.41786253,0.299479,0.41315892,0.41147208
0.44818246,0.4931369,0.31823128,0.37034437,0.5917989,0.50507134,0.5636752,0.37822863,0.33586308,0.33513194,0.49259767,0.2988591,0.44964284,0.56595707,0.43274194,0.46816015,0.45526698,0.311333
0.38356775,0.6046593,0.32564053,0.32286936,0.55430245,0.28978574,0.6315919,0.48910123,0.4074131,0.39220685,0.473488,0.5093012,0.5204099,0.6239434,0.42137802,0.54037327,0.3821149,0.41892374
0.6747847,0.4836524,0.45917335,0.42380837,0.583841,0.6214921,0.5998725,0.6887687,0.27319583,0.63393337,0.3768459,0.65274155,0.51442826,0.36406764,0.42447522,0.49260306,0.28364018,0.5157901
0.4721578,0.49414343,0.34340575,0.4115989,0.55221575,0.4938242,0.55556494,0.3748617,0.37707812,0.3738651,0.4552139,0.329048,0.37908143,0.6496043,0.40548941,0.43729872,0.40507013,0.3684275
0.5350734,0.5383375,0.34753776,0.3774259,0.5412349,0.47054073,0.6214983,0.4165861,0.30782557,0.3825835,0.46510208,0.33473802,0.45667508,0.61802244,0.46485984,0.41017562,0.4155003,0.32382712
0.46173108,0.49398255,0.33714786,0.3938663,0.5606492,0.52694786,0.5203586,0.72285885,0.3757839,0.66818607,0.4122926,0.657678,0.5508521,0.45828673,0.27476767,0.47675323,0.34420723,0.6182592
0.4298634,0.6062925,0.29779252,0.27254212,0.5191036,0.3925496,0.63860464,0.7695172,0.31282425,0.6801775,0.4241927,0.67123824,0.59038717,0.53096426,0.33888212,0.48710135,0.31730756,0.580778
0.27328914,0.65257627,0.31884652,0.27679583,0.7044248,0.30862704,0.68930876,0.49894688,0.3300347,0.39684883,0.48100436,0.5168078,0.31537783,0.6871209,0.48922268,0.38114658,0.3653638,0.45011076
0.5337385,0.54328334,0.3189253,0.3133165,0.44609395,0.5724482,0.5734906,0.6005526,0.29063094,0.57824,0.46894622,0.35971496,0.4973308,0.6088584,0.38217467,0.29419437,0.4189673,0.44769347
0.35781342,0.45090902,0.29421577,0.3418914,0.6611914,0.5861541,0.44814613,0.47701573,0.40732267,0.3783805,0.51392263,0.40280774,0.5086412,0.43812686,0.28584328,0.46705276,0.44902465,0.4487317
0.36606202,0.4713546,0.25516984,0.29466093,0.63237476,0.52166945,0.5145559,0.41192645,0.38003245,0.32796773,0.47878212,0.34944743,0.45131496,0.5463832,0.29980198,0.5824181,0.36579242,0.3720822
0.5649678,0.47648492,0.53224003,0.3783352,0.50608414,0.632776,0.37231734,0.38990614,0.6026247,0.34668756,0.48587152,0.48623106,0.41176522,0.50686187,0.3073338,0.3478822,0.31608534,0.6004651
0.50786525,0.5540004,0.27615714,0.3012958,0.5052557,0.53220403,0.5751364,0.70988274,0.29628986,0.6310591,0.45111564,0.5165605,0.6129192,0.5382888,0.27562752,0.33858663,0.37533244,0.5314578
0.50696564,0.50944835,0.48505244,0.4385725,0.4773635,0.44351307,0.5798453,0.5746343,0.39315185,0.57668096,0.42197964,0.56839246,0.43345308,0.48223546,0.5599358,0.600941,0.38224584,0.47550082
0.44016892,0.4912061,0.4475339,0.45745182,0.5169606,0.4843846,0.49188554,0.46882838,0.4663513,0.4703168,0.47780454,0.46038556,0.42187732,0.5368271,0.45584732,0.43941253,0.46209636,0.48770967
0.47945088,0.5312614,0.41045624,0.4261761,0.58246356,0.43754983,0.59479034,0.44809043,0.36761013,0.41151923,0.46333507,0.45038667,0.43412945,0.55578834,0.49442914,0.4548807,0.42331877,0.39577574
0.43935373,0.51819265,0.43554807,0.42303434,0.46838394,0.41518068,0.5039109,0.5323438,0.48749885,0.5007001,0.47986183,0.52810687,0.5272242,0.5052828,0.43983135,0.51544046,0.4517567,0.5079072
0.37189594,0.61266994,0.31884062,0.31529608,0.5691733,0.28448483,0.63809305,0.5017675,0.40196353,0.3967396,0.473493,0.52374697,0.51862305,0.6266915,0.4140483,0.52952677,0.37725163,0.42859524
