Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.09482918,0.07917988,0.115315445,0.07096933,0.178239,0.17899266,0.34135777,0.6676028,0.27044514,0.16785194,0.31447864,0.37853917,0.32175195,0.7119128,0.21024458,0.19771062,0.09788697,0.20902386
0.22715433,0.23867473,0.5555635,0.0828314,0.3472804,0.36253735,0.38643664,0.39800078,0.37756446,0.15770705,0.7148627,0.242168,0.18747675,0.6681274,0.18589842,0.08805172,0.07257037,0.1829158
0.82020676,0.87076277,0.6723204,0.45769367,0.64534444,0.73356247,0.40211475,0.4787306,0.3309359,0.78232133,0.6912707,0.51291215,0.21285632,0.70665497,0.8432537,0.287339,0.09682061,0.39827672
0.51665694,0.40495554,0.40990335,0.96963793,0.48345014,0.6445477,0.81703854,0.74648947,0.36091495,0.88497984,0.32329172,0.822648,0.84802085,0.16164197,0.5311051,0.8673091,0.45701537,0.7236909
0.385805,0.09380103,0.6971909,0.58475846,0.66976964,0.6747287,0.8871378,0.82922035,0.111581944,0.22087455,0.70436424,0.7758146,0.64013,0.41339034,0.31764603,0.72656196,0.17744161,0.20967118
0.07522429,0.0853843,0.14366187,0.285104,0.22067802,0.35719112,0.56337047,0.53804976,0.24211584,0.39777842,0.44274917,0.50571966,0.6270489,0.5797446,0.12133513,0.28754452,0.10594436,0.25809604
0.31833234,0.57079434,0.1231296,0.5623297,0.35266337,0.29699773,0.4751992,0.38882574,0.6518371,0.7619342,0.3325023,0.3493599,0.48808023,0.47809437,0.5369846,0.7415354,0.7738923,0.4855862
0.35129362,0.5729106,0.3519224,0.43691614,0.45230898,0.47884464,0.31906968,0.21478663,0.44560653,0.818692,0.49317393,0.36234426,0.39457333,0.6511538,0.55459905,0.27133775,0.2421563,0.54835457
0.74873465,0.59256494,0.51180845,0.4763499,0.43304637,0.5798696,0.59060293,0.65956694,0.49825817,0.41414964,0.33451268,0.64036804,0.4845016,0.45978424,0.61874473,0.5416492,0.594459,0.47645926
0.29222748,0.21972103,0.14690548,0.3103193,0.19044298,0.44516137,0.60104054,0.5853943,0.42347386,0.38473013,0.20681615,0.6400016,0.6930586,0.5332786,0.24869029,0.41860494,0.50252885,0.3849889
0.5864154,0.93079513,0.70094913,0.74771136,0.7477861,0.5263874,0.45352504,0.029731842,0.89598006,0.90740556,0.82293516,0.09713084,0.30489016,0.3849545,0.5766986,0.6463813,0.9445594,0.63162684
0.8090197,0.92684793,0.6551648,0.46802944,0.80480236,0.3166987,0.37016553,0.6578854,0.78468156,0.24328263,0.83555967,0.17060661,0.1228737,0.40962088,0.8309106,0.8960165,0.90158635,0.2664541
0.1170202,0.17266202,0.20274405,0.28372267,0.2951699,0.12510635,0.20732147,0.6896307,0.46444762,0.19924478,0.39096332,0.29342675,0.3759774,0.45360923,0.27579835,0.4038065,0.25278243,0.4223717
0.6461935,0.92345786,0.37050635,0.43510082,0.6881071,0.6044892,0.4096879,0.42811522,0.3784037,0.87535065,0.864666,0.27029932,0.11970988,0.7702584,0.85237265,0.5310999,0.10256825,0.18625396
0.37453398,0.22217794,0.28930148,0.23809132,0.26566342,0.55428416,0.6318339,0.38821375,0.44859526,0.31822821,0.24288277,0.6304779,0.7116864,0.5745961,0.23571593,0.34898612,0.68327093,0.4212952
0.39774224,0.7575696,0.26219368,0.8327399,0.46209443,0.26584142,0.30349347,0.15666904,0.76756835,0.95877,0.31717345,0.23233683,0.3673345,0.36952055,0.7422503,0.64861727,0.7196994,0.8143643
0.18529493,0.28636616,0.23433933,0.2625076,0.29228315,0.38848138,0.26073545,0.30513066,0.38428017,0.54890394,0.3654142,0.4253074,0.54308575,0.66070956,0.29891548,0.17695415,0.2034943,0.5042657
0.7744371,0.83609545,0.6105243,0.48585218,0.8391236,0.2780674,0.26564625,0.7937708,0.48546806,0.39251667,0.7186894,0.29103065,0.10881363,0.5451427,0.9360068,0.87719893,0.59814256,0.38203695
0.7624244,0.41486314,0.8789996,0.69904226,0.6532745,0.71757114,0.57898897,0.7604311,0.3384986,0.18061182,0.5239343,0.7783199,0.7003886,0.28986466,0.46718153,0.49062586,0.43508458,0.6098376
0.24173206,0.27890578,0.53928065,0.35491672,0.50398445,0.31626105,0.29461783,0.6736152,0.29563424,0.25694928,0.68606853,0.36753577,0.30630195,0.5092428,0.36535028,0.29214254,0.07218885,0.34552374
0.46819735,0.33735114,0.41690242,0.30291194,0.31602758,0.51884913,0.5651459,0.5286474,0.39175358,0.41855958,0.36804214,0.5590291,0.44984916,0.557323,0.3840099,0.27303255,0.25894508,0.38806334
0.29417625,0.40005088,0.49770436,0.16174361,0.37111634,0.56721884,0.42752445,0.21021144,0.44680122,0.35541072,0.6584634,0.33966327,0.42301577,0.6745711,0.19602518,0.119656324,0.22562766,0.2899804
