Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.2127133,0.28914413,0.42524484,0.41622055,0.76338565,0.41695425,0.2062052,0.32318434,0.50145435,0.40801424,0.28965732,0.27635133,0.3853667,0.24335565,0.60230243,0.306545,0.42445117,0.24069653
0.35682234,0.3644439,0.41131696,0.43528205,0.6627718,0.45218444,0.3209166,0.401513,0.47417313,0.45659083,0.3470521,0.35843486,0.41418752,0.31478176,0.55903316,0.343292,0.47243372,0.33484954
0.44820818,0.44978496,0.45878068,0.4626927,0.52776647,0.47303954,0.4447224,0.4616368,0.48103634,0.4689484,0.4483957,0.44336918,0.45310885,0.43600994,0.4994841,0.44223538,0.48121503,0.44040972
0.24978824,0.3474302,0.41052875,0.46074432,0.606449,0.45322147,0.25971296,0.3776751,0.49942446,0.44799227,0.3270363,0.3931534,0.37282255,0.3569794,0.5315633,0.32872516,0.41465572,0.3249675
0.3568602,0.41357726,0.48217213,0.46371487,0.5603955,0.44832423,0.3772176,0.4262474,0.51021105,0.4291989,0.44180503,0.4069131,0.4367833,0.41738337,0.5089715,0.44660753,0.44995537,0.39870664
0.32667673,0.36927104,0.43707713,0.44011417,0.65117073,0.4461689,0.3198612,0.39489007,0.48833182,0.44268596,0.36512068,0.36131036,0.42019024,0.33649248,0.5501447,0.3727372,0.45290267,0.3392913
0.09975098,0.21340404,0.3324595,0.45054162,0.74121165,0.41393214,0.10002884,0.2735162,0.5171068,0.42438033,0.18607894,0.30286184,0.271083,0.23325525,0.59562176,0.18570158,0.3492886,0.1865526
0.42530757,0.46180776,0.4696481,0.47407106,0.4870941,0.47701648,0.44896725,0.46406153,0.4891561,0.4692267,0.46132013,0.46976745,0.450848,0.47483686,0.48096502,0.4604784,0.4628554,0.4576976
0.3659531,0.35755873,0.39589766,0.43188247,0.6747831,0.45332566,0.3150615,0.40177193,0.46728387,0.46247774,0.33313215,0.35339898,0.40904775,0.29945946,0.5663414,0.32522228,0.4799518,0.32808122
0.23093571,0.34780717,0.4256585,0.46604773,0.59517205,0.44874284,0.2557715,0.3724644,0.509512,0.44056788,0.33698463,0.39662477,0.37255225,0.3740302,0.5245764,0.3429364,0.40190962,0.32671475
