Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.18227705,0.4287355,0.29092544,0.34081495,0.44361255,0.114794426,0.6796832,0.47376782,0.15747818,0.5600131,0.19309008,0.6175042,0.44709387,0.22077459,0.38625795,0.39726943,0.1388616,0.3602053
0.4604495,0.38113317,0.28655335,0.6145342,0.3218711,0.27374017,0.4511594,0.6697427,0.30253065,0.543494,0.4400934,0.45850855,0.36665672,0.25674587,0.43331525,0.4030401,0.49132356,0.3868032
0.6409126,0.3072211,0.6653367,0.45837516,0.4629737,0.44245142,0.28553125,0.33795,0.39720547,0.16986102,0.34825784,0.37923068,0.43972355,0.539487,0.19569588,0.4572586,0.19938447,0.29811263
0.38029012,0.35652095,0.48257017,0.59677064,0.52615285,0.25397944,0.3465687,0.33951494,0.3632368,0.29443356,0.33603287,0.4602753,0.5522157,0.44295517,0.21199887,0.47302225,0.18669438,0.31424034
0.5827099,0.37710708,0.5952267,0.43355256,0.3661916,0.39333066,0.4980773,0.58517385,0.45756507,0.3758887,0.46344298,0.36303616,0.40372738,0.31351018,0.39545426,0.60472167,0.50491714,0.547481
0.6369859,0.32660773,0.64753723,0.44440845,0.45762765,0.4831455,0.32547945,0.3291575,0.38796678,0.1725523,0.35282215,0.40493733,0.42847258,0.56874794,0.18814713,0.42464268,0.20349714,0.2841458
0.32427415,0.45703247,0.4024913,0.4226187,0.4565125,0.27711955,0.5624468,0.47640356,0.31301463,0.50399685,0.3346457,0.5377936,0.4631133,0.35195997,0.42893487,0.44142154,0.29735836,0.42587456
0.5341385,0.3780421,0.5749043,0.5056319,0.50078344,0.42866927,0.34465122,0.35280073,0.43581846,0.26226333,0.3971071,0.44533613,0.48225784,0.5285668,0.25844103,0.4572639,0.2691061,0.33135545
0.46075588,0.43091658,0.47986028,0.4685885,0.5221495,0.39228404,0.43376344,0.4028983,0.43561152,0.40476072,0.41513738,0.4997011,0.49054983,0.4697764,0.38631275,0.46929118,0.33730775,0.38525653
0.5061963,0.50135535,0.34075016,0.31734124,0.4444201,0.32942575,0.44634053,0.4945139,0.3044148,0.5799472,0.3337167,0.61730814,0.32000682,0.37900105,0.6104055,0.30549908,0.32639107,0.31956545
0.6135805,0.31541303,0.6313372,0.4552311,0.46401313,0.45976767,0.32838964,0.3692344,0.4006763,0.20044287,0.3731256,0.39381817,0.4423742,0.5238685,0.22623202,0.46150804,0.24133888,0.31420347
0.4453509,0.36029235,0.46724266,0.48889378,0.47060964,0.43993497,0.50047135,0.5521238,0.43899387,0.43783668,0.4906218,0.43350798,0.48546472,0.38511252,0.45024684,0.53969693,0.5078085,0.45842132
0.47513804,0.36826164,0.46131882,0.3477729,0.7049634,0.27341872,0.3469976,0.2299168,0.4301586,0.325091,0.3359644,0.62440443,0.5064649,0.47943038,0.33251965,0.46420994,0.16197066,0.19807413
0.4789857,0.4409097,0.5094044,0.41125506,0.50492954,0.40016678,0.43841207,0.4384325,0.44309923,0.42949235,0.41554332,0.49908742,0.45762414,0.43903795,0.46084404,0.48173252,0.37589875,0.4189626
0.46926948,0.49312338,0.28181726,0.36767367,0.38868934,0.26607025,0.4497783,0.5410131,0.23777659,0.6147274,0.29557213,0.5984795,0.31333897,0.33652595,0.5889674,0.27362075,0.2871877,0.32366
0.4179288,0.4890876,0.46474832,0.35782185,0.4806959,0.3927616,0.5361369,0.47315922,0.4042018,0.5055144,0.40030384,0.55198044,0.4277795,0.40582743,0.5253936,0.45022202,0.40249497,0.43925533
0.3604783,0.3857429,0.26377833,0.65088546,0.38101014,0.15771978,0.355125,0.49347773,0.1987192,0.48627433,0.25979874,0.46960393,0.4581793,0.3290895,0.29670352,0.32157138,0.16480604,0.31311122
0.40193594,0.48037577,0.26393723,0.36382943,0.38966393,0.21781327,0.5007974,0.53939176,0.2055213,0.6212231,0.2647683,0.60383433,0.3315446,0.3023431,0.55687076,0.28456935,0.24474806,0.32784405
0.31202525,0.45822126,0.39286998,0.4282892,0.4445577,0.2685132,0.5761684,0.489036,0.30074817,0.51456094,0.3291054,0.5338466,0.46370175,0.34182575,0.4283674,0.43982723,0.296355,0.4363026
0.68558884,0.27291322,0.6912763,0.40175393,0.33355245,0.42687055,0.3324285,0.47956145,0.30959496,0.18656172,0.30462006,0.28270355,0.3809622,0.44345355,0.23476398,0.48059362,0.21389735,0.4126309
0.66492206,0.56466585,0.30399916,0.34756318,0.28325045,0.25241008,0.32882217,0.576751,0.25149003,0.6025655,0.29829368,0.6313527,0.17793421,0.295296,0.61167496,0.20427653,0.32952404,0.26900318
0.3682406,0.42313683,0.40619466,0.2926822,0.6016905,0.23887901,0.50698674,0.33526865,0.32704827,0.44661644,0.29419094,0.64131093,0.449275,0.37356004,0.4279284,0.43155825,0.19256961,0.27311128
0.3580204,0.4769099,0.34734592,0.40895513,0.41228783,0.2740268,0.552746,0.5254707,0.27557948,0.56598353,0.3220079,0.5502484,0.408997,0.33548447,0.49587926,0.38062468,0.3101305,0.41687453
0.32447225,0.33226898,0.44666892,0.6283802,0.531443,0.23495917,0.36979175,0.3782979,0.35816893,0.31941107,0.35616836,0.45823357,0.57411814,0.3976364,0.22365208,0.50001115,0.21678025,0.32290167
0.65089375,0.47374326,0.2651609,0.46820346,0.39540598,0.32488915,0.25643477,0.5158252,0.28205225,0.57760215,0.3410146,0.5636586,0.2897849,0.42644048,0.5838946,0.22176713,0.30108327,0.25114217
0.6290106,0.3215019,0.63045424,0.4088983,0.31848356,0.4108532,0.39951506,0.5837301,0.33151785,0.3153017,0.3467716,0.28592345,0.3939306,0.37614316,0.38011268,0.51928437,0.3307981,0.53842336
0.59000957,0.3797609,0.5813784,0.4178887,0.36978465,0.46510717,0.47663197,0.5238725,0.3890599,0.33488575,0.4070673,0.37628227,0.4031939,0.42345905,0.35554665,0.49517027,0.38865057,0.47737664
0.58634794,0.2605956,0.6830279,0.5522759,0.51538163,0.3473833,0.21020856,0.2245175,0.36190683,0.095525734,0.28933144,0.39773342,0.48936158,0.57896674,0.08623683,0.42784715,0.096717775,0.18639398
0.36698246,0.49185085,0.43037614,0.34332097,0.46582654,0.34182325,0.5810447,0.48399463,0.35186094,0.52961564,0.36295742,0.5710961,0.42181996,0.36955515,0.5197398,0.43455523,0.36292484,0.43483797
0.633313,0.306077,0.6649024,0.46883577,0.47033018,0.42229035,0.27247214,0.3469015,0.40929252,0.17999671,0.35374936,0.37297472,0.449778,0.521981,0.21118842,0.47632957,0.2085116,0.3125647
0.38577858,0.47706,0.42340317,0.3414605,0.49975988,0.33887732,0.5612948,0.4530382,0.36251676,0.5158394,0.36457098,0.5770782,0.43410984,0.38473812,0.505794,0.43961984,0.34014583,0.40549126
0.5737471,0.34381238,0.6087685,0.48926008,0.49646226,0.44006577,0.32087797,0.3364484,0.4227469,0.21404274,0.38118976,0.4273035,0.46846604,0.5409076,0.2219812,0.45377117,0.23671429,0.30133438
0.38632947,0.3973485,0.43388942,0.53366524,0.47710234,0.40359396,0.5025787,0.51796645,0.4217775,0.45771965,0.4675946,0.46052143,0.5107091,0.40409973,0.4198972,0.5071888,0.45922762,0.44907457
0.32377148,0.4468279,0.35626018,0.47951755,0.4052707,0.277481,0.55987614,0.54670674,0.28679818,0.54260296,0.34708127,0.5070788,0.4516553,0.3294425,0.4471562,0.4205685,0.3381362,0.44772297
0.49435082,0.42170045,0.52920824,0.4944075,0.48635268,0.43045923,0.40236947,0.4340148,0.45825648,0.37803498,0.43720722,0.4521387,0.4832546,0.4757773,0.3844016,0.4857202,0.3798305,0.42220798
0.4376313,0.4581008,0.4637406,0.4963087,0.46824333,0.40638977,0.46859297,0.46701097,0.42582032,0.45610487,0.430652,0.47949922,0.4818749,0.44881254,0.42528793,0.4643428,0.39991415,0.44887567
0.37516472,0.37289447,0.45191133,0.49398473,0.5886848,0.23600323,0.37389463,0.31096023,0.36750457,0.3373819,0.32389736,0.5378342,0.532843,0.42538497,0.27223268,0.4672746,0.17765628,0.27788493
0.44719562,0.46786863,0.48465577,0.45606595,0.48226252,0.42268878,0.47174245,0.46200073,0.44686306,0.46005124,0.4384621,0.49622425,0.47006485,0.44911838,0.46011254,0.47217062,0.4198047,0.4501689
0.36635798,0.37655258,0.18223386,0.68298155,0.2963561,0.13931498,0.34834105,0.61646104,0.14233713,0.58120877,0.24790983,0.46353745,0.38910055,0.2681047,0.3671001,0.25200033,0.19067197,0.30457452
0.67658466,0.5246167,0.19635494,0.447039,0.2618025,0.22673377,0.25044513,0.6199237,0.18022294,0.6637469,0.26668522,0.5992159,0.18262148,0.3134886,0.63777,0.14404766,0.2725318,0.23082998
0.673388,0.26157874,0.7201555,0.4881885,0.5276221,0.41385865,0.19339295,0.24148028,0.42055488,0.10177526,0.3252778,0.38174674,0.46259472,0.589902,0.12317752,0.45794064,0.12965661,0.20861766
0.22379632,0.34520283,0.34134784,0.560172,0.46952203,0.16835025,0.5388061,0.4751595,0.24283104,0.4416244,0.29438445,0.49530455,0.54347944,0.28447104,0.28047457,0.47654772,0.20690471,0.36731112
0.40103725,0.50509703,0.45872277,0.366775,0.43709636,0.3567477,0.5514742,0.49411488,0.3756582,0.5101381,0.3809175,0.5564515,0.40248826,0.37190053,0.50477624,0.43419763,0.39369434,0.44481254
0.38037902,0.3967936,0.2125417,0.55239916,0.38556856,0.12941515,0.35996792,0.4929095,0.15622692,0.5442057,0.21577853,0.54401994,0.38791525,0.2946947,0.3663157,0.26070398,0.13246222,0.2514789
0.6663752,0.36033553,0.531659,0.45541176,0.33224308,0.4268057,0.3264378,0.52677524,0.31384912,0.32884806,0.34539622,0.36196032,0.35220617,0.44629446,0.36432415,0.3801784,0.29393953,0.3940357
0.25745645,0.41251758,0.14261359,0.5595411,0.2582147,0.08793728,0.5057117,0.6607035,0.08460778,0.6769689,0.17305379,0.5375623,0.3402998,0.184791,0.43061438,0.22242492,0.14454079,0.32139125
0.5485028,0.49097285,0.5992264,0.39753428,0.33336046,0.3161792,0.45552328,0.5761456,0.4591261,0.43430808,0.42685923,0.4619691,0.32454792,0.27047473,0.4700586,0.53444797,0.50522536,0.5241072
0.37925276,0.45936802,0.2721783,0.46952927,0.36790824,0.21192913,0.47475702,0.5490926,0.20989354,0.5884114,0.27649578,0.54425913,0.3756861,0.31080624,0.47662905,0.3064291,0.24481614,0.3586359
0.44909838,0.5052497,0.31743813,0.20394333,0.50006765,0.2765671,0.5480478,0.4587262,0.26701593,0.6145308,0.2847457,0.69375604,0.30545852,0.33313408,0.6545813,0.3102869,0.26773036,0.28655612
0.5198241,0.47285113,0.4929404,0.44624093,0.37256888,0.36212817,0.47221935,0.56533176,0.441976,0.46407914,0.46000925,0.50028163,0.34929475,0.31563246,0.4659823,0.4772846,0.5209121,0.4473913
0.38246086,0.34181046,0.41849932,0.5116891,0.63377184,0.20875566,0.3535242,0.27395204,0.35955775,0.32253733,0.31178063,0.5396145,0.5648106,0.43518174,0.23772036,0.4754766,0.14144897,0.2417719
0.52184343,0.39765835,0.4056176,0.51007307,0.37589076,0.4011623,0.48792636,0.58768535,0.38025075,0.45818663,0.46460608,0.45553774,0.38726497,0.3519867,0.41797602,0.44676092,0.4934595,0.41124928
0.3343894,0.38861862,0.41473156,0.5817969,0.48745975,0.26211834,0.45036125,0.4306329,0.34445044,0.40780407,0.3595778,0.46536887,0.5443,0.3918975,0.29483503,0.47960052,0.2607368,0.39245543
0.3054677,0.30793622,0.34173432,0.2665202,0.75321674,0.09346543,0.40844816,0.1731876,0.23880343,0.32429162,0.17717446,0.720093,0.51301855,0.33854136,0.24731138,0.4236368,0.046352442,0.11488963
