Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.51370525,0.18148322,0.396002,0.67007047,0.2699026,0.22084682,0.35141292,0.55961293,0.5088503,0.5799868,0.46180487,0.44480214,0.3310273,0.42541212,0.32872087,0.306404,0.30555463,0.6259469
0.5616572,0.235005,0.34887853,0.6295172,0.33217958,0.26252162,0.40887156,0.52879316,0.5126091,0.5365985,0.4850366,0.5248692,0.39984828,0.48802194,0.2749997,0.43707377,0.31415263,0.6049157
0.4257452,0.2943217,0.41260192,0.57532454,0.44743595,0.3254811,0.44822875,0.5501015,0.53929985,0.6004001,0.4060784,0.4993579,0.48640007,0.39285883,0.34382528,0.45366958,0.33803248,0.6183452
0.48935872,0.36817798,0.39766878,0.5005364,0.33269858,0.48316085,0.5200821,0.45209283,0.51269174,0.4151743,0.38552272,0.41188356,0.5088494,0.47496155,0.37589908,0.47457403,0.4277086,0.5046143
0.51734686,0.27607167,0.31800652,0.53322184,0.2874439,0.320254,0.4098928,0.41486022,0.5002419,0.44864845,0.4535124,0.41619298,0.41168845,0.5068809,0.345596,0.47838932,0.35135496,0.5696283
0.52259237,0.25970432,0.3419353,0.57056516,0.32475153,0.29467484,0.40726233,0.4710806,0.50019276,0.48148218,0.4794406,0.4618449,0.3871072,0.5102163,0.33767214,0.45791665,0.35514683,0.5636363
0.40016052,0.26300105,0.26427734,0.43865645,0.23436499,0.35319558,0.39777637,0.28486735,0.49706045,0.41299182,0.2895999,0.31035432,0.53032255,0.37166348,0.27248138,0.5758703,0.258587,0.6518367
0.4277399,0.27519894,0.34184742,0.5519204,0.42788774,0.34576553,0.4910668,0.49586937,0.5185872,0.50679916,0.3713283,0.4922947,0.48711744,0.46008995,0.23098673,0.56175274,0.32678866,0.5698601
0.4867756,0.35365742,0.4605955,0.5461475,0.33789203,0.39976943,0.41058144,0.45667994,0.47631288,0.51659864,0.41006157,0.42412564,0.4720339,0.36368573,0.38232324,0.38486722,0.3623173,0.5927022
0.4967646,0.25534865,0.3072022,0.5168569,0.24838196,0.28594187,0.38488716,0.40704337,0.48839206,0.43298602,0.41124755,0.3910785,0.4081573,0.5180457,0.32559755,0.52324444,0.30684182,0.5609171
0.38580495,0.32462722,0.4594148,0.4945974,0.3635376,0.5578085,0.5105726,0.40329638,0.4640914,0.35190988,0.37527898,0.31874427,0.41104922,0.3944349,0.43302137,0.3486877,0.5404189,0.44923615
0.4805788,0.33827168,0.34267992,0.5222235,0.36727318,0.5419469,0.5818452,0.42025617,0.56593156,0.43593183,0.37717682,0.41554168,0.56710684,0.40225935,0.33156112,0.4286665,0.45129016,0.5882851
0.6375405,0.1339485,0.1657234,0.5792074,0.13308458,0.25301057,0.41464806,0.33139315,0.5358542,0.33009073,0.3937675,0.41423652,0.44883743,0.5181935,0.17024349,0.54081357,0.23224396,0.6602477
0.27417353,0.20136587,0.4245314,0.5567209,0.29980245,0.39942136,0.46234378,0.4643393,0.48404434,0.43230298,0.3147171,0.23050393,0.2953312,0.42827618,0.38492507,0.29646376,0.47526836,0.45628032
0.4766381,0.25221384,0.31242537,0.5309518,0.28636426,0.27943835,0.39629868,0.43564588,0.5027245,0.4714899,0.4102717,0.41494828,0.41846338,0.5028426,0.31560972,0.5231466,0.30492905,0.57687217
0.41232464,0.3475997,0.5112491,0.48883545,0.36126736,0.45596632,0.3876584,0.38114277,0.36381662,0.3571872,0.39087546,0.3636217,0.36458036,0.38619745,0.356174,0.4233138,0.4325463,0.43895262
0.45256776,0.119731314,0.5167649,0.6838259,0.1398307,0.19979456,0.20753421,0.43697563,0.34862292,0.4799211,0.34250206,0.29194313,0.23778364,0.23432161,0.26019922,0.1918902,0.22729893,0.6319995
0.50486755,0.42027825,0.46453142,0.5453057,0.4191499,0.48647168,0.51424617,0.49837765,0.48574564,0.48379046,0.43173993,0.47187328,0.48585677,0.45831844,0.34303522,0.4342507,0.4420063,0.5051002
0.47862557,0.45205006,0.4622565,0.5036798,0.5004124,0.4859132,0.5291002,0.51940954,0.5033445,0.48815554,0.44353217,0.51829094,0.5204702,0.48121142,0.39733645,0.515687,0.45684496,0.48704544
0.49781576,0.30744308,0.4246568,0.5629696,0.3528153,0.31564933,0.38267067,0.48900345,0.4866542,0.5411016,0.440702,0.4735696,0.44607934,0.40163428,0.36820683,0.43034452,0.32615328,0.60448194
0.42185768,0.22805642,0.34968457,0.5693907,0.3725359,0.24453045,0.38010374,0.50043184,0.5314511,0.59718895,0.3706556,0.48585546,0.4893787,0.3609237,0.28707537,0.5069246,0.24562258,0.6796402
0.42370063,0.27676192,0.3999156,0.5130675,0.24428573,0.2843933,0.34847355,0.45305783,0.48533896,0.49062806,0.40100655,0.3201141,0.3631498,0.4806345,0.48030406,0.41177884,0.3449458,0.5378913
0.6475165,0.2145983,0.36325437,0.6470271,0.18129636,0.2321838,0.33038205,0.4684633,0.42704412,0.45448261,0.44942266,0.47204253,0.35427123,0.4917198,0.19871052,0.42037266,0.23846439,0.58563983
0.4667054,0.33412674,0.44080013,0.5144523,0.34376106,0.39768508,0.3994485,0.41763827,0.43680486,0.4263583,0.43837333,0.39866984,0.39285442,0.4335382,0.39462405,0.42247802,0.41061547,0.50727254
0.43621865,0.40439245,0.5211249,0.50323176,0.39273304,0.44903582,0.42310315,0.46655542,0.43663412,0.45353028,0.43815222,0.39213598,0.3977733,0.43628022,0.47750744,0.39149714,0.46697977,0.46030086
