Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.30035567,0.15865701,0.5180354,0.6285575,0.23536089,0.29979044,0.16857526,0.09880805,0.21913998,0.5776564,0.15560032,0.6008345,0.57988095,0.65264606,0.44544783,0.23348622,0.40313098,0.47554553
0.34390315,0.32212037,0.35021138,0.38128245,0.31095302,0.51752025,0.48224092,0.24536172,0.1685306,0.37599158,0.45409212,0.2977478,0.72997,0.33363232,0.5375229,0.39995167,0.27364713,0.63346773
0.34699997,0.5024667,0.39329407,0.56353474,0.12207878,0.7443226,0.5402131,0.661433,0.1706633,0.1545578,0.6405947,0.30638453,0.6471877,0.4468624,0.5938869,0.15651506,0.42577308,0.38563055
0.30365205,0.2747452,0.45581585,0.3596505,0.55255896,0.23279023,0.7807714,0.29393965,0.20450467,0.54114157,0.43090215,0.66069424,0.6540986,0.5109284,0.86562324,0.46461254,0.51327085,0.46212876
0.47260615,0.39607283,0.4497572,0.35128373,0.36483407,0.20544599,0.64847064,0.17675287,0.15854833,0.66029406,0.51900905,0.7150417,0.7604651,0.49987513,0.80996907,0.38069424,0.42237523,0.32814816
0.48916855,0.41897288,0.5309931,0.57342166,0.6217758,0.65433544,0.23396167,0.6415195,0.74141026,0.5205942,0.3388284,0.41156226,0.23163114,0.6410087,0.21717915,0.5357087,0.5062668,0.56788886
0.34921926,0.39986143,0.53544605,0.22008947,0.685722,0.38894302,0.4883971,0.3900827,0.29454604,0.6907928,0.50041896,0.56113696,0.51390547,0.3399521,0.55458635,0.51794714,0.25314292,0.4011221
0.6446354,0.65659785,0.639293,0.40265563,0.39727917,0.697529,0.4059738,0.7513748,0.32159573,0.19120201,0.5576595,0.20471549,0.6492792,0.42062852,0.47052056,0.6540149,0.27282736,0.26031125
0.5311166,0.7037043,0.41415703,0.26991788,0.3630181,0.48819202,0.77334315,0.6213656,0.26135522,0.63218105,0.83782554,0.72142977,0.6011929,0.3405948,0.74656737,0.25064144,0.47097942,0.26658604
0.40745217,0.5757926,0.4590296,0.32526833,0.6645448,0.42777473,0.7815428,0.65130514,0.48747286,0.49938786,0.66777706,0.55248296,0.45192617,0.33949658,0.68253493,0.53780097,0.5150859,0.4481093
0.5112086,0.48353016,0.40378547,0.50530285,0.5475866,0.55193996,0.21025658,0.43297753,0.60981333,0.6196666,0.47367707,0.40153328,0.37404674,0.6548136,0.21608447,0.47182453,0.34870264,0.49236292
0.49481922,0.60208,0.41988343,0.40443245,0.6383264,0.78656256,0.60854614,0.846888,0.70561695,0.43028957,0.66090834,0.372567,0.26591778,0.38148937,0.35910153,0.5231772,0.551349,0.652065
0.2579568,0.22011624,0.5114192,0.6154086,0.15555817,0.32238168,0.26022235,0.15437227,0.1561358,0.5155587,0.26522154,0.67670935,0.5999869,0.59984004,0.5709269,0.122330554,0.43740818,0.336305
0.60556126,0.5961547,0.33059308,0.49451447,0.5399593,0.7364728,0.24469322,0.6048004,0.7354632,0.6124973,0.6037365,0.34115425,0.30504924,0.57592297,0.14559501,0.47842264,0.40713173,0.637563
0.59308803,0.55841756,0.62165475,0.53714556,0.36535904,0.49627024,0.39503986,0.4902805,0.6161249,0.5643865,0.41468558,0.6535364,0.36942053,0.31588486,0.35927716,0.40018567,0.6229527,0.45587417
0.27021825,0.17440458,0.6411637,0.56173813,0.2916672,0.3497207,0.3819284,0.19785033,0.2115351,0.31662002,0.1408794,0.47682393,0.611403,0.34629738,0.6014243,0.39822108,0.46589857,0.55438656
0.248459,0.22862732,0.545593,0.669159,0.5848197,0.04788144,0.561953,0.08194922,0.4805442,0.60843396,0.1752495,0.7775561,0.50909615,0.6378477,0.7455051,0.49251953,0.66465646,0.37529337
0.2806473,0.32323578,0.51885545,0.2558964,0.7083163,0.6220169,0.7295907,0.7364077,0.29314834,0.42317396,0.50794,0.4451285,0.44766897,0.41715166,0.74064535,0.5382428,0.40286097,0.53575385
0.43273142,0.39734757,0.3383485,0.3537277,0.7209644,0.7530376,0.5027352,0.7168169,0.6657492,0.7043003,0.57422185,0.5059139,0.23323,0.56533986,0.35341188,0.46131498,0.51716775,0.7495547
0.35351372,0.44173518,0.23320411,0.28172302,0.6144222,0.3144214,0.7879097,0.29286677,0.32734895,0.69895566,0.7059798,0.5896115,0.6094924,0.4190332,0.7170021,0.43760785,0.43026245,0.6244854
0.5494642,0.77681834,0.6380705,0.31224757,0.32419777,0.69353324,0.2829387,0.7772036,0.29974285,0.45411277,0.7665861,0.46838838,0.4918355,0.36495504,0.3435638,0.26141268,0.20935138,0.10440672
0.42998385,0.1177663,0.8801048,0.4862116,0.3082781,0.51855236,0.14297268,0.3479537,0.13226464,0.39723793,0.060723864,0.58158696,0.5722987,0.5775399,0.61577195,0.4642413,0.36938798,0.28914565
0.42163584,0.47707927,0.6027158,0.5713809,0.35011876,0.7321769,0.2521678,0.7409337,0.43814027,0.2595774,0.42151484,0.3224653,0.38029182,0.5792533,0.32953283,0.348083,0.39144996,0.3257259
0.27961114,0.21205944,0.6653979,0.3879938,0.4689531,0.32531384,0.5345381,0.28596792,0.14784339,0.2769267,0.20422004,0.38494056,0.70585877,0.3424998,0.7492875,0.59478307,0.32790583,0.43892336
0.618188,0.71997577,0.45089108,0.71670854,0.38468656,0.12488312,0.37192374,0.25299802,0.7016719,0.68607414,0.5955464,0.7754379,0.4436573,0.7652544,0.44672957,0.33368382,0.63738954,0.14798403
0.26749855,0.43757838,0.5633868,0.26256242,0.70352226,0.34131426,0.70221746,0.5487902,0.30706212,0.49237856,0.5410491,0.5417297,0.49984613,0.32155064,0.7207366,0.5268952,0.34771675,0.33633888
0.6762158,0.6653782,0.5930559,0.39085886,0.20190732,0.2690254,0.47783878,0.21209797,0.2532524,0.6471574,0.58343256,0.73434925,0.7298886,0.23205188,0.5786325,0.3314697,0.434636,0.23368578
0.5213984,0.36491773,0.8746787,0.40020594,0.31816974,0.081707604,0.16790234,0.06724588,0.22035415,0.8277711,0.15025435,0.90035295,0.61515987,0.2627759,0.54131675,0.35739613,0.36533374,0.104522415
0.3486762,0.4356339,0.2852555,0.5927528,0.8832084,0.36618668,0.5154027,0.569373,0.89645445,0.6286207,0.47149703,0.43137953,0.1668887,0.7719997,0.3060188,0.6971422,0.62044394,0.7007543
0.3633588,0.23699455,0.552333,0.4811161,0.4000586,0.3620026,0.5165674,0.32584178,0.18821397,0.39432466,0.28510967,0.517314,0.6566503,0.6354968,0.7620943,0.44888484,0.44737408,0.40824133
0.36638504,0.20112477,0.44246343,0.7060967,0.3937938,0.7877473,0.11677446,0.5299958,0.5964375,0.40453842,0.19405602,0.29791602,0.25476047,0.78405255,0.16934273,0.3387458,0.4830577,0.72253287
0.29357475,0.17553759,0.7588699,0.4631824,0.5013533,0.35236472,0.39439258,0.36104774,0.22388875,0.369319,0.13675857,0.5399471,0.5354328,0.4862729,0.6989315,0.53074247,0.43067068,0.37776956
0.13455877,0.22346638,0.33694562,0.42727545,0.5809131,0.43492553,0.56735843,0.39520288,0.24019036,0.31836674,0.41340077,0.29750246,0.5299003,0.54659146,0.6282781,0.3891543,0.3030005,0.5751111
0.6712009,0.5611647,0.39140904,0.33496684,0.19264366,0.6637836,0.39366117,0.28905225,0.36945477,0.80720496,0.63129056,0.7194726,0.53800577,0.18100664,0.3071518,0.20455149,0.49156016,0.67101413
0.32902443,0.6970224,0.39512858,0.6287059,0.28761837,0.37946787,0.56585616,0.52854645,0.51805955,0.27600977,0.6910064,0.44971246,0.46304452,0.36750078,0.43969986,0.23703696,0.51448244,0.28735578
0.22664885,0.28374225,0.37427214,0.5955017,0.3608261,0.5213107,0.62512463,0.5758273,0.2189825,0.1792631,0.4510915,0.3164322,0.59045106,0.7426661,0.7563091,0.32000855,0.47134557,0.43184105
0.59631795,0.5986933,0.46353096,0.4519067,0.2730879,0.49372962,0.33289918,0.32863438,0.3618195,0.5132499,0.5594189,0.45065647,0.62470263,0.35217315,0.34948134,0.38522428,0.34795308,0.400375
0.38397843,0.6272742,0.5914957,0.20985101,0.70670307,0.8497675,0.6799476,0.9309787,0.4553932,0.27210206,0.7081632,0.2573715,0.3406464,0.19489416,0.48386738,0.5902624,0.3149614,0.46810445
0.5180189,0.43589544,0.57457685,0.4640212,0.576683,0.3941887,0.43648803,0.38173324,0.6116546,0.61527765,0.34253976,0.5902718,0.39239356,0.36086568,0.40726864,0.57800597,0.54914886,0.56297785
0.3448238,0.5378728,0.44782695,0.31490475,0.6706221,0.5383707,0.6371629,0.69173926,0.3878453,0.36205262,0.6471483,0.32207257,0.4967877,0.42977795,0.5826065,0.5674737,0.30864507,0.39350435
0.048208047,0.059052564,0.6495316,0.6043098,0.25774562,0.10251464,0.5038709,0.10625143,0.03937753,0.25742272,0.104825325,0.6800762,0.709572,0.6852761,0.9185548,0.13659684,0.3918778,0.19972223
0.18078764,0.30636263,0.50976455,0.49236888,0.16068444,0.36504987,0.39845657,0.25980142,0.09500668,0.36660013,0.4312325,0.5820815,0.66032356,0.42531854,0.66136694,0.107003376,0.31530842,0.23647708
0.2829019,0.33669627,0.7825498,0.5076671,0.4918266,0.29096812,0.35355505,0.43152714,0.28065303,0.23317693,0.20358701,0.41180238,0.54193443,0.4062102,0.59770626,0.5555314,0.33652413,0.2022091
0.2065732,0.39082494,0.416639,0.3155964,0.3247468,0.16790096,0.4877536,0.10478507,0.120033525,0.6309441,0.54003257,0.6354004,0.7260586,0.25919658,0.6330917,0.20785312,0.21927704,0.28181896
0.5878556,0.5069465,0.520878,0.27774653,0.49325526,0.49725413,0.5275115,0.34210718,0.409029,0.6506498,0.49118304,0.53298634,0.57150424,0.16476402,0.43821397,0.5786503,0.40136006,0.63109213
