Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.5488018,0.56305087,0.5216399,0.5311175,0.51710254,0.518274,0.51834637,0.5205731,0.58748674
0.5591644,0.5813046,0.53578466,0.5331581,0.51407397,0.53483313,0.51737744,0.54660785,0.61705345
0.5589207,0.5808766,0.53545177,0.53311,0.5141454,0.5344435,0.5174002,0.5459964,0.61636543
0.5624299,0.58713746,0.54057336,0.5339933,0.51313823,0.5401985,0.5169491,0.55500823,0.6266496
0.5732877,0.60704774,0.5584564,0.53792256,0.5101457,0.55889654,0.5147868,0.58407176,0.66032815
0.5524797,0.5695424,0.52665806,0.53184086,0.5160293,0.5241492,0.518003,0.5298202,0.5980499
0.560001,0.58277303,0.5369273,0.53332317,0.5138288,0.5361705,0.517299,0.5487058,0.61941224
0.5592347,0.58142793,0.5358806,0.53317195,0.51405334,0.53494537,0.5173708,0.54678404,0.61725175
0.54818326,0.56195813,0.52079636,0.5309959,0.51728284,0.51728636,0.518404,0.51901793,0.5857039
0.5643326,0.5906406,0.5437084,0.5346805,0.51261514,0.5434769,0.5165712,0.56012195,0.63263726
0.5743166,0.6089237,0.56014967,0.53829604,0.5098611,0.5606666,0.51458114,0.5868083,0.66345376
0.5762218,0.61239165,0.5632841,0.5389879,0.50933367,0.563943,0.51420003,0.5918657,0.66920865
0.5714985,0.603781,0.55551124,0.5372738,0.51064014,0.5558176,0.51514405,0.5793049,0.6548644
0.5591649,0.5813054,0.53578526,0.53315824,0.51407385,0.53483385,0.5173774,0.54660904,0.6170548
0.5521935,0.5690377,0.52626747,0.5317845,0.51611286,0.52369183,0.51802963,0.52910066,0.5972304
0.5675302,0.5965149,0.5489761,0.53583664,0.51173484,0.54898494,0.5159351,0.56869817,0.6426209
0.55704546,0.5775815,0.53289086,0.5327402,0.51469445,0.53144586,0.51757586,0.54129046,0.61105895
0.5689115,0.59904724,0.5512513,0.5363366,0.51135415,0.55136377,0.51566,0.572395,0.64690155
0.5604662,0.58358914,0.5375626,0.5334151,0.51369244,0.5369141,0.51725537,0.549872,0.6207217
0.55423933,0.57264346,0.5290599,0.5321872,0.51551515,0.5269611,0.5178385,0.5342427,0.6030781
0.55432105,0.5727873,0.52917135,0.5322033,0.5154913,0.52709156,0.51783085,0.53444785,0.603311
0.55417055,0.5725222,0.52896595,0.5321737,0.5155353,0.52685106,0.5178449,0.5340697,0.6028817
0.55525136,0.5744254,0.53044134,0.5323866,0.51521933,0.52857834,0.5177438,0.53678507,0.6059617
0.5561853,0.57606894,0.5317165,0.53257066,0.5149461,0.53007114,0.51765645,0.53913087,0.6086177
0.5711592,0.60316086,0.55495256,0.5371508,0.51073384,0.55523354,0.51521176,0.57839966,0.653824
0.55822635,0.5796571,0.5345036,0.53297305,0.51434875,0.5333336,0.5174653,0.5442545,0.6144033
0.5408941,0.5476589,0.510135,0.52972186,0.51860607,0.5065525,0.5187849,0.5015964,0.5635316
0.5488716,0.56317425,0.52173513,0.53113115,0.51708215,0.5183855,0.5183398,0.5207486,0.58768797
0.57064027,0.6022119,0.5540981,0.53696275,0.51087713,0.55434024,0.5153153,0.5770147,0.65223074
0.5550379,0.57404953,0.53014994,0.5323446,0.51528174,0.52823716,0.5177638,0.5362488,0.60535395
0.5642733,0.5905314,0.54361063,0.53465915,0.5126314,0.5433746,0.516583,0.55996263,0.63245106
0.54922634,0.5638009,0.522219,0.53120095,0.51697874,0.518952,0.51830673,0.52164066,0.58870965
0.5588405,0.58073586,0.5353423,0.5330942,0.51416886,0.53431535,0.5174077,0.5457954,0.61613905
0.5582994,0.5797856,0.5346035,0.5329875,0.5143273,0.5334505,0.51745844,0.54443794,0.6146101
0.5592832,0.58151305,0.53594685,0.53318155,0.51403916,0.535023,0.51736623,0.54690576,0.61738867
0.55992764,0.5826442,0.5368271,0.53330874,0.5138503,0.5360532,0.5173058,0.54852194,0.6192056
0.58201206,0.6228865,0.57280165,0.54109484,0.5077266,0.5738896,0.51303875,0.6071505,0.68642753
0.5692645,0.5996938,0.5518325,0.53646445,0.51125675,0.55197155,0.51558965,0.5733389,0.6479922
0.5677588,0.5969342,0.5493527,0.53591937,0.5116719,0.5493787,0.5158896,0.5693102,0.6433307
0.5739677,0.6082877,0.5595755,0.5381693,0.5099576,0.56006634,0.5146509,0.58588064,0.66239506
0.55613494,0.57598037,0.5316478,0.5325607,0.5149609,0.5299906,0.51766115,0.53900445,0.60847473
