Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.5160648,0.53664243,0.481701,0.54336256,0.48993197,0.49915025,0.53717184,0.45831108,0.5438819
0.5275194,0.53379023,0.48660386,0.5311712,0.50165594,0.51075727,0.5217187,0.46913758,0.5287036
0.60231936,0.5826909,0.2661661,0.8152686,0.20231096,0.5365536,0.49928844,0.28885192,0.7706763
0.5228988,0.5518391,0.45885238,0.56499434,0.45823792,0.49668586,0.5396154,0.43081278,0.5613916
0.512256,0.5534449,0.4608279,0.565631,0.45756957,0.48687762,0.5522092,0.42666644,0.565959
0.53375095,0.5596005,0.42308807,0.61463606,0.40696707,0.49988747,0.5371185,0.40172642,0.6019422
0.54673076,0.41531828,0.370559,0.6254433,0.43500727,0.55811954,0.38199744,0.57874423,0.61843735
0.5068046,0.5724008,0.4371252,0.59147245,0.42058888,0.4719611,0.570502,0.39087677,0.5918893
0.59299487,0.40585053,0.3388665,0.67312974,0.39469162,0.59985566,0.33638772,0.5776992,0.6439581
0.5055848,0.47499517,0.4443496,0.54143566,0.49677703,0.506902,0.4744912,0.53307945,0.5549462
0.51168764,0.5449838,0.47102946,0.55634654,0.47243392,0.49087444,0.54758704,0.44132927,0.55745846
0.5023231,0.6346279,0.3213893,0.7320529,0.2541283,0.4306148,0.62329435,0.2589317,0.72201204
0.55056185,0.52591336,0.46416417,0.56662226,0.47390562,0.53249884,0.49600253,0.46828952,0.55097824
0.57234937,0.575041,0.3263159,0.74340326,0.27581432,0.51883787,0.5181029,0.33085716,0.7079265
0.5016389,0.4891783,0.46043715,0.52666974,0.50766796,0.49994358,0.49268243,0.5210797,0.541876
0.5606754,0.5644407,0.3664468,0.6930638,0.32999304,0.51668364,0.51904124,0.36552003,0.66388804
0.51335424,0.49593088,0.4698061,0.5329067,0.5072549,0.50975204,0.49520445,0.51278555,0.5400647
0.519342,0.5436781,0.4735762,0.54893523,0.47917798,0.49830854,0.53768086,0.4474548,0.5480235
0.5027587,0.6181223,0.35417983,0.69250196,0.29882094,0.44132328,0.6094942,0.29349393,0.6854854
0.4692037,0.32992423,0.27722067,0.6209182,0.41338062,0.5055028,0.32295242,0.66992474,0.6643811
0.5596366,0.56653285,0.36401317,0.6957263,0.32621568,0.5146436,0.521613,0.36157757,0.6668189
0.48941308,0.6673574,0.2767628,0.780829,0.19538283,0.40052426,0.6596962,0.20441645,0.77148235
0.5145606,0.55064154,0.46452114,0.5606403,0.46392077,0.4903975,0.5477248,0.4327507,0.56054014
0.5087968,0.45262384,0.4187523,0.56173617,0.48078638,0.5149883,0.4471935,0.5525707,0.5745124
0.51565063,0.4127188,0.37377247,0.59886354,0.4515703,0.53059435,0.39829105,0.58717054,0.6095903
0.47006458,0.7080399,0.22726934,0.83116907,0.1373644,0.36047527,0.7064311,0.14752968,0.8238349
0.46649364,0.66104776,0.32406643,0.7198912,0.25024533,0.38862538,0.6712486,0.23138413,0.7233906
0.50449973,0.5585512,0.4536571,0.5774072,0.44399944,0.4773397,0.5645458,0.4138864,0.5794768
0.5183955,0.5519397,0.46342534,0.5591834,0.46378615,0.49308404,0.54399043,0.43235606,0.55792737
0.47739175,0.6784956,0.27260846,0.7829547,0.18841921,0.38494593,0.67742527,0.191855,0.7770931
0.5563552,0.55907494,0.38469532,0.6695574,0.35559902,0.5167665,0.51820624,0.38209885,0.64345366
0.49319088,0.58778673,0.4167804,0.6190418,0.38590476,0.45178542,0.595925,0.35812327,0.6219342
0.5458273,0.5345521,0.45441443,0.57785124,0.45773283,0.5238556,0.5068903,0.4515157,0.5632487
0.5125963,0.4690008,0.4382265,0.5528472,0.48996878,0.5150003,0.4644053,0.53714114,0.5621815
0.46468037,0.66434926,0.32008058,0.7242725,0.24469846,0.3852686,0.67517626,0.22616512,0.7279463
0.5196481,0.51812804,0.49670798,0.52195776,0.5191447,0.5109054,0.51804084,0.49160492,0.5235867
0.46388313,0.6600008,0.32663742,0.7177614,0.2528786,0.38715655,0.67304474,0.23292656,0.72225434
0.55488074,0.5238117,0.46079776,0.5723499,0.46995783,0.5369146,0.49074957,0.46930555,0.55432796
0.5104648,0.633471,0.31100473,0.7462515,0.2421482,0.43716374,0.6161009,0.25530934,0.732418
0.51213926,0.5563733,0.45725673,0.56908196,0.45224997,0.48521516,0.55418164,0.4214539,0.5692257
0.51947814,0.6023539,0.358858,0.69122815,0.30926096,0.46321326,0.5835145,0.314629,0.67802876
0.45357558,0.41262338,0.36643708,0.5392474,0.47696394,0.47065255,0.42539316,0.59865457,0.59011483
0.4382982,0.31614652,0.25960097,0.60347486,0.41585448,0.47891974,0.31933907,0.6874523,0.6670444
0.5350922,0.54369086,0.45433336,0.5746501,0.45467758,0.5105062,0.5230893,0.43927538,0.56493706
0.45677727,0.41766116,0.37250486,0.5384065,0.47901726,0.47261,0.4298416,0.5935679,0.5869276
0.44865513,0.4049052,0.35718024,0.54054123,0.47380504,0.46764138,0.41856983,0.6064424,0.595006
0.50699705,0.37935713,0.33520538,0.61647344,0.43262678,0.5299809,0.36392036,0.61880136,0.6344129
0.57632554,0.54355526,0.38160026,0.67895234,0.35612518,0.540861,0.4890119,0.4004941,0.64424485
0.52115405,0.5409162,0.47715652,0.54434717,0.4851851,0.5013706,0.5337907,0.4532636,0.54313445
0.56483567,0.5650846,0.35813147,0.7041891,0.3189952,0.51935965,0.5161349,0.36026168,0.67285025
0.50668,0.6449862,0.2943746,0.76460236,0.22010411,0.42711756,0.6284721,0.2351185,0.7508728
0.54982275,0.54385555,0.42765906,0.6135884,0.41815674,0.5211801,0.51116663,0.42487028,0.5942443
0.5557,0.49901134,0.45427984,0.57061934,0.47844076,0.5458703,0.46524867,0.50116175,0.55447316
0.5278742,0.52674526,0.4951873,0.52275133,0.5144906,0.51479125,0.51687455,0.48187366,0.5207035
0.5573177,0.6012571,0.3005343,0.7690422,0.2378455,0.49151134,0.55220944,0.2862475,0.7383841
0.5005364,0.58598775,0.4198618,0.6115899,0.3930774,0.45916718,0.5863165,0.36458743,0.6126842
0.5104758,0.6168273,0.34419912,0.7067259,0.2867242,0.44767535,0.6024404,0.2901663,0.6957
0.5116354,0.5558372,0.4578447,0.56885254,0.45292363,0.48505753,0.5544412,0.42214885,0.56917423
0.49304616,0.6032217,0.3980756,0.6364415,0.3590723,0.44331586,0.60571134,0.3322789,0.63821954
0.47602814,0.4481742,0.40965107,0.53336316,0.49133348,0.48435515,0.45671114,0.5627015,0.5676844
0.46130046,0.4247979,0.38113418,0.5372197,0.48191538,0.47537318,0.43613696,0.5863572,0.58241826
