Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.58526933,0.6164075,0.4636009,0.5136475,0.47310495,0.5539475,0.5218716,0.42590076,0.46177855
0.68128973,0.7053808,0.40631267,0.45454767,0.4464001,0.5820504,0.512225,0.2987437,0.43440753
0.6824718,0.7329982,0.42010713,0.47497067,0.42619127,0.62350595,0.52287674,0.30522898,0.4101603
0.63476574,0.6891985,0.44934598,0.5061092,0.43865123,0.61194575,0.52714807,0.36731374,0.4188446
0.64591205,0.6982996,0.4387058,0.4820973,0.44421884,0.6004541,0.5278171,0.343991,0.4423248
0.5897512,0.6248148,0.46552193,0.52755874,0.46367908,0.569227,0.5207694,0.43020728,0.43856505
0.54014295,0.5704539,0.4958656,0.57230705,0.46804258,0.5708151,0.5209991,0.5026218,0.4169863
0.60825086,0.6825409,0.46769813,0.46934924,0.44441414,0.6297546,0.55136746,0.34560844,0.46399003
0.58851665,0.6628401,0.47724,0.46311325,0.45170072,0.62683976,0.5568687,0.35193694,0.47936767
0.62845016,0.67585206,0.4471668,0.49646232,0.45040146,0.5905835,0.5255883,0.37049717,0.44120902
0.54150915,0.58778787,0.50002605,0.55373615,0.46178257,0.5937382,0.5331384,0.47557947,0.42632538
0.62567097,0.6770892,0.45719713,0.53666675,0.4343269,0.6161503,0.5216493,0.3984199,0.39087144
0.57227683,0.5986271,0.4692666,0.52223074,0.47820604,0.54565144,0.52044356,0.444927,0.46307403
0.55827814,0.58766925,0.48894653,0.5895129,0.45692277,0.5801374,0.51333505,0.5041786,0.38614905
0.61574084,0.66382384,0.45144385,0.48024037,0.46010384,0.58124876,0.53147656,0.3675432,0.46907985
0.53207576,0.5581551,0.49622214,0.561881,0.4774667,0.5563781,0.52226496,0.50316936,0.43795696
0.5781237,0.6062448,0.46605793,0.5154931,0.47722512,0.54724693,0.52135754,0.43449548,0.4663992
0.6486464,0.70585126,0.44502723,0.5134536,0.42820144,0.6257799,0.524996,0.3599767,0.3979607
0.61448485,0.6807699,0.45846033,0.4584602,0.4525922,0.6100548,0.5470222,0.3396726,0.48060125
0.6346706,0.6916109,0.44510275,0.47037974,0.4486818,0.6016412,0.53506374,0.3405717,0.4604019
0.6589615,0.72271365,0.43197057,0.42513308,0.44131723,0.6225903,0.5452938,0.28048605,0.47689208
0.6552365,0.7095295,0.43302467,0.46946624,0.44304696,0.60231686,0.52948475,0.3271681,0.44945753
0.5984513,0.6479674,0.4632044,0.4940976,0.46042368,0.585957,0.533497,0.3885945,0.46195772
0.52335376,0.53602725,0.49686188,0.578159,0.4846453,0.53639054,0.5137699,0.53141415,0.43331084
0.57457983,0.60705435,0.47699,0.5583684,0.4601434,0.5749423,0.51711434,0.46623573,0.4121637
0.7061036,0.7613002,0.4058746,0.4446537,0.42121312,0.6314166,0.52719194,0.26551467,0.4241708
0.5778841,0.60543627,0.4653668,0.51219183,0.47888982,0.5445353,0.52165824,0.43261182,0.47111136
0.5825259,0.61376137,0.46662936,0.52341396,0.47057864,0.5580519,0.5208174,0.43504813,0.4513146
0.5239422,0.5367616,0.4983731,0.58869827,0.480619,0.54173535,0.51181275,0.53912175,0.41967052
0.57136565,0.5981744,0.47097856,0.5285353,0.47596753,0.5492967,0.5198034,0.44997945,0.45543918
0.5532453,0.57502353,0.48181745,0.55323493,0.47712192,0.5474238,0.5166014,0.48508903,0.43974635
0.6234273,0.6666259,0.44480065,0.47963887,0.4615959,0.57258075,0.5269288,0.36534315,0.46908778
0.5950195,0.6457212,0.4706728,0.52595735,0.44976547,0.60173225,0.52934414,0.41345143,0.42401895
0.5480512,0.569884,0.48668697,0.5665193,0.4740816,0.55281836,0.5154351,0.49888605,0.42628407
0.6114662,0.6465314,0.45028484,0.49704155,0.46432033,0.5662679,0.52216583,0.3891601,0.4569348
0.57805026,0.61103463,0.47421834,0.5507086,0.46125466,0.5731478,0.5180114,0.45753953,0.4190373
0.6104833,0.66862804,0.46948344,0.54244095,0.43237478,0.628368,0.52792174,0.40865752,0.38797417
0.63343173,0.6850736,0.44981122,0.5144824,0.43873423,0.6091756,0.52413446,0.37642846,0.41214195
0.57587725,0.6089603,0.47664884,0.55848575,0.45919693,0.5764681,0.5171646,0.46495435,0.41075385
0.6076685,0.6510266,0.46121556,0.531265,0.44947508,0.5920741,0.5212808,0.41387734,0.4158324
0.66664714,0.742893,0.4335785,0.42495993,0.43202418,0.64020544,0.55094826,0.2727309,0.47275
0.6242353,0.6896809,0.45618019,0.47729197,0.44303104,0.6197256,0.54136425,0.34636268,0.45123017
