Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.60465735,0.42222324,0.38849086,0.5426507,0.608585,0.78199565,0.50610757,0.4719778,0.8081835
0.30095127,0.6341337,0.29806888,0.52011585,0.49268708,0.41130126,0.44017026,0.5122389,0.8015632
0.8368707,0.16988923,0.7547682,0.8015956,0.8051336,0.9354314,0.52415466,0.42297053,0.30712742
0.6767546,0.32496178,0.5277562,0.58104366,0.6782091,0.7843626,0.42693633,0.53116953,0.66981965
0.5376724,0.6775439,0.47068754,0.35694832,0.3111237,0.31155038,0.6953264,0.41000834,0.34985885
0.45876655,0.5974476,0.36775646,0.33467305,0.43518615,0.3479003,0.43761024,0.5772353,0.73026174
0.55789876,0.52933407,0.44148275,0.4729293,0.48995373,0.56169784,0.55878025,0.4659836,0.60732013
0.6994581,0.36059442,0.6576746,0.65552837,0.6260845,0.73045665,0.5682453,0.43451536,0.29493266
0.53702354,0.57859313,0.31104353,0.34285945,0.43844742,0.55157745,0.54232734,0.49667305,0.82622874
0.6941765,0.27485767,0.6276544,0.6905067,0.7322149,0.8128677,0.4202056,0.5154249,0.49926275
0.61527735,0.4198621,0.4506957,0.49822006,0.59270394,0.6916444,0.46373644,0.521229,0.7191738
0.3655175,0.73714095,0.30746752,0.3527336,0.31415588,0.27640545,0.618341,0.44474843,0.6633217
0.62635356,0.7164082,0.6198943,0.4139967,0.2376203,0.28671667,0.85148597,0.27791014,0.080186605
0.7381465,0.28429717,0.72638494,0.711069,0.6975683,0.777038,0.511677,0.46338433,0.23594539
0.3850859,0.64563125,0.3580443,0.50229263,0.43464607,0.42362794,0.568029,0.44197065,0.6509316
0.40486526,0.5367241,0.46205384,0.590057,0.55254686,0.4498522,0.43795776,0.51613075,0.56123555
0.39906606,0.7211889,0.3843888,0.43231893,0.3249928,0.3047245,0.67613107,0.39213958,0.4747362
0.41203925,0.56885165,0.4498025,0.61672926,0.52022606,0.4936215,0.53492194,0.44303608,0.52514255
0.5347815,0.5215142,0.45411703,0.46803197,0.5044513,0.5110145,0.5025674,0.50630337,0.6013136
0.1934481,0.7632295,0.31961244,0.56273043,0.3790006,0.2057549,0.53680456,0.4425258,0.58042616
0.42599612,0.60576653,0.35595402,0.48573077,0.46404052,0.48286968,0.5398931,0.4641799,0.70685285
0.77770466,0.20427708,0.7285819,0.74013156,0.77976465,0.86549336,0.42231634,0.51104516,0.34780085
0.42034185,0.62752587,0.32137448,0.4463324,0.4393836,0.47397682,0.5503569,0.46343407,0.756638
0.5440696,0.32012895,0.56346065,0.71387976,0.73982626,0.72759503,0.32913026,0.56364733,0.6007444
0.45067534,0.70444727,0.25304163,0.24297272,0.3149765,0.34681395,0.5829317,0.4960824,0.8311517
0.6417193,0.26817986,0.72495383,0.8424428,0.77050704,0.820228,0.470517,0.4359225,0.24045126
0.6274972,0.47208372,0.4760192,0.54089206,0.5343259,0.69956005,0.60740155,0.4181812,0.57618994
0.574837,0.6733153,0.2751617,0.1742131,0.29424968,0.3768635,0.6047341,0.5137817,0.82579184
0.71481735,0.41559815,0.66337776,0.5281872,0.5359433,0.5970721,0.5881282,0.45985383,0.24296258
