Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.48976332,0.4888916,0.46596053,0.4629827,0.48016545,0.49146363,0.4695121,0.45141026,0.49091893
0.47969761,0.51080483,0.4284806,0.48988643,0.5303685,0.5274942,0.42218944,0.40943354,0.5257064
0.44211718,0.56496537,0.31987575,0.5498296,0.66904217,0.64760214,0.26440698,0.25661483,0.6521223
0.46155658,0.5369808,0.37461758,0.51880467,0.5991264,0.58660764,0.34182033,0.33139068,0.5880232
0.46635562,0.46117792,0.50023866,0.4660611,0.45995945,0.48548302,0.46643052,0.47792995,0.49223706
0.48976332,0.4888916,0.46596053,0.4629827,0.48016545,0.49146363,0.4695121,0.45141026,0.49091893
0.45298752,0.39257094,0.5778704,0.4025994,0.38691652,0.45557943,0.46595725,0.48403543,0.48654953
0.45714545,0.52435833,0.39120933,0.52118224,0.58915323,0.5838544,0.3478373,0.35207897,0.5800967
0.48018968,0.51009476,0.4299689,0.48910367,0.5284787,0.52587545,0.42444557,0.411632,0.5239993
0.47586396,0.44456342,0.51622856,0.4392965,0.43532127,0.46749088,0.48090816,0.47380927,0.48388335
0.43481952,0.39423978,0.5921728,0.42871052,0.40272197,0.46557084,0.4468247,0.5093119,0.4806225
0.45958853,0.5398185,0.36891645,0.5219463,0.6064243,0.59292054,0.33351505,0.32335252,0.5946706
0.49266815,0.4248471,0.51731634,0.39248455,0.39783943,0.4502741,0.5015455,0.4438264,0.49264807
0.48976332,0.4888916,0.46596053,0.4629827,0.48016545,0.49146363,0.4695121,0.45141026,0.49091893
0.49143878,0.46482024,0.48648608,0.44449806,0.44895488,0.46863115,0.493654,0.46084815,0.48494017
0.44617906,0.36983114,0.60207796,0.3819551,0.3632272,0.44848192,0.4628156,0.48398638,0.48881668
0.48976332,0.4888916,0.46596053,0.4629827,0.48016545,0.49146363,0.4695121,0.45141026,0.49091893
0.44837022,0.5559764,0.33708057,0.53985417,0.64712995,0.62834597,0.28812578,0.27949396,0.6319217
0.42851698,0.4547694,0.5153471,0.508824,0.49146035,0.5286056,0.41002575,0.49700397,0.509618
0.48976332,0.4888916,0.46596053,0.4629827,0.48016545,0.49146363,0.4695121,0.45141026,0.49091893
0.4735588,0.51966435,0.41001922,0.49966085,0.55386823,0.54764193,0.39432657,0.38231942,0.54695445
0.4837161,0.5050063,0.44066718,0.48349723,0.51491874,0.514264,0.44069663,0.42748147,0.5117538
0.47537333,0.51289487,0.4220799,0.49575198,0.54101145,0.5379177,0.4082739,0.3993172,0.5355797
0.4940965,0.37964377,0.55295366,0.33504686,0.3411978,0.4291195,0.5107123,0.4242179,0.50160706
0.42824024,0.48474154,0.4336617,0.5475382,0.58429986,0.6046279,0.33044535,0.4004239,0.58061016
