Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.46308988,0.478089,0.46265048,0.47474813,0.4744587,0.46642312,0.4761834,0.48120534,0.46364835
0.19093359,0.40043822,0.2157155,0.49602383,0.23538755,0.3088777,0.5402193,0.57315344,0.16726899
0.37641972,0.5426295,0.51068705,0.39845517,0.42693606,0.5449162,0.51894724,0.39662817,0.5474137
0.38495734,0.48798972,0.42382526,0.44077426,0.4506144,0.43282172,0.49338716,0.47554636,0.4455556
0.4830736,0.47354007,0.47963127,0.49301067,0.45591122,0.4971405,0.47861367,0.4782807,0.46012142
0.47970262,0.47856227,0.47851753,0.47935414,0.47943074,0.47860485,0.4782708,0.47828862,0.47877365
0.36197978,0.48226297,0.3988068,0.4373774,0.44495586,0.40613958,0.49594104,0.4862178,0.423755
0.36437905,0.5516489,0.52369213,0.3891757,0.41516075,0.5618456,0.5320153,0.3830207,0.5650669
0.4520512,0.4956919,0.48908046,0.457913,0.46425512,0.49814093,0.49084347,0.45559412,0.4990363
0.3998686,0.4651688,0.40741047,0.47280252,0.43279627,0.4264575,0.48783347,0.49899817,0.4015212
0.36735538,0.54969066,0.5224742,0.39154103,0.41686836,0.5596226,0.5305685,0.38551098,0.562765
0.45621753,0.49310017,0.48748246,0.461147,0.4665462,0.49518514,0.48894125,0.4590162,0.49597067
0.34380874,0.5653323,0.5322234,0.37274104,0.40324557,0.5773593,0.54214466,0.36573648,0.5811242
0.20187269,0.6708659,0.60017765,0.25261593,0.31195918,0.6951446,0.62218064,0.2408472,0.7024024
0.4728347,0.4667856,0.4684496,0.5047968,0.4259919,0.50641733,0.47973394,0.48146993,0.42898804
0.48225433,0.47475997,0.4793606,0.48969048,0.4616122,0.49263385,0.47853035,0.4782826,0.46464545
0.37437996,0.5450891,0.5196151,0.39711195,0.4208837,0.55439633,0.527171,0.39137867,0.5573524
0.21894142,0.65671635,0.59075606,0.2679448,0.32417294,0.6796083,0.611177,0.25660065,0.6864916
0.2865113,0.4439996,0.30729416,0.45989665,0.36994088,0.3417729,0.50908244,0.5329658,0.301208
0.48083302,0.4768773,0.47889104,0.48393205,0.47152698,0.48481762,0.47838578,0.47828597,0.47250858
0.18475747,0.41485068,0.21209843,0.45787033,0.2845,0.26822853,0.5352889,0.5721883,0.19512561
0.45863405,0.49159887,0.48655677,0.46302202,0.46787414,0.4934729,0.48783943,0.46100044,0.49419472
0.42587122,0.48598468,0.4485785,0.4555699,0.4643961,0.45493397,0.4847122,0.47447976,0.46146598
0.46849728,0.4741498,0.46634376,0.48617315,0.4571085,0.482631,0.47721666,0.48083,0.452138
0.30153564,0.45388532,0.3220153,0.4463437,0.40624505,0.33742145,0.5032672,0.5265797,0.33512843
0.47970262,0.47856227,0.47851753,0.47935414,0.47943074,0.47860485,0.4782708,0.47828862,0.47877365
0.30753356,0.46159893,0.32953444,0.43370405,0.4330295,0.33021513,0.50000536,0.522256,0.35966042
0.20691401,0.66662914,0.5973433,0.2571777,0.3156167,0.69050294,0.6188743,0.24552843,0.6976524
0.3695415,0.45977694,0.3809328,0.46957362,0.41651767,0.40443543,0.4932183,0.5076116,0.3748732
0.18199745,0.41688713,0.20983273,0.45102647,0.29235768,0.25999612,0.534914,0.5727737,0.19868298
0.33426574,0.57177687,0.53625596,0.36505952,0.3976435,0.5846528,0.54692847,0.35767,0.5886685
0.41009483,0.5078085,0.47328728,0.43422723,0.45212927,0.49040666,0.4955552,0.44432804,0.49468425
0.3521011,0.47320125,0.3778393,0.4407732,0.44465238,0.3815346,0.49471083,0.500493,0.40240958
0.47160947,0.48355973,0.48159975,0.4730831,0.47499514,0.48430416,0.48193917,0.47164962,0.48468494
0.33652467,0.56880724,0.52487695,0.36654213,0.40518066,0.57279694,0.53649575,0.36400428,0.5762537
0.17868434,0.6910526,0.6138527,0.23122057,0.29452235,0.71713,0.63808155,0.21897617,0.7248583
0.22303493,0.434918,0.24988623,0.44045475,0.34887058,0.28014186,0.52118313,0.55424863,0.25568357
0.47970262,0.47856227,0.47851753,0.47935414,0.47943074,0.47860485,0.4782708,0.47828862,0.47877365
0.30695197,0.4497181,0.32592306,0.45871368,0.38835025,0.35370857,0.50430924,0.52603996,0.32437557
0.40382114,0.48398352,0.4303532,0.44994146,0.45803842,0.43672317,0.48825207,0.4795351,0.44724268
0.3292328,0.43909317,0.3429786,0.49502233,0.34247252,0.4070774,0.50603837,0.5225086,0.3001222
0.3840501,0.48966968,0.42588675,0.4392249,0.44976196,0.43569377,0.4941679,0.47318742,0.4482242
0.14012791,0.39681038,0.16776381,0.4601588,0.23634204,0.23352277,0.550934,0.59476,0.1455792
0.34676594,0.44290432,0.35852194,0.4957736,0.35379356,0.41916454,0.50252485,0.51712763,0.31632626
0.39510038,0.51868993,0.48065162,0.42134845,0.4437257,0.5034642,0.5023727,0.43011674,0.5077956
0.34413913,0.46233177,0.35996842,0.45066303,0.4319552,0.36834374,0.49496686,0.5134335,0.3749949
0.45311052,0.46229053,0.45116362,0.50539005,0.4112497,0.4953412,0.48352832,0.48705542,0.40828484
0.19067433,0.6804644,0.60664356,0.24237175,0.3036707,0.7056259,0.62970984,0.23035751,0.7131172
0.4569907,0.47018647,0.4559841,0.4895164,0.44284162,0.4795895,0.47996464,0.48438597,0.4354438
0.4983681,0.4486714,0.48435563,0.55947936,0.34516034,0.5856505,0.48129466,0.47879976,0.37123322
0.3645122,0.4302109,0.37100336,0.53388685,0.30333462,0.47341347,0.50574684,0.51552904,0.2849045
0.40624544,0.52453136,0.5068801,0.42220625,0.43887028,0.5310115,0.51202726,0.41784817,0.53312093
0.27390254,0.43141118,0.29418436,0.48093793,0.32435745,0.35520446,0.5157667,0.53939396,0.2625848
0.45951748,0.4910503,0.48621854,0.46370745,0.4683595,0.4928473,0.48743683,0.46172583,0.49354586
0.42948285,0.50981396,0.49779072,0.44036114,0.45180067,0.514243,0.50121117,0.43703026,0.51573545
0.47970262,0.47856227,0.47851753,0.47935414,0.47943074,0.47860485,0.4782708,0.47828862,0.47877365
0.4140578,0.45956954,0.41814288,0.49243197,0.40732425,0.45712098,0.48861235,0.49685574,0.38776234
0.39672962,0.53062046,0.51064646,0.4147398,0.4335342,0.53794336,0.51650757,0.40996653,0.54030573
0.44737488,0.49860618,0.49087745,0.45428112,0.46168095,0.50146437,0.4929825,0.4517516,0.50248325
0.4059005,0.5247514,0.5070162,0.42193598,0.43867734,0.53126204,0.5121891,0.4175628,0.5333807
0.418368,0.48611304,0.44369316,0.4530594,0.46197367,0.45042586,0.4861988,0.47501525,0.458141
0.45545778,0.476489,0.45598495,0.47464997,0.46921954,0.46178296,0.4775934,0.48333567,0.4559524
0.2078026,0.41569865,0.2332386,0.47338167,0.28197664,0.30027458,0.5312885,0.563705,0.20417725
0.20589963,0.6674776,0.59791,0.2562622,0.31488428,0.6914332,0.6195357,0.24458848,0.69860464
0.4357895,0.5058523,0.49534652,0.4452726,0.4552896,0.5097267,0.49830198,0.44222325,0.51105213
0.4841522,0.47193465,0.47998765,0.4973823,0.44842407,0.5030738,0.47872338,0.47827816,0.45417595
0.3568398,0.48914725,0.406058,0.4305317,0.44096494,0.41674072,0.49945188,0.47669134,0.43383914
0.4839836,0.47218555,0.47993192,0.49669895,0.4495929,0.5021464,0.4787062,0.47827855,0.4551044
0.46302158,0.4752388,0.46201655,0.48109546,0.4626309,0.47359964,0.47733146,0.48185682,0.45409766
0.32144374,0.58054286,0.5417581,0.35467437,0.3900324,0.59455806,0.5534506,0.34677795,0.5989092
0.28533822,0.51014155,0.38620734,0.390016,0.40908676,0.40944186,0.52237093,0.45388058,0.43475646
0.28303492,0.60765654,0.55892473,0.32304704,0.36654562,0.625064,0.57375616,0.3137153,0.6304028
0.3998925,0.52859217,0.5093915,0.4172238,0.4353108,0.5356348,0.5150147,0.41258818,0.5379131
0.2865919,0.6035613,0.5460448,0.32566413,0.37532312,0.61152357,0.5618344,0.32132873,0.6162757
0.46576288,0.48717767,0.48383072,0.468551,0.47178826,0.48843047,0.48459458,0.46685222,0.48896477
0.4099315,0.46963665,0.41670123,0.46778855,0.44931024,0.426903,0.48499125,0.49558535,0.41921124
0.38012436,0.45702583,0.389286,0.48116255,0.4033487,0.4237659,0.49319425,0.5056197,0.36941838
0.26778105,0.5018616,0.35977858,0.38935286,0.4051719,0.37972802,0.5235211,0.46795893,0.4096484
0.23742312,0.6419707,0.5810634,0.28419745,0.33690038,0.6633175,0.5998196,0.27337253,0.6697744
0.47607028,0.4808038,0.47990006,0.47653988,0.47744036,0.48116112,0.47991621,0.47530913,0.481425
0.13916877,0.417312,0.16925335,0.41249454,0.30623046,0.19557907,0.542704,0.5906354,0.1844041
0.30810738,0.4512463,0.32719043,0.45593098,0.3942313,0.35152733,0.5035553,0.52538425,0.32930464
0.31085983,0.5878792,0.54637945,0.3460414,0.3836699,0.60283285,0.5589239,0.33773622,0.60745907
0.44209304,0.5006155,0.4837221,0.44985825,0.46441084,0.49610388,0.4871782,0.45157576,0.49678892
0.3383516,0.56900954,0.53452307,0.36835316,0.40004832,0.58152217,0.54487324,0.36112773,0.58543056
0.27562112,0.4254841,0.29465127,0.49550563,0.302348,0.3717485,0.51797044,0.54023856,0.24764165
0.35176617,0.5154801,0.44455776,0.4094537,0.43059495,0.46773845,0.5099112,0.43902212,0.48017538
0.35667092,0.52721095,0.4672063,0.40253395,0.42837274,0.4956868,0.513108,0.42169216,0.50466406
0.3887749,0.5357419,0.51381767,0.40848136,0.4290518,0.5437704,0.520279,0.40336385,0.5463441
0.4355602,0.46818662,0.43776798,0.48360875,0.43854678,0.4600824,0.48294052,0.4898413,0.42231038
0.43344992,0.45571736,0.43350682,0.510641,0.38834468,0.4895226,0.48817322,0.49313143,0.38120013
0.42957538,0.50975573,0.49775478,0.44043326,0.4518519,0.51417667,0.5011684,0.4371065,0.5156666
0.31075215,0.58795434,0.5464269,0.34595326,0.3836048,0.6029175,0.55898,0.33764392,0.6075465
0.16948965,0.37189087,0.19216198,0.54587024,0.16074017,0.3398905,0.5557772,0.5878669,0.11360629
0.42530116,0.5068906,0.48224086,0.43977946,0.45725763,0.4982748,0.49229637,0.44419822,0.50025684
0.4109704,0.51418734,0.48431984,0.42978057,0.4502915,0.5043492,0.4976682,0.43505648,0.5070513
0.19252391,0.41465503,0.21920289,0.46436936,0.28191933,0.28013873,0.53410196,0.5693588,0.1971571
0.4535851,0.49473727,0.4884918,0.45910382,0.46509886,0.49705216,0.49014276,0.45685413,0.49790707
0.30382815,0.4990231,0.38309,0.404802,0.4194193,0.40041366,0.51423275,0.4679419,0.42452803
0.48159456,0.47574264,0.47914267,0.48701727,0.46621093,0.4890052,0.47846323,0.47828415,0.46829322
0.3498939,0.561256,0.52967775,0.3776195,0.4067921,0.57274157,0.53912336,0.37086362,0.5763459
0.3343582,0.52340394,0.44460574,0.39779952,0.42211685,0.47225544,0.51636654,0.42941755,0.48601425
0.32271558,0.5796676,0.54120773,0.355708,0.3907919,0.5935698,0.5527985,0.34786126,0.5978878
0.32490617,0.4605471,0.3432682,0.44438514,0.42853495,0.3499076,0.4978536,0.5188208,0.3631961
0.3528874,0.43215543,0.36162972,0.52342343,0.31235054,0.4540757,0.50622123,0.51800466,0.28717223
0.4797752,0.47845408,0.4785415,0.4796479,0.47892305,0.47900346,0.4782782,0.47828844,0.4783713
0.38022447,0.4864923,0.41816097,0.44032577,0.4495681,0.42666647,0.49379036,0.47820172,0.4404811
0.35401732,0.5585077,0.5279635,0.3809171,0.4091846,0.56962633,0.5370883,0.37433097,0.5731218
0.3706748,0.5475128,0.5211206,0.3941755,0.41876835,0.5571495,0.52896005,0.3882854,0.56020385
0.48201162,0.47512147,0.47928047,0.48870692,0.46330342,0.49129874,0.47850567,0.4782832,0.4659871
0.4379835,0.50447696,0.49449816,0.4469799,0.4565017,0.50815874,0.49729222,0.44402876,0.509426
0.43522796,0.5062045,0.4955638,0.4448355,0.4549793,0.5101283,0.4985606,0.44176105,0.5114685
0.3205376,0.43275353,0.3344268,0.5046914,0.32032347,0.4120495,0.5096128,0.5262267,0.2797906
0.22834945,0.4172077,0.2518691,0.48435026,0.2827081,0.3264037,0.5276546,0.5564985,0.21374673
0.2439829,0.43412176,0.2684356,0.45614395,0.34094465,0.30957133,0.5185736,0.54773164,0.26048824
