Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.43700656,0.4867373,0.59702563,0.5014125,0.28956348,0.67050433,0.684475,0.2551015,0.4509948
0.21986017,0.41962373,0.41873008,0.41788924,0.36304858,0.64107233,0.692081,0.29089952,0.55235094
0.11417461,0.5129677,0.34356153,0.30179235,0.49678355,0.8678982,0.89298236,0.27655733,0.808709
0.352533,0.48296028,0.43753192,0.43278998,0.48895982,0.6014278,0.6143854,0.43273458,0.57817066
0.2476109,0.59455174,0.45060226,0.33195403,0.44666857,0.7224371,0.80224705,0.24006663,0.6990527
0.5156266,0.40374663,0.62564194,0.58442175,0.24094674,0.5754144,0.5511553,0.2950588,0.31576002
0.4813077,0.4769137,0.48049605,0.48438856,0.48221272,0.48699075,0.48166057,0.4876662,0.48157385
0.5163985,0.46280873,0.56715035,0.5289358,0.35573906,0.53920996,0.5295484,0.3764316,0.4051442
0.25642547,0.4669644,0.39962572,0.4052443,0.5010638,0.72146404,0.72298306,0.41763818,0.6594023
0.4447569,0.48981953,0.47099948,0.46225566,0.48018596,0.5065882,0.51930434,0.45535246,0.5085538
0.48101124,0.4809637,0.48075765,0.48118013,0.48102516,0.48043185,0.48045617,0.4814594,0.48121405
0.28423738,0.52001303,0.41537032,0.37843788,0.482991,0.61295915,0.67592126,0.3535551,0.6286564
0.48101124,0.4809637,0.48075765,0.48118013,0.48102516,0.48043185,0.48045617,0.4814594,0.48121405
0.25678197,0.62128425,0.6031331,0.37447435,0.31133524,0.92820555,0.93777555,0.14026478,0.74364424
0.49934494,0.45097432,0.5702413,0.5294931,0.32026878,0.50530005,0.5159116,0.33735543,0.37470502
0.48101124,0.4809637,0.48075765,0.48118013,0.48102516,0.48043185,0.48045617,0.4814594,0.48121405
0.53558093,0.41118264,0.7056922,0.6039222,0.13961306,0.55100733,0.5775671,0.16307417,0.2334367
0.13442293,0.55414414,0.35947767,0.28852162,0.48205817,0.8019206,0.8639141,0.24134666,0.78129464
0.47588676,0.4720809,0.4820715,0.48546675,0.46832374,0.47718194,0.47762728,0.47382724,0.47043484
0.39236546,0.47199404,0.45041102,0.456061,0.48949483,0.5803612,0.5761017,0.4637219,0.54884166
0.44306365,0.48799792,0.46885785,0.4622807,0.48137942,0.50466514,0.5170832,0.45770663,0.5083113
0.3448542,0.50659144,0.4574918,0.4230445,0.4745345,0.6619446,0.67674726,0.39225554,0.60590446
0.42806086,0.3498441,0.49268708,0.55828243,0.35684526,0.5068057,0.46087658,0.45648998,0.36933237
