Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.62300444,0.4946838,0.5307692,0.4947845,0.5389162,0.26215628,0.38859934,0.54894596,0.46851158
0.26266766,0.4959594,0.39878097,0.43174386,0.45417342,0.7868257,0.6421141,0.43240395,0.4487355
0.20977393,0.28967467,0.26698264,0.6707573,0.07254133,0.9409818,0.62663555,0.119967625,0.7146755
0.28218365,0.716632,0.62085086,0.21524751,0.88528705,0.46135712,0.68636,0.72507316,0.26564565
0.23817591,0.6676406,0.44146958,0.43794158,0.54797673,0.69702876,0.74120784,0.5076467,0.40027744
0.4371836,0.4163363,0.5751166,0.536348,0.28076604,0.51591307,0.47232196,0.21213295,0.6831543
0.32680297,0.15803432,0.3889409,0.17525738,0.7113124,0.89208114,0.32244766,0.55589926,0.34576666
0.2919232,0.07960608,0.79948294,0.07512276,0.7547886,0.8366393,0.19919649,0.14995265,0.67583674
0.2495134,0.16900522,0.31644848,0.4125295,0.22858588,0.94241667,0.44628337,0.21479459,0.5987539
0.43375626,0.39665702,0.6113614,0.32168746,0.61417013,0.503429,0.42330074,0.40669242,0.51470524
0.36374605,0.32957348,0.68063456,0.15165457,0.83325136,0.5924785,0.38593513,0.4993605,0.41925722
0.15180509,0.9213354,0.12440178,0.82410115,0.23430486,0.8126324,0.9455873,0.72034377,0.24843523
0.5164139,0.32859987,0.277539,0.6664957,0.18348488,0.6877857,0.42017558,0.38003007,0.5485827
0.49999943,0.34314838,0.72287965,0.22929215,0.74286145,0.3735047,0.32317057,0.41297072,0.5245167
0.45697543,0.35251284,0.6988371,0.26863563,0.66029423,0.44067433,0.36472777,0.34998637,0.5629238
0.62439096,0.2230275,0.48512962,0.49440214,0.32087117,0.49582624,0.24694093,0.32104746,0.6163589
0.8053361,0.3801041,0.37039474,0.7950339,0.14819883,0.19753726,0.2623026,0.40215805,0.62833154
0.14210176,0.14166522,0.6421833,0.063222006,0.8433283,0.94649047,0.40571693,0.3267097,0.4434118
0.22146851,0.41295308,0.77655995,0.17530052,0.7227826,0.6669143,0.5456579,0.22984965,0.6036132
0.23478872,0.27605233,0.44531545,0.2402205,0.59841293,0.88521516,0.49975777,0.4053807,0.438964
0.12851411,0.0011149017,0.03497796,0.7726544,0.00047860533,0.99992067,0.11584059,0.002434843,0.961854
0.19753076,0.26679292,0.5574354,0.15245265,0.73457044,0.8853297,0.4961371,0.38856336,0.43694964
0.364888,0.8779976,0.5870579,0.43384823,0.8034987,0.2156038,0.78396124,0.7561493,0.28041175
0.70077556,0.30263433,0.42699286,0.685137,0.1844183,0.35792994,0.2765279,0.30913287,0.6557812
0.71108323,0.2761893,0.30264848,0.5475765,0.4166174,0.4479157,0.24729177,0.6502047,0.39533052
0.29845455,0.4557186,0.6107328,0.21911259,0.7660354,0.64236104,0.5324984,0.5000773,0.40945122
0.60700625,0.5002337,0.7749684,0.41387933,0.56547505,0.15175697,0.36483118,0.30245063,0.65499395
