Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.49693504,0.35444155,0.49593067,0.48369938,0.43595058,0.3185794,0.41063708,0.38992435,0.52228457
0.49441305,0.44954506,0.47925794,0.48183218,0.46205008,0.432776,0.45401487,0.44763657,0.49191585
0.4938443,0.45883033,0.4781233,0.48158163,0.46418512,0.4441879,0.45796233,0.45296752,0.4892973
0.49360788,0.4626989,0.47765172,0.48147744,0.465073,0.44894978,0.4596048,0.4551868,0.48820895
0.49418637,0.4532419,0.47880572,0.4817323,0.46290085,0.43731648,0.45558748,0.4497599,0.49087214
0.49627903,0.41936278,0.48298165,0.48265424,0.4550561,0.39589608,0.44110787,0.43023843,0.5005086
0.44303492,0.35464796,0.5289171,0.4579723,0.40493163,0.37851515,0.4641621,0.43795905,0.538347
0.47353402,0.46328706,0.48558673,0.4768925,0.4562987,0.4708893,0.4804309,0.47211683,0.49270085
0.4964782,0.41617295,0.48337922,0.48274195,0.4543107,0.3920215,0.43973482,0.42839104,0.5014258
0.4966172,0.41395032,0.4836567,0.4828032,0.45379046,0.38932472,0.43877682,0.42710257,0.50206596
0.4893781,0.4498278,0.48268908,0.48200548,0.46281338,0.43849936,0.45851257,0.45198375,0.49066886
0.49182272,0.46941897,0.47644284,0.48268282,0.46687698,0.45694736,0.4630597,0.45878828,0.48649716
0.4608615,0.36746213,0.5154592,0.46708417,0.4199821,0.37357828,0.4519855,0.42970026,0.52789533
0.49619913,0.42064467,0.48282215,0.48261902,0.45535526,0.39745447,0.4416591,0.4309803,0.5001406
0.48518258,0.43146345,0.48827302,0.48100522,0.45702827,0.4221373,0.45592025,0.44626108,0.4962982
0.4974079,0.4013781,0.4852353,0.48315156,0.4508335,0.37411964,0.43333712,0.4197937,0.505707
0.4975325,0.38344315,0.48886096,0.48342592,0.44552782,0.35269275,0.4249258,0.4086572,0.5117256
0.4926541,0.46685275,0.47694686,0.48207152,0.46615964,0.45392305,0.4616748,0.45744067,0.4871313
0.49419394,0.45311865,0.47882074,0.48173562,0.4628725,0.43716496,0.45553505,0.44968915,0.49090692
0.46393743,0.44194508,0.49510115,0.4715917,0.44283438,0.4564614,0.480856,0.46802863,0.5038177
0.4470529,0.46283197,0.48594448,0.46611238,0.42023614,0.4872491,0.50293577,0.48107353,0.5199646
0.47186095,0.46325842,0.4856093,0.4762131,0.45401073,0.47191775,0.48184627,0.4726802,0.49441764
0.4927387,0.4665917,0.47699815,0.48200932,0.46608666,0.45361543,0.46153384,0.45730355,0.48719582
0.49673322,0.33676812,0.49992356,0.48338538,0.42956445,0.2983707,0.40225574,0.37878862,0.5291739
0.49428213,0.45167997,0.4789967,0.48177448,0.46254152,0.4353976,0.4549232,0.44886294,0.4913129
0.49182272,0.46941897,0.47644284,0.48268282,0.46687698,0.45694736,0.4630597,0.45878828,0.48649716
0.49640626,0.2676859,0.5153753,0.48060057,0.40179524,0.22274017,0.36915925,0.33474913,0.55881816
0.49663407,0.3148774,0.50461143,0.4825406,0.42108655,0.27392846,0.3921076,0.3651793,0.5381966
0.49496114,0.4406307,0.48035148,0.48207363,0.45999408,0.4218463,0.45021647,0.44251096,0.49443954
0.4967502,0.3405884,0.49912134,0.4835299,0.43101937,0.3026765,0.40400082,0.3811372,0.527628
0.49707925,0.36135373,0.49422395,0.48363337,0.43825823,0.32665423,0.4140732,0.3944187,0.5197373
0.49751616,0.3996666,0.4854514,0.48319924,0.45042896,0.37205654,0.4325937,0.41879576,0.5062055
0.48848346,0.44331306,0.48438305,0.48222855,0.4614915,0.4318686,0.45686316,0.4493119,0.49221057
0.45904493,0.366169,0.5168243,0.46615788,0.41845208,0.37410036,0.45322844,0.43054867,0.5289516
0.49680096,0.3480675,0.49751794,0.48376077,0.43380705,0.31116652,0.4074493,0.3857615,0.52465236
0.4946966,0.44492918,0.47982362,0.48195708,0.46098632,0.42711315,0.45204926,0.44498363,0.49322134
0.49212,0.46850127,0.47662303,0.48246425,0.46662048,0.45586568,0.46256447,0.4583064,0.4867239
0.49461776,0.44621202,0.47966626,0.48192233,0.46128213,0.42868626,0.45259577,0.44572115,0.49285823
0.49517396,0.43717915,0.48077616,0.4821674,0.45919606,0.41762215,0.4487431,0.44052386,0.4954196
0.49422264,0.45265022,0.47887805,0.48174828,0.46276474,0.43658945,0.4553359,0.44942015,0.49103907
0.46353343,0.46311566,0.4857215,0.47282878,0.44263974,0.47704628,0.48890364,0.47548884,0.5029742
0.46615744,0.45107675,0.49103093,0.4730973,0.44601628,0.46383548,0.4822891,0.47043064,0.50099313
0.49405676,0.4553581,0.4785471,0.48167524,0.4633874,0.43991736,0.4564871,0.45097482,0.4902754
0.4965245,0.2916202,0.5097888,0.4816076,0.41177574,0.24842708,0.3810056,0.3503934,0.5481339
0.49502593,0.43957934,0.48048076,0.4821022,0.45975113,0.4205591,0.44976783,0.44190583,0.4947379
0.44301647,0.38934442,0.5190246,0.45954475,0.41354042,0.41860038,0.47926074,0.45669454,0.52855533
0.49545056,0.432703,0.48132807,0.48228922,0.4581594,0.41215092,0.44682974,0.4379445,0.49669322
0.49495995,0.44065002,0.48034912,0.48207307,0.45999852,0.4218699,0.45022473,0.44252205,0.4944341
0.4947515,0.44403595,0.47993323,0.48198128,0.46078026,0.42601812,0.4516686,0.44447,0.49347425
0.4945959,0.4465678,0.47962266,0.4819127,0.46136418,0.42912263,0.45274732,0.44592565,0.4927576
0.49354553,0.4637199,0.47752735,0.48145,0.46530718,0.45020717,0.46003813,0.45577237,0.48792195
0.49432874,0.45091975,0.47908968,0.481795,0.46236655,0.43446395,0.45459983,0.4484263,0.49152753
0.49376518,0.46012452,0.47796544,0.48154676,0.46448222,0.4457805,0.45851192,0.45371008,0.48893303
0.49602318,0.19918026,0.5334376,0.4773397,0.37005872,0.15288398,0.33191374,0.28662857,0.5930059
0.4937341,0.46063337,0.4779034,0.48153305,0.46459904,0.44640678,0.458728,0.454002,0.4887899
0.49484032,0.4425929,0.4801104,0.48202038,0.46044722,0.42424968,0.4510534,0.44363993,0.49388313
0.44104096,0.39047155,0.5185168,0.45881724,0.41089284,0.4209351,0.4813887,0.45777994,0.5305256
0.49414206,0.45396522,0.4787173,0.48171276,0.4630672,0.4382053,0.455895,0.45017523,0.49066812
0.49533698,0.43453902,0.48110157,0.48223922,0.45858485,0.4143941,0.4476149,0.43900284,0.4961704
0.4966403,0.31622893,0.50431716,0.48259366,0.42161745,0.27542567,0.39274207,0.3660276,0.5376308
0.4948297,0.44276503,0.48008922,0.4820157,0.46048698,0.42446065,0.45112684,0.443739,0.49383435
0.49667487,0.32379073,0.5026829,0.48288813,0.42456895,0.28383192,0.39627174,0.3707534,0.5344874
0.4967755,0.3463192,0.49792618,0.4837453,0.43318942,0.30915695,0.40660554,0.38464695,0.52532357
0.49460107,0.44648308,0.47963306,0.481915,0.46134463,0.42901868,0.4527112,0.44587696,0.49278155
0.4948225,0.44288212,0.48007485,0.48201254,0.46051398,0.4246041,0.45117673,0.44380632,0.49380118
0.49455658,0.44720763,0.47954422,0.4818954,0.4615116,0.42990753,0.4530198,0.44629344,0.49257657
0.4871615,0.32311177,0.50859374,0.47825944,0.41877326,0.29261342,0.40520942,0.37853947,0.5376415
0.47559568,0.46332237,0.48555902,0.4777295,0.4591195,0.46962282,0.47868788,0.4714229,0.4905864
0.49521804,0.4364652,0.48086414,0.4821868,0.45903084,0.4167489,0.44843808,0.44011265,0.49562252
0.4944469,0.44899344,0.47932544,0.48184708,0.46192306,0.43209893,0.45378008,0.4473197,0.49207172
0.49585596,0.17371856,0.54129755,0.4759169,0.3565322,0.1285321,0.31626114,0.26697084,0.6076717
0.49594316,0.186665,0.5371999,0.47665903,0.363561,0.14079359,0.32437685,0.27711728,0.6000441
0.4946563,0.44558454,0.47974324,0.48193932,0.46113744,0.42791665,0.45232844,0.4453604,0.49303582
0.4942872,0.4515974,0.4790068,0.48177674,0.46252254,0.43529618,0.45488808,0.44881552,0.49133623
0.49449605,0.448193,0.47942352,0.4818687,0.46173868,0.43111652,0.45343935,0.4468597,0.49229795
0.4935611,0.4634652,0.47755834,0.48145685,0.46524876,0.4498935,0.45993003,0.4556263,0.48799354
0.49556357,0.4308772,0.4815536,0.482339,0.4577359,0.40992165,0.4460484,0.43689156,0.49721363
0.49479058,0.44340113,0.48001114,0.4819985,0.46063378,0.42524007,0.451398,0.44410485,0.49365407
0.49550194,0.4318724,0.48143065,0.48231184,0.45796674,0.41113654,0.44647437,0.43746552,0.49692988
0.49544525,0.43278837,0.48131755,0.4822869,0.45817915,0.4122552,0.44686624,0.43799368,0.4966689
0.49354553,0.4637199,0.47752735,0.48145,0.46530718,0.45020717,0.46003813,0.45577237,0.48792195
0.49505636,0.43908566,0.4805415,0.48211557,0.459637,0.41995484,0.44955713,0.44162163,0.49487802
0.49603295,0.20075135,0.5329779,0.4774229,0.37085566,0.15441763,0.33284035,0.2878036,0.59214365
0.49756128,0.3848628,0.48852056,0.4834127,0.4459901,0.35437754,0.42561722,0.40956646,0.51121676
0.4952392,0.43612233,0.48090634,0.4821961,0.4589515,0.41632968,0.4482916,0.43991512,0.49572003
0.45042577,0.46289018,0.48589873,0.4674894,0.42480892,0.48515475,0.50005656,0.47992736,0.5164813
0.49621284,0.42042455,0.48284954,0.48262507,0.4553039,0.39718682,0.44156447,0.43085292,0.50020385
0.4944108,0.44958183,0.47925344,0.4818312,0.46205854,0.43282118,0.4540305,0.44765773,0.49190545
0.49361926,0.46251255,0.47767442,0.48148248,0.46503022,0.44872028,0.4595257,0.4550799,0.48826134
0.46271852,0.46310163,0.48573247,0.47249728,0.4415286,0.47754908,0.4895954,0.47576413,0.5038126
0.47083637,0.39409822,0.5041437,0.47282353,0.4353896,0.39420673,0.4539442,0.43695286,0.5146363
