Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.48189592,0.50317764,0.45042858,0.5009174,0.42945325,0.45290047,0.4842029,0.46983093,0.46636537
0.48770836,0.54287183,0.4071195,0.5372145,0.3543458,0.412384,0.49396592,0.45686126,0.4474616
0.4792048,0.49988738,0.32322523,0.5593917,0.37352663,0.3475723,0.4985321,0.63665336,0.55577296
0.5013881,0.63327795,0.31173483,0.62039614,0.20702861,0.32245,0.516931,0.42661935,0.40369028
0.47906834,0.48381034,0.47182786,0.48322198,0.46746868,0.47288558,0.4794545,0.47616,0.47560552
0.48858556,0.5488252,0.4006928,0.54266536,0.34351993,0.4063599,0.4954393,0.45490932,0.44462168
0.49956805,0.5066058,0.4970965,0.52715725,0.47279328,0.43668225,0.4554483,0.5251012,0.4804977
0.491486,0.5683998,0.37969774,0.5606075,0.30891293,0.386652,0.50031096,0.44846618,0.4352591
0.48758847,0.542057,0.40800062,0.53646857,0.3558377,0.41320962,0.4937645,0.45712817,0.44785014
0.48181126,0.5025977,0.4510669,0.50038743,0.43058154,0.45349687,0.4840607,0.4700203,0.46664166
0.48142126,0.48539516,0.48456272,0.49009076,0.47741282,0.47241125,0.4719605,0.4864239,0.4764212
0.4598479,0.4864908,0.39215967,0.5155626,0.4185366,0.43619967,0.4911595,0.5420461,0.50698864
0.48246396,0.5070681,0.44615027,0.5044724,0.42190322,0.4489029,0.4851569,0.46856096,0.46451217
0.43913788,0.47876632,0.36279094,0.50867456,0.40181231,0.45086247,0.5027964,0.53552,0.5083873
0.46637717,0.49493098,0.25034186,0.5720196,0.32829475,0.3117441,0.5208423,0.6828103,0.5903351
0.44800717,0.48192248,0.31554607,0.5277659,0.37388098,0.39888513,0.51206934,0.58975774,0.5401794
0.46720266,0.49102962,0.38382465,0.5263357,0.41232413,0.41574246,0.49009022,0.56255317,0.5159792
0.507972,0.6740335,0.2704603,0.65833104,0.15440346,0.28303373,0.52796364,0.4122445,0.3831159
0.48535484,0.50217634,0.36449328,0.5524362,0.39768898,0.3674018,0.4872735,0.61122346,0.5375853
0.44511062,0.51246977,0.36966476,0.53604364,0.36613894,0.44101098,0.49732998,0.5074442,0.47724605
0.4978433,0.5059843,0.48358983,0.5293325,0.4652765,0.4302427,0.4587137,0.53324383,0.4859685
0.45584676,0.4843163,0.3866128,0.5128891,0.41592982,0.4397435,0.4938159,0.539635,0.5072542
0.47367477,0.4936022,0.42486256,0.5206252,0.43539032,0.4339371,0.47932655,0.5389395,0.49938032
0.49273232,0.5767477,0.37080956,0.56827,0.2946522,0.37829393,0.50240386,0.44570333,0.43125063
0.50266933,0.64138126,0.303436,0.62791073,0.19584,0.31455544,0.5190794,0.4238118,0.39965785
0.48175034,0.5021804,0.45152637,0.50000614,0.4313939,0.45392615,0.48395836,0.47015655,0.46684054
0.51033974,0.68810964,0.25648376,0.67152387,0.13834758,0.26959056,0.531926,0.4071089,0.37581226
0.5034753,0.49988833,0.5188977,0.5090291,0.49137828,0.45226085,0.45527342,0.50160307,0.47345927
0.49616447,0.59949607,0.3467974,0.589191,0.25744596,0.3556619,0.50816643,0.43811324,0.4202606
0.41690582,0.46772683,0.25525644,0.5192322,0.33801523,0.40436646,0.5370325,0.59710115,0.5556097
0.4506317,0.5002454,0.40652376,0.51911914,0.40465784,0.46046525,0.48874557,0.49948785,0.47634828
0.46916506,0.4913425,0.41214293,0.5195918,0.42872012,0.4332004,0.48357764,0.54164636,0.5028524
0.4820217,0.48433402,0.47971103,0.48515064,0.47370124,0.47181523,0.47590366,0.47999308,0.47607753
0.49041942,0.5612235,0.3873702,0.5540259,0.32141644,0.39385942,0.49851954,0.4508335,0.43869683
0.44579017,0.4821467,0.3987745,0.50559896,0.42172816,0.46514305,0.49243876,0.51668143,0.49403957
0.48280212,0.5367166,0.41069523,0.534086,0.36374906,0.4209276,0.49217412,0.46144593,0.45047402
0.4611271,0.4870272,0.3993283,0.51471704,0.4225596,0.43914235,0.4892112,0.5381388,0.5041624
0.51445675,0.7117754,0.23332717,0.69383,0.11377249,0.24719131,0.53880787,0.3982253,0.36324435
0.44149926,0.47867322,0.2982443,0.5266579,0.36395687,0.39691558,0.51851815,0.59464854,0.54583114
0.4482694,0.4845388,0.245098,0.5543461,0.3275161,0.3385268,0.52906543,0.6588103,0.5823535
0.46451962,0.48769793,0.44473997,0.5044084,0.4485703,0.4664471,0.4788366,0.505455,0.4836695
0.43529847,0.47750953,0.22971597,0.5463658,0.3187398,0.34764764,0.538127,0.65333205,0.5842442
0.45543075,0.48814276,0.26099095,0.55593497,0.33722946,0.33969936,0.5222533,0.6547728,0.5768761
0.490637,0.56268984,0.38580015,0.5553703,0.31884378,0.3923851,0.49888504,0.45035037,0.43799496
0.49589294,0.50675887,0.41655087,0.5475593,0.4267014,0.3858072,0.47263268,0.58560485,0.5177311
0.45972028,0.5264162,0.40515795,0.53821415,0.37239712,0.44398972,0.48816815,0.4787497,0.4558058
0.4937161,0.5833065,0.3638547,0.57429546,0.28367093,0.371747,0.5040559,0.4435249,0.42809287
0.4851165,0.4994808,0.45208436,0.52488613,0.44924912,0.43186554,0.46963423,0.5366115,0.49324113
0.48214376,0.5048751,0.44856098,0.50246847,0.42615488,0.45115557,0.4846191,0.46927682,0.46555668
0.48701203,0.5025187,0.38518107,0.5476433,0.40975463,0.3795483,0.4823404,0.5964419,0.527939
0.45393872,0.48577282,0.3041123,0.53835183,0.3656627,0.37841216,0.512426,0.6108973,0.5504284
