Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.48211658,0.4773089,0.48523626,0.47439393,0.4767276,0.47507825,0.4760302,0.47952136,0.47705743
0.4965271,0.4449959,0.4216301,0.440728,0.5238874,0.49458265,0.47540388,0.48528585,0.4930784
0.4806243,0.48053455,0.48023432,0.4806308,0.48049292,0.4807885,0.48034492,0.4802796,0.48043412
0.48826614,0.46340343,0.45189294,0.4613861,0.5013571,0.48741725,0.47796914,0.48268574,0.48651034
0.4806243,0.48053455,0.48023432,0.4806308,0.48049292,0.4807885,0.48034492,0.4802796,0.48043412
0.48474863,0.47162592,0.49406266,0.4634173,0.470095,0.46502638,0.4684312,0.4781846,0.4711087
0.41305992,0.323552,0.37520474,0.43205148,0.6061375,0.49187714,0.53033006,0.44966254,0.6079332
0.4872136,0.438371,0.5374668,0.4309889,0.45274648,0.41501683,0.43781236,0.48475826,0.43588883
0.41886434,0.40240562,0.46289068,0.48540592,0.52655125,0.47520113,0.519578,0.4543619,0.55714136
0.4604254,0.45122263,0.4704058,0.4796105,0.49908355,0.47979105,0.4934058,0.47174454,0.5075296
0.42874387,0.36428532,0.594396,0.5138436,0.5199165,0.3450741,0.43588594,0.5711155,0.3557365
0.45672792,0.45747653,0.4920947,0.5200315,0.5110725,0.46391508,0.48719552,0.5117305,0.45754305
0.53133017,0.36956984,0.30258647,0.35661605,0.61679304,0.5247879,0.4646024,0.49625707,0.5207747
0.47458062,0.39297777,0.58676994,0.42493105,0.4551607,0.35800296,0.4125498,0.5117741,0.38741243
0.48964617,0.4603194,0.44680518,0.45792317,0.5051245,0.48861423,0.4775404,0.48312014,0.48760754
0.4758758,0.41530567,0.43111417,0.46694222,0.55385935,0.474334,0.4778264,0.51373035,0.47134462
0.50185555,0.4332021,0.4024082,0.42751002,0.5383705,0.49920467,0.47375035,0.48696294,0.4973153
0.4710801,0.47149703,0.4852988,0.4969121,0.49279255,0.4738323,0.4829544,0.4933962,0.4705199
0.47265342,0.39766327,0.40486214,0.42764148,0.55182785,0.48971364,0.48832804,0.47362706,0.52863705
0.4868895,0.45825693,0.44765273,0.45912024,0.50575143,0.48805147,0.47914156,0.4820134,0.49018097
0.47276405,0.4123729,0.41177803,0.44040754,0.54437894,0.49313277,0.4906107,0.47529846,0.5241452
0.4945386,0.44941425,0.42886874,0.44568384,0.5184704,0.4928578,0.47602114,0.48466,0.49149734
0.5254295,0.3820491,0.3215083,0.3704468,0.60140944,0.5196629,0.46643543,0.49439257,0.5160736
0.48471326,0.45484313,0.44856018,0.4660647,0.5125319,0.48505664,0.4788761,0.4903326,0.48242006
0.45678458,0.44088262,0.4755589,0.47272164,0.49803108,0.4721895,0.49151435,0.46854693,0.50987214
0.4806243,0.48053455,0.48023432,0.4806308,0.48049292,0.4807885,0.48034492,0.4802796,0.48043412
0.48243648,0.47658348,0.48344192,0.4737284,0.47804713,0.4757551,0.47615045,0.4796922,0.477572
0.48435014,0.4724858,0.49272603,0.46507704,0.4710985,0.4665465,0.4695808,0.478387,0.47200882
0.47149158,0.3973233,0.39610392,0.43092543,0.55895424,0.4961127,0.49267402,0.4743641,0.5337505
0.49995142,0.4267683,0.39737484,0.42483202,0.5438213,0.49995017,0.47531623,0.48605025,0.5020488
0.49134356,0.44538265,0.5034894,0.4331548,0.46912104,0.4408649,0.4495223,0.4813094,0.45555946
0.49460497,0.44926667,0.42862666,0.44551829,0.51865125,0.4929154,0.47600055,0.48468086,0.49155012
0.48236802,0.47676554,0.4860794,0.47334376,0.4760934,0.4741167,0.4753035,0.47939363,0.47648865
0.45267966,0.32569915,0.33463925,0.39607668,0.6235262,0.5062964,0.5094062,0.4649594,0.58717614
0.43291923,0.40423888,0.4484,0.47294372,0.5320502,0.4800965,0.5120308,0.4598372,0.5489563
0.50300926,0.43065777,0.39828303,0.42466074,0.54149896,0.5002055,0.47339237,0.48732612,0.49823278
0.4328534,0.37462893,0.5802289,0.50846463,0.51616234,0.3603338,0.4424595,0.5582013,0.37376094
0.45399702,0.401882,0.42116997,0.45085254,0.5453702,0.4885436,0.50128376,0.4678382,0.53977096
0.46583217,0.46210268,0.48490348,0.5044378,0.50423634,0.46935645,0.4838748,0.5028343,0.46418256
0.4816379,0.46167862,0.5045048,0.46310624,0.4712943,0.45252016,0.46337125,0.4844058,0.46044305
0.45164865,0.42096594,0.4459024,0.4667335,0.5248358,0.4833122,0.500724,0.4675092,0.5296479
0.48109117,0.47952497,0.48179916,0.47867838,0.4793144,0.47900105,0.4789944,0.4800423,0.47937724
0.4770834,0.43731853,0.43519977,0.45386037,0.521552,0.48909378,0.4860866,0.47767702,0.5072875
0.43674847,0.40074196,0.4398267,0.4666935,0.53761,0.48234084,0.5103582,0.46120366,0.5491035
0.49696347,0.44539085,0.53495544,0.41313902,0.43951136,0.4189075,0.43343747,0.47199002,0.44365567
0.49184966,0.4464544,0.42982903,0.45010045,0.52248436,0.4909181,0.4767488,0.48858273,0.48867053
0.4747484,0.47306907,0.47859707,0.48108065,0.4848316,0.48026168,0.48403955,0.47783035,0.48768023
0.5181166,0.39771122,0.3457598,0.3878617,0.5820915,0.5133141,0.46870545,0.4920851,0.5102511
0.48877648,0.4626231,0.48023835,0.45303988,0.48019794,0.46773207,0.46675628,0.47931576,0.47379872
0.5185876,0.3966962,0.34417248,0.38673142,0.5833434,0.513723,0.4685593,0.49223366,0.5106261
0.42439094,0.35242647,0.60705507,0.5144965,0.5221808,0.3307866,0.42989615,0.5794387,0.34314942
0.47751558,0.4314702,0.53988427,0.4489933,0.46601704,0.41124648,0.44223243,0.49747285,0.4282549
0.44179645,0.42034897,0.53067523,0.5281257,0.5212616,0.41808552,0.4709454,0.5404335,0.41531137
0.37479374,0.31026527,0.40308926,0.45956352,0.60086733,0.48042068,0.552158,0.4341967,0.6350961
0.4806243,0.48053455,0.48023432,0.4806308,0.48049292,0.4807885,0.48034492,0.4802796,0.48043412
0.47658157,0.4157106,0.41124126,0.43914214,0.5429696,0.49379054,0.48833534,0.47684872,0.5202584
0.5030773,0.43050793,0.39804035,0.42449296,0.5416832,0.5002646,0.47337127,0.4873475,0.49828687
0.48633397,0.4680857,0.4995321,0.45672745,0.46605775,0.4588089,0.46375996,0.47741377,0.4674013
0.5037339,0.42906183,0.39569983,0.42287397,0.543462,0.5008341,0.47316757,0.4875542,0.49880898
0.42934403,0.41558468,0.46586353,0.4845858,0.51865304,0.47616014,0.51284504,0.4587986,0.5440615
0.485612,0.4697638,0.49695832,0.45982474,0.4679221,0.46173567,0.46594217,0.47774634,0.46915957
0.51721597,0.39965397,0.3488038,0.39002588,0.57969534,0.5125324,0.46898493,0.49180117,0.5095343
0.47964582,0.43708536,0.5186968,0.43105772,0.45940372,0.43194315,0.45268214,0.46951032,0.46740866
0.48135266,0.47889826,0.47752324,0.47879216,0.48248076,0.48142037,0.48011836,0.480509,0.4810133
0.4722129,0.39101714,0.587758,0.4290378,0.4582686,0.35667184,0.41333535,0.5149765,0.38526633
0.45614094,0.44190577,0.5127281,0.5100474,0.50590664,0.44028315,0.47392866,0.518331,0.43862185
0.4042695,0.29847848,0.3541909,0.42067572,0.62895864,0.49497756,0.53760695,0.44540787,0.628146
0.48801997,0.46450934,0.49944368,0.45112684,0.46599862,0.45625776,0.46103776,0.47717333,0.46613458
0.4918014,0.43635878,0.53583986,0.41050935,0.441933,0.41557154,0.43493992,0.46914798,0.44917077
0.4892705,0.46188483,0.5092254,0.44465587,0.4587311,0.44783527,0.4554179,0.47588983,0.46091333
0.34105727,0.23847832,0.34678596,0.43216753,0.66606116,0.48682636,0.57871664,0.41798875,0.6976753
0.48174837,0.4467524,0.51222324,0.43850777,0.46130607,0.44075102,0.45638475,0.47123146,0.46843955
0.45294338,0.36231023,0.6122652,0.4519574,0.47825384,0.32783166,0.40848604,0.54484904,0.3544041
0.48633346,0.467728,0.4590361,0.46624297,0.49607977,0.48574087,0.47856966,0.48207736,0.4849737
0.49717587,0.42030853,0.39327705,0.42294052,0.5488681,0.5003842,0.47733405,0.48480532,0.50724727
0.5289718,0.37213945,0.30758545,0.3604713,0.61306936,0.52330524,0.46556538,0.49543738,0.52037126
0.483756,0.46029633,0.45359012,0.4635361,0.50211465,0.48643622,0.4805653,0.48088264,0.49056464
0.49256963,0.45379743,0.4360669,0.45060208,0.51310194,0.49114996,0.47663245,0.48404026,0.48993188
0.5073806,0.41696924,0.57735217,0.36682737,0.41129664,0.37177044,0.3988806,0.46850067,0.41384798
0.38320017,0.35110497,0.44418857,0.48303625,0.5610534,0.47353435,0.5434873,0.43884912,0.6058385
0.42439094,0.35242647,0.60705507,0.5144965,0.5221808,0.3307866,0.42989615,0.5794387,0.34314942
0.48752204,0.46564788,0.50336367,0.45189366,0.46312016,0.4544692,0.46044287,0.47677693,0.46485168
0.37482226,0.30099228,0.5879242,0.52801347,0.56402713,0.33317462,0.4662135,0.5616001,0.40280685
0.47105494,0.41972774,0.42209592,0.44723496,0.5360921,0.49082434,0.4908089,0.474867,0.52064717
0.4865265,0.4677925,0.5000253,0.45602447,0.46562204,0.45825416,0.46330795,0.47728214,0.46709624
0.4806425,0.48049507,0.48029545,0.48055443,0.48044685,0.4807186,0.48029214,0.48027033,0.48039278
0.4806243,0.48053455,0.48023432,0.4806308,0.48049292,0.4807885,0.48034492,0.4802796,0.48043412
