Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.4866593,0.520064,0.6831455,0.28033325,0.61352605,0.10457832,0.2567472,0.13146943,0.3058348
0.4410234,0.7223681,0.6006729,0.6383212,0.87143034,0.95094067,0.3462301,0.61291134,0.51398546
0.5532517,0.4863827,0.44633034,0.5982195,0.35318717,0.5834677,0.5153937,0.57791865,0.58702844
0.52451056,0.3302603,0.32392213,0.46390268,0.27522326,0.38452965,0.55838054,0.64482516,0.44409898
0.52951175,0.59769726,0.42806128,0.77086526,0.41661653,0.9112754,0.6226944,0.75648195,0.75362366
0.39335576,0.40011913,0.36841345,0.48077565,0.342024,0.46792394,0.67839026,0.5787961,0.5558805
0.5614449,0.4882055,0.45856592,0.5534271,0.45652637,0.6065592,0.42696542,0.57728845,0.4905906
0.5109435,0.45259455,0.53059965,0.31846017,0.66871727,0.32747632,0.26175684,0.37229797,0.24092108
0.54676354,0.49655348,0.5045263,0.5281949,0.4094434,0.4470975,0.4431026,0.45476037,0.5213546
0.39171168,0.36625618,0.22136204,0.54805833,0.54291964,0.90684104,0.6662848,0.89300215,0.44161925
0.65171164,0.67757636,0.64175296,0.7056763,0.51907116,0.7318238,0.32110268,0.436699,0.650435
0.47300917,0.5646941,0.5828775,0.5701112,0.3362492,0.35163158,0.5751752,0.30494452,0.6904499
0.34910318,0.23365682,0.2930702,0.29203293,0.164991,0.084723614,0.75310314,0.4492948,0.44937527
0.69199276,0.38402677,0.39121813,0.5690932,0.224211,0.38633153,0.40170258,0.6152504,0.48228478
0.37804532,0.31410295,0.33321464,0.30589578,0.47165707,0.3310801,0.55589217,0.5697265,0.3044736
0.6265337,0.40876237,0.39134032,0.5489951,0.32924065,0.5146411,0.42052895,0.6416246,0.45848882
0.40906242,0.47947368,0.5481363,0.37621617,0.48858923,0.2408001,0.48953497,0.28399894,0.4557907
0.526181,0.41035837,0.43632275,0.41344002,0.4755316,0.39556926,0.39642334,0.51302516,0.35539454
0.5470864,0.4089548,0.34441787,0.6481852,0.1796598,0.54797655,0.6793926,0.6794909,0.688141
0.5169102,0.37466064,0.3558212,0.5063718,0.28936428,0.44188696,0.5724382,0.62342316,0.5045897
0.52079004,0.4343703,0.41008803,0.54969394,0.3102533,0.48238817,0.5634786,0.5726963,0.5646965
0.48471546,0.5145238,0.38175794,0.655792,0.48400936,0.8620523,0.5874452,0.75536996,0.60896957
